"t","n","value"
1,"north",0.989395205871233
1,"south",0.469836685508152
10,"north",0.989395205871233
10,"south",0.469836685508152
11,"north",0.989395205871233
11,"south",0.469836685508152
12,"north",0.989395205871233
12,"south",0.469836685508152
13,"north",0.989395205871233
13,"south",0.469836685508152
14,"north",0.989395205871233
14,"south",0.469836685508152
15,"north",0.989395205871233
15,"south",0.469836685508152
16,"north",0.989395205871233
16,"south",0.469836685508152
17,"north",0.989395205871233
17,"south",0.469836685508152
18,"north",0.989395205871233
18,"south",0.469836685508152
19,"north",0.989395205871233
19,"south",0.469836685508152
2,"north",0.989395205871233
2,"south",0.469836685508152
20,"north",0.989395205871233
20,"south",0.469836685508152
21,"north",0.989395205871233
21,"south",0.469836685508152
22,"north",0.989395205871233
22,"south",0.469836685508152
23,"north",0.989395205871233
23,"south",0.469836685508152
24,"north",0.989395205871233
24,"south",0.469836685508152
25,"north",0.989395205871233
25,"south",0.469836685508152
26,"north",0.989395205871233
26,"south",0.469836685508152
27,"north",0.989395205871233
27,"south",0.469836685508152
28,"north",0.989395205871233
28,"south",0.469836685508152
29,"north",0.989395205871233
29,"south",0.469836685508152
3,"north",0.989395205871233
3,"south",0.469836685508152
30,"north",0.989395205871233
30,"south",0.469836685508152
31,"north",0.989395205871233
31,"south",0.469836685508152
32,"north",0.989395205871233
32,"south",0.469836685508152
33,"north",0.989395205871233
33,"south",0.469836685508152
34,"north",0.989395205871233
34,"south",0.469836685508152
35,"north",0.989395205871233
35,"south",0.469836685508152
36,"north",0.989395205871233
36,"south",0.469836685508152
37,"north",0.989395205871233
37,"south",0.469836685508152
38,"north",0.989395205871233
38,"south",0.469836685508152
39,"north",0.989395205871233
39,"south",0.469836685508152
4,"north",0.989395205871233
4,"south",0.469836685508152
40,"north",0.989395205871233
40,"south",0.469836685508152
41,"north",0.989395205871233
41,"south",0.469836685508152
42,"north",0.989395205871233
42,"south",0.469836685508152
43,"north",0.989395205871233
43,"south",0.469836685508152
44,"north",0.989395205871233
44,"south",0.469836685508152
45,"north",0.989395205871233
45,"south",0.469836685508152
46,"north",0.989395205871233
46,"south",0.469836685508152
47,"north",0.989395205871233
47,"south",0.469836685508152
48,"north",0.989395205871233
48,"south",0.469836685508152
49,"north",0.989395205871233
49,"south",0.469836685508152
5,"north",0.989395205871233
5,"south",0.469836685508152
50,"north",0.989395205871233
50,"south",0.469836685508152
51,"north",0.989395205871233
51,"south",0.469836685508152
52,"north",0.989395205871233
52,"south",0.469836685508152
53,"north",0.989395205871233
53,"south",0.469836685508152
54,"north",0.989395205871233
54,"south",0.469836685508152
55,"north",0.989395205871233
55,"south",0.469836685508152
56,"north",0.989395205871233
56,"south",0.469836685508152
57,"north",0.989395205871233
57,"south",0.469836685508152
58,"north",0.989395205871233
58,"south",0.469836685508152
6,"north",0.989395205871233
6,"south",0.469836685508152
7,"north",0.989395205871233
7,"south",0.469836685508152
8,"north",0.989395205871233
8,"south",0.469836685508152
9,"north",0.989395205871233
9,"south",0.469836685508152
