"SSP","t","n","value"
"ssp1",1,"north",14.729423361549
"ssp1",1,"south",19.8167360558897
"ssp1",10,"north",11.8195921309886
"ssp1",10,"south",28.9821509871062
"ssp1",11,"north",11.5804265374936
"ssp1",11,"south",28.2980327003737
"ssp1",12,"north",11.3046341755332
"ssp1",12,"south",27.3733687966178
"ssp1",13,"north",10.9737318029647
"ssp1",13,"south",26.2033515612002
"ssp1",14,"north",10.6232887579023
"ssp1",14,"south",24.8898151750338
"ssp1",15,"north",10.2568703586397
"ssp1",15,"south",23.4385451085296
"ssp1",16,"north",9.88639699534042
"ssp1",16,"south",21.8901418657503
"ssp1",17,"north",9.51364570556927
"ssp1",17,"south",20.2809980108744
"ssp1",18,"north",9.12395759829451
"ssp1",18,"south",18.6262100543771
"ssp1",19,"north",8.74744750206203
"ssp1",19,"south",17.1164161578139
"ssp1",2,"north",13.805566442959
"ssp1",2,"south",21.9419565984926
"ssp1",20,"north",8.37874277178766
"ssp1",20,"south",15.7438867157409
"ssp1",21,"north",8.0125365475197
"ssp1",21,"south",14.5032987425283
"ssp1",22,"north",7.64384278381551
"ssp1",22,"south",13.3901269737864
"ssp1",23,"north",7.26839137592547
"ssp1",23,"south",12.3996709720684
"ssp1",24,"north",6.88312686146014
"ssp1",24,"south",11.5265214785657
"ssp1",25,"north",6.48672232146343
"ssp1",25,"south",10.764199836355
"ssp1",26,"north",6.07997770324954
"ssp1",26,"south",10.1047663870571
"ssp1",27,"north",5.66595550711354
"ssp1",27,"south",9.53837398096695
"ssp1",28,"north",5.24974316007658
"ssp1",28,"south",9.0529530900725
"ssp1",29,"north",4.83782801138696
"ssp1",29,"south",8.63431481286839
"ssp1",3,"north",13.2851898202833
"ssp1",3,"south",24.2064230344766
"ssp1",30,"north",4.4371985127597
"ssp1",30,"south",8.2668555855556
"ssp1",31,"north",4.05438436435118
"ssp1",31,"south",7.93478868317564
"ssp1",32,"north",3.69466580893209
"ssp1",32,"south",7.62357755484812
"ssp1",33,"north",3.36160961449093
"ssp1",33,"south",7.32116195226181
"ssp1",34,"north",3.05696931418831
"ssp1",34,"south",7.01868127838662
"ssp1",35,"north",2.78088078716299
"ssp1",35,"south",6.71061459123064
"ssp1",36,"north",2.53223034603152
"ssp1",36,"south",6.39444491169385
"ssp1",37,"north",2.30907364788733
"ssp1",37,"south",6.07004538671499
"ssp1",38,"north",2.10901816246646
"ssp1",38,"south",5.73897986338516
"ssp1",39,"north",1.93266308580061
"ssp1",39,"south",5.42150857936364
"ssp1",4,"north",13.0546168716285
"ssp1",4,"south",26.3363541085752
"ssp1",40,"north",1.77680331840813
"ssp1",40,"south",5.11778836849168
"ssp1",41,"north",1.63855577470806
"ssp1",41,"south",4.82804092282921
"ssp1",42,"north",1.51539641825374
"ssp1",42,"south",4.55241153492886
"ssp1",43,"north",1.40515748801513
"ssp1",43,"south",4.29090646447359
"ssp1",44,"north",1.30600163017926
"ssp1",44,"south",4.04337874147164
"ssp1",45,"north",1.21638488519379
"ssp1",45,"south",3.80954068931769
"ssp1",46,"north",1.13501628125504
"ssp1",46,"south",3.58898878940933
"ssp1",47,"north",1.06081861869226
"ssp1",47,"south",3.38123214424836
"ssp1",48,"north",0.992892827449871
"ssp1",48,"south",3.18571968164062
"ssp1",49,"north",0.930486879080662
"ssp1",49,"south",3.00186377529418
"ssp1",5,"north",12.9575790119415
"ssp1",5,"south",28.056836918891
"ssp1",50,"north",0.872969405479582
"ssp1",50,"south",2.82905948552345
"ssp1",51,"north",0.819807730497329
"ssp1",51,"south",2.66669947777527
"ssp1",52,"north",0.770549814937827
"ssp1",52,"south",2.51418509521738
"ssp1",53,"north",0.724809551671155
"ssp1",53,"south",2.37093422018166
"ssp1",54,"north",0.682254861542767
"ssp1",54,"south",2.23638657167492
"ssp1",55,"north",0.642598092654975
"ssp1",55,"south",2.11000702534327
"ssp1",56,"north",0.605588292167883
"ssp1",56,"south",1.9912874519121
"ssp1",57,"north",0.571004987993963
"ssp1",57,"south",1.87974747483254
"ssp1",58,"north",0.53865318110649
"ssp1",58,"south",1.77493446020311
"ssp1",6,"north",12.8409450833572
"ssp1",6,"south",29.1680331143053
"ssp1",7,"north",12.6495689134273
"ssp1",7,"south",29.7452938389792
"ssp1",8,"north",12.3669623874062
"ssp1",8,"south",29.7932807389037
"ssp1",9,"north",12.0731993859386
"ssp1",9,"south",29.4792299960979
"ssp2",1,"north",14.732700127944
"ssp2",1,"south",19.8998691340122
"ssp2",10,"north",16.003888171435
"ssp2",10,"south",43.5194704195731
"ssp2",11,"north",16.4618775163876
"ssp2",11,"south",45.6461950698364
"ssp2",12,"north",16.9247251190789
"ssp2",12,"south",47.804870743215
"ssp2",13,"north",17.3541501940398
"ssp2",13,"south",49.9261831551912
"ssp2",14,"north",17.7731455619998
"ssp2",14,"south",52.0212307551091
"ssp2",15,"north",18.1689216360967
"ssp2",15,"south",54.0217950270038
"ssp2",16,"north",18.5452563838947
"ssp2",16,"south",55.924460243008
"ssp2",17,"north",18.8971829376032
"ssp2",17,"south",57.6815275189149
"ssp2",18,"north",19.2023221540276
"ssp2",18,"south",59.2115296955899
"ssp2",19,"north",19.4634068644169
"ssp2",19,"south",60.6056268748182
"ssp2",2,"north",14.4266512195766
"ssp2",2,"south",23.8222740199717
"ssp2",20,"north",19.6618665828032
"ssp2",20,"south",61.7853805614495
"ssp2",21,"north",19.7769040574112
"ssp2",21,"south",62.669442029679
"ssp2",22,"north",19.7864421940171
"ssp2",22,"south",63.1789856610211
"ssp2",23,"north",19.6687694295877
"ssp2",23,"south",63.2451451529041
"ssp2",24,"north",19.4049216333778
"ssp2",24,"south",62.817741183071
"ssp2",25,"north",18.9816039482802
"ssp2",25,"south",61.8737805315573
"ssp2",26,"north",18.3941636295759
"ssp2",26,"south",60.4235773922265
"ssp2",27,"north",17.6488659452193
"ssp2",27,"south",58.5122708385386
"ssp2",28,"north",16.7636682399266
"ssp2",28,"south",56.2153406380056
"ssp2",29,"north",15.7669675269335
"ssp2",29,"south",53.6284227863597
"ssp2",3,"north",14.3603053032584
"ssp2",3,"south",27.5583286278786
"ssp2",30,"north",14.6943859447898
"ssp2",30,"south",50.8536809295296
"ssp2",31,"north",13.5843151680834
"ssp2",31,"south",47.9862343014354
"ssp2",32,"north",12.4733352938976
"ssp2",32,"south",45.103984123597
"ssp2",33,"north",11.3925629294536
"ssp2",33,"south",42.2627228326525
"ssp2",34,"north",10.3655417068765
"ssp2",34,"south",39.4964786428716
"ssp2",35,"north",9.40773128349783
"ssp2",35,"south",36.821579534632
"ssp2",36,"north",8.52723360121869
"ssp2",36,"south",34.2423807661184
"ssp2",37,"north",7.72622765103791
"ssp2",37,"south",31.7568917678538
"ssp2",38,"north",7.00262712170239
"ssp2",38,"south",29.3612172738091
"ssp2",39,"north",6.36550800294568
"ssp2",39,"south",27.2093081440309
"ssp2",4,"north",14.4404396995731
"ssp2",4,"south",30.6708049664312
"ssp2",40,"north",5.8049831926301
"ssp2",40,"south",25.2685978140214
"ssp2",41,"north",5.31137344765707
"ssp2",41,"south",23.5110691166589
"ssp2",42,"north",4.87567935022154
"ssp2",42,"south",21.9129656304372
"ssp2",43,"north",4.48982084831285
"ssp2",43,"south",20.4542946333143
"ssp2",44,"north",4.1467180072013
"ssp2",44,"south",19.1182666910876
"ssp2",45,"north",3.84027254379999
"ssp2",45,"south",17.8907560103143
"ssp2",46,"north",3.56529373721083
"ssp2",46,"south",16.7598225620061
"ssp2",47,"north",3.31739825302351
"ssp2",47,"south",15.7153097812285
"ssp2",48,"north",3.09290250515552
"ssp2",48,"south",14.748516289313
"ssp2",49,"north",2.88871842234718
"ssp2",49,"south",13.8519328597205
"ssp2",5,"north",14.6008439146233
"ssp2",5,"south",33.1431345562202
"ssp2",50,"north",2.70225829442274
"ssp2",50,"south",13.0190334309695
"ssp2",51,"north",2.53135109122162
"ssp2",51,"south",12.2441092202313
"ssp2",52,"north",2.37417071132107
"ssp2",52,"south",11.522136443555
"ssp2",53,"north",2.22917552838982
"ssp2",53,"south",10.848669967701
"ssp2",54,"north",2.09505809873907
"ssp2",54,"south",10.2197569605329
"ssp2",55,"north",1.97070369350781
"ssp2",55,"south",9.63186607708412
"ssp2",56,"north",1.85515632583636
"ssp2",56,"south",9.08182886618239
"ssp2",57,"north",1.74759103920108
"ssp2",57,"south",8.56679093222944
"ssp2",58,"north",1.6472913655251
"ssp2",58,"south",8.08417099432773
"ssp2",6,"north",14.8250680696491
"ssp2",6,"south",35.42649424482
"ssp2",7,"north",15.0690447047077
"ssp2",7,"south",37.5966272895919
"ssp2",8,"north",15.3071740865724
"ssp2",8,"south",39.585431942598
"ssp2",9,"north",15.606077955871
"ssp2",9,"south",41.4934790265428
"ssp3",1,"north",14.6705933937035
"ssp3",1,"south",19.9378143306741
"ssp3",10,"north",16.851216699293
"ssp3",10,"south",39.6614366554151
"ssp3",11,"north",17.2358836999291
"ssp3",11,"south",40.8764304882569
"ssp3",12,"north",17.6036955075224
"ssp3",12,"south",42.244257994059
"ssp3",13,"north",17.9143308796037
"ssp3",13,"south",43.7355820877759
"ssp3",14,"north",18.2112538839221
"ssp3",14,"south",45.3329158648182
"ssp3",15,"north",18.4640921055422
"ssp3",15,"south",46.9803481720758
"ssp3",16,"north",18.7067559937267
"ssp3",16,"south",48.7094543023121
"ssp3",17,"north",18.9374707834973
"ssp3",17,"south",50.5016404148216
"ssp3",18,"north",19.1120026351203
"ssp3",18,"south",52.3305275016903
"ssp3",19,"north",19.2680475820774
"ssp3",19,"south",54.0741512312819
"ssp3",2,"north",14.7771674394257
"ssp3",2,"south",24.6831540638369
"ssp3",20,"north",19.384646770129
"ssp3",20,"south",55.6599509164737
"ssp3",21,"north",19.4380280119823
"ssp3",21,"south",57.0052184010762
"ssp3",22,"north",19.4024515396992
"ssp3",22,"south",58.0205977081224
"ssp3",23,"north",19.2518359777482
"ssp3",23,"south",58.6164276260127
"ssp3",24,"north",18.9622697978354
"ssp3",24,"south",58.7119682694871
"ssp3",25,"north",18.5152506992475
"ssp3",25,"south",58.2465797766803
"ssp3",26,"north",17.9011617607608
"ssp3",26,"south",57.1908317601972
"ssp3",27,"north",17.1221685176279
"ssp3",27,"south",55.5546967537675
"ssp3",28,"north",16.1935960667015
"ssp3",28,"south",53.3900019335066
"ssp3",29,"north",15.1430920877952
"ssp3",29,"south",50.7855489043463
"ssp3",3,"north",14.9797129382984
"ssp3",3,"south",28.864467718416
"ssp3",30,"north",14.0075027661703
"ssp3",30,"south",47.8555085340029
"ssp3",31,"north",12.8281413139028
"ssp3",31,"south",44.7239203100151
"ssp3",32,"north",11.6456411685576
"ssp3",32,"south",41.509264162216
"ssp3",33,"north",10.4956075495156
"ssp3",33,"south",38.3126038046048
"ssp3",34,"north",9.40585285788884
"ssp3",34,"south",35.2111288094828
"ssp3",35,"north",8.39539585768655
"ssp3",35,"south",32.2570104552578
"ssp3",36,"north",7.47491305695447
"ssp3",36,"south",29.4801659931232
"ssp3",37,"north",6.64809905997056
"ssp3",37,"south",26.893086121505
"ssp3",38,"north",5.91339892040364
"ssp3",38,"south",24.4961261772461
"ssp3",39,"north",5.26809583948396
"ssp3",39,"south",22.3684812741604
"ssp3",4,"north",15.2290521742948
"ssp3",4,"south",31.9116477253954
"ssp3",40,"north",4.70420971698965
"ssp3",40,"south",20.4796279549182
"ssp3",41,"north",4.21297293768236
"ssp3",41,"south",18.8003484189064
"ssp3",42,"north",3.78559032943533
"ssp3",42,"south",17.3038491034985
"ssp3",43,"north",3.41371685940951
"ssp3",43,"south",15.9662524452717
"ssp3",44,"north",3.08972253187538
"ssp3",44,"south",14.7666811158955
"ssp3",45,"north",2.80680889294608
"ssp3",45,"south",13.6871044999382
"ssp3",46,"north",2.55902892567433
