"SSP","t","n","value"
"SSP1",1,"north",1407.58
"SSP1",1,"south",5803.268
"SSP1",10,"north",1558.584
"SSP1",10,"south",6865.332
"SSP1",11,"north",1559.591
"SSP1",11,"south",6786.896
"SSP1",12,"north",1555.557
"SSP1",12,"south",6677.361
"SSP1",13,"north",1546.52
"SSP1",13,"south",6538.478
"SSP1",14,"north",1531.825
"SSP1",14,"south",6372.209
"SSP1",15,"north",1510.562
"SSP1",15,"south",6180.231
"SSP1",16,"north",1483.892
"SSP1",16,"south",5966.122
"SSP1",17,"north",1452.609
"SSP1",17,"south",5733.417
"SSP1",18,"north",1416.566
"SSP1",18,"south",5484.31
"SSP1",19,"north",1383.71600624374
"SSP1",19,"south",5261.64942725569
"SSP1",2,"north",1433.758
"SSP1",2,"south",6084.024
"SSP1",20,"north",1353.78490553264
"SSP1",20,"south",5062.48387558726
"SSP1",21,"north",1326.5315873089
"SSP1",21,"south",4884.27410795214
"SSP1",22,"north",1301.74383319439
"SSP1",22,"south",4724.83152654692
"SSP1",23,"north",1279.23476074913
"SSP1",23,"south",4582.26688123245
"SSP1",24,"north",1258.83978414232
"SSP1",24,"south",4454.94749723256
"SSP1",25,"north",1240.41401343688
"SSP1",25,"south",4341.46153052002
"SSP1",26,"north",1223.83002734529
"SSP1",26,"south",4240.58804238814
"SSP1",27,"north",1208.97596516469
"SSP1",27,"south",4151.27191159845
"SSP1",28,"north",1195.75389257917
"SSP1",28,"south",4072.60278501767
"SSP1",29,"north",1184.07840347649
"SSP1",29,"south",4003.7974150531
"SSP1",3,"north",1457.933
"SSP1",3,"south",6324.954
"SSP1",30,"north",1173.87542614889
"SSP1",30,"south",3944.18485171372
"SSP1",31,"north",1165.08120746017
"SSP1",31,"south",3893.19405447051
"SSP1",32,"north",1157.6414529504
"SSP1",32,"south",3850.34356877691
"SSP1",33,"north",1151.51060456758
"SSP1",33,"south",3815.23297771905
"SSP1",34,"north",1146.65124088533
"SSP1",34,"south",3787.53589365439
"SSP1",35,"north",1143.03358739143
"SSP1",35,"south",3766.99430016089
"SSP1",36,"north",1140.63512679853
"SSP1",36,"south",3753.41409301041
"SSP1",37,"north",1139.44030140763
"SSP1",37,"south",3746.66170171447
"SSP1",38,"north",1139.44030140763
"SSP1",38,"south",3746.66170171447
"SSP1",39,"north",1139.44030140763
"SSP1",39,"south",3746.66170171447
"SSP1",4,"north",1479.373
"SSP1",4,"south",6519.931
"SSP1",40,"north",1139.44030140763
"SSP1",40,"south",3746.66170171447
"SSP1",41,"north",1139.44030140763
"SSP1",41,"south",3746.66170171447
"SSP1",42,"north",1139.44030140763
"SSP1",42,"south",3746.66170171447
"SSP1",43,"north",1139.44030140763
"SSP1",43,"south",3746.66170171447
"SSP1",44,"north",1139.44030140763
"SSP1",44,"south",3746.66170171447
"SSP1",45,"north",1139.44030140763
"SSP1",45,"south",3746.66170171447
"SSP1",46,"north",1139.44030140763
"SSP1",46,"south",3746.66170171447
"SSP1",47,"north",1139.44030140763
"SSP1",47,"south",3746.66170171447
"SSP1",48,"north",1139.44030140763
"SSP1",48,"south",3746.66170171447
"SSP1",49,"north",1139.44030140763
"SSP1",49,"south",3746.66170171447
"SSP1",5,"north",1499.142
"SSP1",5,"south",6682.558
"SSP1",50,"north",1139.44030140763
"SSP1",50,"south",3746.66170171447
"SSP1",51,"north",1139.44030140763
"SSP1",51,"south",3746.66170171447
"SSP1",52,"north",1139.44030140763
"SSP1",52,"south",3746.66170171447
"SSP1",53,"north",1139.44030140763
"SSP1",53,"south",3746.66170171447
"SSP1",54,"north",1139.44030140763
"SSP1",54,"south",3746.66170171447
"SSP1",55,"north",1139.44030140763
"SSP1",55,"south",3746.66170171447
"SSP1",56,"north",1139.44030140763
"SSP1",56,"south",3746.66170171447
"SSP1",57,"north",1139.44030140763
"SSP1",57,"south",3746.66170171447
"SSP1",58,"north",1139.44030140763
"SSP1",58,"south",3746.66170171447
"SSP1",6,"north",1517.218
"SSP1",6,"south",6805.796
"SSP1",7,"north",1532.434
"SSP1",7,"south",6885.185
"SSP1",8,"north",1544.173
"SSP1",8,"south",6918.605
"SSP1",9,"north",1552.795
"SSP1",9,"south",6911.097
"SSP2",1,"north",1406.998
"SSP2",1,"south",5839.212
"SSP2",10,"north",1542.367
"SSP2",10,"south",7843.80600000001
"SSP2",11,"north",1544.878
"SSP2",11,"south",7893.102
"SSP2",12,"north",1544.271
"SSP2",12,"south",7914.065
"SSP2",13,"north",1540.718
"SSP2",13,"south",7907.45
"SSP2",14,"north",1534.202
"SSP2",14,"south",7874.458
"SSP2",15,"north",1524.763
"SSP2",15,"south",7817.846
"SSP2",16,"north",1512.655
"SSP2",16,"south",7742.644
"SSP2",17,"north",1497.949
"SSP2",17,"south",7653.309
"SSP2",18,"north",1480.063
"SSP2",18,"south",7553.634
"SSP2",19,"north",1463.55797856014
"SSP2",19,"south",7463.62893357864
"SSP2",2,"north",1432.107
"SSP2",2,"south",6180.513
"SSP2",20,"north",1448.34574548536
"SSP2",20,"south",7382.45317033086
"SSP2",21,"north",1434.34665534753
"SSP2",21,"south",7309.34722220886
"SSP2",22,"north",1421.48885799439
"SSP2",22,"south",7243.62477872404
"SSP2",23,"north",1409.70758713728
"SSP2",23,"south",7184.66570879705
"SSP2",24,"north",1398.94453274246
"SSP2",24,"south",7131.91000929853
"SSP2",25,"north",1389.14728748267
"SSP2",25,"south",7084.85257455807
"SSP2",26,"north",1380.26885882566
"SSP2",26,"south",7043.0386791274
"SSP2",27,"north",1372.26723947696
"SSP2",27,"south",7006.06008140362
"SSP2",28,"north",1365.10502988214
"SSP2",28,"south",6973.55166879799
"SSP2",29,"north",1358.74910735228
"SSP2",29,"south",6945.18857634633
"SSP2",3,"north",1454.976
"SSP2",3,"south",6498.719
"SSP2",30,"north",1353.17033712474
"SSP2",30,"south",6920.68372031081
"SSP2",31,"north",1348.34332132655
"SSP2",31,"south",6899.78569667788
"SSP2",32,"north",1344.24618238368
"SSP2",32,"south",6882.2770017325
"SSP2",33,"north",1340.86037792836
"SSP2",33,"south",6867.97253826653
"SSP2",34,"north",1338.17054470971
"SSP2",34,"south",6856.71837661496
"SSP2",35,"north",1336.16436941803
"SSP2",35,"south",6848.39074473707
"SSP2",36,"north",1334.83248469992
"SSP2",36,"south",6842.89522608401
"SSP2",37,"north",1334.16838897524
"SSP2",37,"south",6840.16614811377
"SSP2",38,"north",1334.16838897524
"SSP2",38,"south",6840.16614811377
"SSP2",39,"north",1334.16838897524
"SSP2",39,"south",6840.16614811377
"SSP2",4,"north",1474.737
"SSP2",4,"south",6788.683
"SSP2",40,"north",1334.16838897524
"SSP2",40,"south",6840.16614811377
"SSP2",41,"north",1334.16838897524
"SSP2",41,"south",6840.16614811377
"SSP2",42,"north",1334.16838897524
"SSP2",42,"south",6840.16614811377
"SSP2",43,"north",1334.16838897524
"SSP2",43,"south",6840.16614811377
"SSP2",44,"north",1334.16838897524
"SSP2",44,"south",6840.16614811377
"SSP2",45,"north",1334.16838897524
"SSP2",45,"south",6840.16614811377
"SSP2",46,"north",1334.16838897524
"SSP2",46,"south",6840.16614811377
"SSP2",47,"north",1334.16838897524
"SSP2",47,"south",6840.16614811377
"SSP2",48,"north",1334.16838897524
"SSP2",48,"south",6840.16614811377
"SSP2",49,"north",1334.16838897524
"SSP2",49,"south",6840.16614811377
"SSP2",5,"north",1491.687
"SSP2",5,"south",7050.554
"SSP2",50,"north",1334.16838897524
"SSP2",50,"south",6840.16614811377
"SSP2",51,"north",1334.16838897524
"SSP2",51,"south",6840.16614811377
"SSP2",52,"north",1334.16838897524
"SSP2",52,"south",6840.16614811377
"SSP2",53,"north",1334.16838897524
"SSP2",53,"south",6840.16614811377
"SSP2",54,"north",1334.16838897524
"SSP2",54,"south",6840.16614811377
"SSP2",55,"north",1334.16838897524
"SSP2",55,"south",6840.16614811377
"SSP2",56,"north",1334.16838897524
"SSP2",56,"south",6840.16614811377
"SSP2",57,"north",1334.16838897524
"SSP2",57,"south",6840.16614811377
"SSP2",58,"north",1334.16838897524
"SSP2",58,"south",6840.16614811377
"SSP2",6,"north",1506.524
"SSP2",6,"south",7282.043
"SSP2",7,"north",1518.831
"SSP2",7,"south",7480.657
"SSP2",8,"north",1528.689
"SSP2",8,"south",7641.913
"SSP2",9,"north",1536.371
"SSP2",9,"south",7762.625
"SSP3",1,"north",1400.885
"SSP3",1,"south",5869.192
"SSP3",10,"north",1312.076
"SSP3",10,"south",9275.289
"SSP3",11,"north",1286.247
"SSP3",11,"south",9585.811
"SSP3",12,"north",1259.947
"SSP3",12,"south",9886.131
"SSP3",13,"north",1233.835
"SSP3",13,"south",10180.962
"SSP3",14,"north",1207.919
"SSP3",14,"south",10471.042
"SSP3",15,"north",1182.054
"SSP3",15,"south",10757.581
"SSP3",16,"north",1156.281
"SSP3",16,"south",11039.49
"SSP3",17,"north",1130.436
"SSP3",17,"south",11318.988
"SSP3",18,"north",1104.354
"SSP3",18,"south",11592.792
"SSP3",19,"north",1081.40455990975
"SSP3",19,"south",11862.2752192527
"SSP3",2,"north",1414.252
"SSP3",2,"south",6273.018
"SSP3",20,"north",1061.22781110182
"SSP3",20,"south",12126.3340446068
"SSP3",21,"north",1043.5079753741
"SSP3",21,"south",12383.8492908075
"SSP3",22,"north",1027.96745461689
"SSP3",22,"south",12633.693787439
"SSP3",23,"north",1014.36183012962
"SSP3",23,"south",12874.7403130673
"SSP3",24,"north",1002.47566519477
"SSP3",24,"south",13105.8699278268
"SSP3",25,"north",992.118977312962
"SSP3",25,"south",13325.9806184229
"SSP3",26,"north",983.124270547938
"SSP3",26,"south",13533.9961602585
"SSP3",27,"north",975.344037907539
"SSP3",27,"south",13728.8750933672
"SSP3",28,"north",968.648659526088
"SSP3",28,"south",13909.6197023113
"SSP3",29,"north",962.924635349589
"SSP3",29,"south",14075.2848853702
"SSP3",3,"north",1418.112
"SSP3",3,"south",6682.446
"SSP3",30,"north",958.073101638439
"SSP3",30,"south",14224.986795408
"SSP3",31,"north",954.008589354784
"SSP3",31,"south",14357.9111339037
"SSP3",32,"north",950.657989761597
"SSP3",32,"south",14473.3209808614
"SSP3",33,"north",947.959698622875
"SSP3",33,"south",14570.5640467557
"SSP3",34,"north",945.862915496585
"SSP3",34,"south",14649.0792383028
"SSP3",35,"north",944.327078946277
"SSP3",35,"south",14708.4024376501
"SSP3",36,"north",943.321422220302
"SSP3",36,"south",14748.1714044348
"SSP3",37,"north",942.824637188099
"SSP3",37,"south",14768.1297219246
"SSP3",38,"north",942.824637188099
"SSP3",38,"south",14768.1297219246
"SSP3",39,"north",942.824637188099
"SSP3",39,"south",14768.1297219246
"SSP3",4,"north",1414.469
"SSP3",4,"south",7090.318
"SSP3",40,"north",942.824637188099
"SSP3",40,"south",14768.1297219246
"SSP3",41,"north",942.824637188099
"SSP3",41,"south",14768.1297219246
"SSP3",42,"north",942.824637188099
"SSP3",42,"south",14768.1297219246
"SSP3",43,"north",942.824637188099
"SSP3",43,"south",14768.1297219246
"SSP3",44,"north",942.824637188099
"SSP3",44,"south",14768.1297219246
"SSP3",45,"north",942.824637188099
"SSP3",45,"south",14768.1297219246
"SSP3",46,"north",942.824637188099
"SSP3",46,"south",14768.1297219246
"SSP3",47,"north",942.824637188099
"SSP3",47,"south",14768.1297219246
"SSP3",48,"north",942.824637188099
"SSP3",48,"south",14768.1297219246
"SSP3",49,"north",942.824637188099
"SSP3",49,"south",14768.1297219246
"SSP3",5,"north",1405.928
"SSP3",5,"south",7479.065
"SSP3",50,"north",942.824637188099
"SSP3",50,"south",14768.1297219246
"SSP3",51,"north",942.824637188099
"SSP3",51,"south",14768.1297219246
"SSP3",52,"north",942.824637188099
"SSP3",52,"south",14768.1297219246
"SSP3",53,"north",942.824637188099
"SSP3",53,"south",14768.1297219246
"SSP3",54,"north",942.824637188099
"SSP3",54,"south",14768.1297219246
"SSP3",55,"north",942.824637188099
"SSP3",55,"south",14768.1297219246
"SSP3",56,"north",942.824637188099
"SSP3",56,"south",14768.1297219246
"SSP3",57,"north",942.824637188099
"SSP3",57,"south",14768.1297219246
"SSP3",58,"north",942.824637188099
"SSP3",58,"south",14768.1297219246
"SSP3",6,"north",1393.754
"SSP3",6,"south",7857.724
"SSP3",7,"north",1377.978
"SSP3",7,"south",8232.073
"SSP3",8,"north",1358.518
"SSP3",8,"south",8600.623
"SSP3",9,"north",1336.258
"SSP3",9,"south",8948.862
"SSP4",1,"north",1403.906
"SSP4",1,"south",5835.988
"SSP4",10,"north",1413.534
"SSP4",10,"south",7965.572
"SSP4",11,"north",1393.403
"SSP4",11,"south",8055.343
"SSP4",12,"north",1369.188
"SSP4",12,"south",8121.432
"SSP4",13,"north",1341.153
"SSP4",13,"south",8168.383
"SSP4",14,"north",1309.429
"SSP4",14,"south",8197.87
"SSP4",15,"north",1274.399
"SSP4",15,"south",8213.933
"SSP4",16,"north",1236.587
"SSP4",16,"south",8218.551
"SSP4",17,"north",1196.332
"SSP4",17,"south",8217.754
"SSP4",18,"north",1153.311
"SSP4",18,"south",8212.103
"SSP4",19,"north",1114.21427821075
"SSP4",19,"south",8225.14234685032
"SSP4",2,"north",1423.583
"SSP4",2,"south",6177.402
"SSP4",20,"north",1078.69155814643
"SSP4",20,"south",8253.65832618182
"SSP4",21,"north",1046.43501769258
"SSP4",21,"south",8294.75934998506
"SSP4",22,"north",1017.17392926091
"SSP4",22,"south",8345.83053075934
"SSP4",23,"north",990.670046999818
"SSP4",23,"south",8404.49726674379
"SSP4",24,"north",966.713672388214
"SSP4",24,"south",8468.59635419638
"SSP4",25,"north",945.12029407267
"SSP4",25,"south",8536.15330260546
"SSP4",26,"north",925.727715482412
"SSP4",26,"south",8605.3647568105
"SSP4",27,"north",908.393598310034
"SSP4",27,"south",8674.58511219856
"SSP4",28,"north",892.993361968432
"SSP4",28,"south",8742.31655554076
"SSP4",29,"north",879.418389101691
"SSP4",29,"south",8807.20188257721
"SSP4",3,"north",1438.267
"SSP4",3,"south",6496.373
"SSP4",30,"north",867.574495522532
"SSP4",30,"south",8868.01954039794
"SSP4",31,"north",857.380629881755
"SSP4",31,"south",8923.6804229269
"SSP4",32,"north",848.767774197888
"SSP4",32,"south",8973.22601528484
"SSP4",33,"north",841.678021293607
