"ssp","t","n","value"
"ssp1",1,"north",1407.58
"ssp1",1,"south",5803.268
"ssp1",2,"north",1433.758
"ssp1",2,"south",6084.024
"ssp1",3,"north",1457.933
"ssp1",3,"south",6324.954
"ssp1",4,"north",1479.373
"ssp1",4,"south",6519.931
"ssp1",5,"north",1499.142
"ssp1",5,"south",6682.558
"ssp1",6,"north",1517.218
"ssp1",6,"south",6805.796
"ssp1",7,"north",1532.434
"ssp1",7,"south",6885.185
"ssp1",8,"north",1544.173
"ssp1",8,"south",6918.605
"ssp1",9,"north",1552.795
"ssp1",9,"south",6911.097
"ssp1",10,"north",1558.584
"ssp1",10,"south",6865.332
"ssp1",11,"north",1559.591
"ssp1",11,"south",6786.896
"ssp1",12,"north",1555.557
"ssp1",12,"south",6677.361
"ssp1",13,"north",1546.52
"ssp1",13,"south",6538.478
"ssp1",14,"north",1531.825
"ssp1",14,"south",6372.209
"ssp1",15,"north",1510.562
"ssp1",15,"south",6180.231
"ssp1",16,"north",1483.892
"ssp1",16,"south",5966.122
"ssp1",17,"north",1452.609
"ssp1",17,"south",5733.417
"ssp1",18,"north",1416.566
"ssp1",18,"south",5484.31
"ssp1",19,"north",1383.71600624374
"ssp1",19,"south",5261.64942725569
"ssp1",20,"north",1353.78490553264
"ssp1",20,"south",5062.48387558726
"ssp1",21,"north",1326.5315873089
"ssp1",21,"south",4884.27410795214
"ssp1",22,"north",1301.74383319439
"ssp1",22,"south",4724.83152654692
"ssp1",23,"north",1279.23476074913
"ssp1",23,"south",4582.26688123245
"ssp1",24,"north",1258.83978414232
"ssp1",24,"south",4454.94749723256
"ssp1",25,"north",1240.41401343688
"ssp1",25,"south",4341.46153052002
"ssp1",26,"north",1223.83002734529
"ssp1",26,"south",4240.58804238814
"ssp1",27,"north",1208.97596516469
"ssp1",27,"south",4151.27191159845
"ssp1",28,"north",1195.75389257917
"ssp1",28,"south",4072.60278501767
"ssp1",29,"north",1184.07840347649
"ssp1",29,"south",4003.7974150531
"ssp1",30,"north",1173.87542614889
"ssp1",30,"south",3944.18485171372
"ssp1",31,"north",1165.08120746017
"ssp1",31,"south",3893.19405447051
"ssp1",32,"north",1157.6414529504
"ssp1",32,"south",3850.34356877691
"ssp1",33,"north",1151.51060456758
"ssp1",33,"south",3815.23297771905
"ssp1",34,"north",1146.65124088533
"ssp1",34,"south",3787.53589365439
"ssp1",35,"north",1143.03358739143
"ssp1",35,"south",3766.99430016089
"ssp1",36,"north",1140.63512679853
"ssp1",36,"south",3753.41409301041
"ssp1",37,"north",1139.44030140763
"ssp1",37,"south",3746.66170171447
"ssp1",38,"north",1139.44030140763
"ssp1",38,"south",3746.66170171447
"ssp1",39,"north",1139.44030140763
"ssp1",39,"south",3746.66170171447
"ssp1",40,"north",1139.44030140763
"ssp1",40,"south",3746.66170171447
"ssp1",41,"north",1139.44030140763
"ssp1",41,"south",3746.66170171447
"ssp1",42,"north",1139.44030140763
"ssp1",42,"south",3746.66170171447
"ssp1",43,"north",1139.44030140763
"ssp1",43,"south",3746.66170171447
"ssp1",44,"north",1139.44030140763
"ssp1",44,"south",3746.66170171447
"ssp1",45,"north",1139.44030140763
"ssp1",45,"south",3746.66170171447
"ssp1",46,"north",1139.44030140763
"ssp1",46,"south",3746.66170171447
"ssp1",47,"north",1139.44030140763
"ssp1",47,"south",3746.66170171447
"ssp1",48,"north",1139.44030140763
"ssp1",48,"south",3746.66170171447
"ssp1",49,"north",1139.44030140763
"ssp1",49,"south",3746.66170171447
"ssp1",50,"north",1139.44030140763
"ssp1",50,"south",3746.66170171447
"ssp1",51,"north",1139.44030140763
"ssp1",51,"south",3746.66170171447
"ssp1",52,"north",1139.44030140763
"ssp1",52,"south",3746.66170171447
"ssp1",53,"north",1139.44030140763
"ssp1",53,"south",3746.66170171447
"ssp1",54,"north",1139.44030140763
"ssp1",54,"south",3746.66170171447
"ssp1",55,"north",1139.44030140763
"ssp1",55,"south",3746.66170171447
"ssp1",56,"north",1139.44030140763
"ssp1",56,"south",3746.66170171447
"ssp1",57,"north",1139.44030140763
"ssp1",57,"south",3746.66170171447
"ssp1",58,"north",1139.44030140763
"ssp1",58,"south",3746.66170171447
"ssp2",1,"north",1406.998
"ssp2",1,"south",5839.212
"ssp2",2,"north",1432.107
"ssp2",2,"south",6180.513
"ssp2",3,"north",1454.976
"ssp2",3,"south",6498.719
"ssp2",4,"north",1474.737
"ssp2",4,"south",6788.683
"ssp2",5,"north",1491.687
"ssp2",5,"south",7050.554
"ssp2",6,"north",1506.524
"ssp2",6,"south",7282.043
"ssp2",7,"north",1518.831
"ssp2",7,"south",7480.657
"ssp2",8,"north",1528.689
"ssp2",8,"south",7641.913
"ssp2",9,"north",1536.371
"ssp2",9,"south",7762.625
"ssp2",10,"north",1542.367
"ssp2",10,"south",7843.80600000001
"ssp2",11,"north",1544.878
"ssp2",11,"south",7893.102
"ssp2",12,"north",1544.271
"ssp2",12,"south",7914.065
"ssp2",13,"north",1540.718
"ssp2",13,"south",7907.45
"ssp2",14,"north",1534.202
"ssp2",14,"south",7874.458
"ssp2",15,"north",1524.763
"ssp2",15,"south",7817.846
"ssp2",16,"north",1512.655
"ssp2",16,"south",7742.644
"ssp2",17,"north",1497.949
"ssp2",17,"south",7653.309
"ssp2",18,"north",1480.063
"ssp2",18,"south",7553.634
"ssp2",19,"north",1463.55797856014
"ssp2",19,"south",7463.62893357864
"ssp2",20,"north",1448.34574548536
"ssp2",20,"south",7382.45317033086
"ssp2",21,"north",1434.34665534753
"ssp2",21,"south",7309.34722220886
"ssp2",22,"north",1421.48885799439
"ssp2",22,"south",7243.62477872404
"ssp2",23,"north",1409.70758713728
"ssp2",23,"south",7184.66570879705
"ssp2",24,"north",1398.94453274246
"ssp2",24,"south",7131.91000929853
"ssp2",25,"north",1389.14728748267
"ssp2",25,"south",7084.85257455807
"ssp2",26,"north",1380.26885882566
"ssp2",26,"south",7043.0386791274
"ssp2",27,"north",1372.26723947696
"ssp2",27,"south",7006.06008140362
"ssp2",28,"north",1365.10502988214
"ssp2",28,"south",6973.55166879799
"ssp2",29,"north",1358.74910735228
"ssp2",29,"south",6945.18857634633
"ssp2",30,"north",1353.17033712474
"ssp2",30,"south",6920.68372031081
"ssp2",31,"north",1348.34332132655
"ssp2",31,"south",6899.78569667788
"ssp2",32,"north",1344.24618238368
"ssp2",32,"south",6882.2770017325
"ssp2",33,"north",1340.86037792836
"ssp2",33,"south",6867.97253826653
"ssp2",34,"north",1338.17054470971
"ssp2",34,"south",6856.71837661496
"ssp2",35,"north",1336.16436941803
"ssp2",35,"south",6848.39074473707
"ssp2",36,"north",1334.83248469992
"ssp2",36,"south",6842.89522608401
"ssp2",37,"north",1334.16838897524
"ssp2",37,"south",6840.16614811377
"ssp2",38,"north",1334.16838897524
"ssp2",38,"south",6840.16614811377
"ssp2",39,"north",1334.16838897524
"ssp2",39,"south",6840.16614811377
"ssp2",40,"north",1334.16838897524
"ssp2",40,"south",6840.16614811377
"ssp2",41,"north",1334.16838897524
"ssp2",41,"south",6840.16614811377
"ssp2",42,"north",1334.16838897524
"ssp2",42,"south",6840.16614811377
"ssp2",43,"north",1334.16838897524
"ssp2",43,"south",6840.16614811377
"ssp2",44,"north",1334.16838897524
"ssp2",44,"south",6840.16614811377
"ssp2",45,"north",1334.16838897524
"ssp2",45,"south",6840.16614811377
"ssp2",46,"north",1334.16838897524
"ssp2",46,"south",6840.16614811377
"ssp2",47,"north",1334.16838897524
"ssp2",47,"south",6840.16614811377
"ssp2",48,"north",1334.16838897524
"ssp2",48,"south",6840.16614811377
"ssp2",49,"north",1334.16838897524
"ssp2",49,"south",6840.16614811377
"ssp2",50,"north",1334.16838897524
"ssp2",50,"south",6840.16614811377
"ssp2",51,"north",1334.16838897524
"ssp2",51,"south",6840.16614811377
"ssp2",52,"north",1334.16838897524
"ssp2",52,"south",6840.16614811377
"ssp2",53,"north",1334.16838897524
"ssp2",53,"south",6840.16614811377
"ssp2",54,"north",1334.16838897524
"ssp2",54,"south",6840.16614811377
"ssp2",55,"north",1334.16838897524
"ssp2",55,"south",6840.16614811377
"ssp2",56,"north",1334.16838897524
"ssp2",56,"south",6840.16614811377
"ssp2",57,"north",1334.16838897524
"ssp2",57,"south",6840.16614811377
"ssp2",58,"north",1334.16838897524
"ssp2",58,"south",6840.16614811377
"ssp3",1,"north",1400.885
"ssp3",1,"south",5869.192
"ssp3",2,"north",1414.252
"ssp3",2,"south",6273.018
"ssp3",3,"north",1418.112
"ssp3",3,"south",6682.446
"ssp3",4,"north",1414.469
"ssp3",4,"south",7090.318
"ssp3",5,"north",1405.928
"ssp3",5,"south",7479.065
"ssp3",6,"north",1393.754
"ssp3",6,"south",7857.724
"ssp3",7,"north",1377.978
"ssp3",7,"south",8232.073
"ssp3",8,"north",1358.518
"ssp3",8,"south",8600.623
"ssp3",9,"north",1336.258
"ssp3",9,"south",8948.862
"ssp3",10,"north",1312.076
"ssp3",10,"south",9275.289
"ssp3",11,"north",1286.247
"ssp3",11,"south",9585.811
"ssp3",12,"north",1259.947
"ssp3",12,"south",9886.131
"ssp3",13,"north",1233.835
"ssp3",13,"south",10180.962
"ssp3",14,"north",1207.919
"ssp3",14,"south",10471.042
"ssp3",15,"north",1182.054
"ssp3",15,"south",10757.581
"ssp3",16,"north",1156.281
"ssp3",16,"south",11039.49
"ssp3",17,"north",1130.436
"ssp3",17,"south",11318.988
"ssp3",18,"north",1104.354
"ssp3",18,"south",11592.792
"ssp3",19,"north",1081.40455990975
"ssp3",19,"south",11862.2752192527
"ssp3",20,"north",1061.22781110182
"ssp3",20,"south",12126.3340446068
"ssp3",21,"north",1043.5079753741
"ssp3",21,"south",12383.8492908075
"ssp3",22,"north",1027.96745461689
"ssp3",22,"south",12633.693787439
"ssp3",23,"north",1014.36183012962
"ssp3",23,"south",12874.7403130673
"ssp3",24,"north",1002.47566519477
"ssp3",24,"south",13105.8699278268
"ssp3",25,"north",992.118977312962
"ssp3",25,"south",13325.9806184229
"ssp3",26,"north",983.124270547938
"ssp3",26,"south",13533.9961602585
"ssp3",27,"north",975.344037907539
"ssp3",27,"south",13728.8750933672
"ssp3",28,"north",968.648659526088
"ssp3",28,"south",13909.6197023113
"ssp3",29,"north",962.924635349589
"ssp3",29,"south",14075.2848853702
"ssp3",30,"north",958.073101638439
"ssp3",30,"south",14224.986795408
"ssp3",31,"north",954.008589354784
"ssp3",31,"south",14357.9111339037
"ssp3",32,"north",950.657989761597
"ssp3",32,"south",14473.3209808614
"ssp3",33,"north",947.959698622875
"ssp3",33,"south",14570.5640467557
"ssp3",34,"north",945.862915496585
"ssp3",34,"south",14649.0792383028
"ssp3",35,"north",944.327078946277
"ssp3",35,"south",14708.4024376501
"ssp3",36,"north",943.321422220302
"ssp3",36,"south",14748.1714044348
"ssp3",37,"north",942.824637188099
"ssp3",37,"south",14768.1297219246
"ssp3",38,"north",942.824637188099
"ssp3",38,"south",14768.1297219246
"ssp3",39,"north",942.824637188099
"ssp3",39,"south",14768.1297219246
"ssp3",40,"north",942.824637188099
"ssp3",40,"south",14768.1297219246
"ssp3",41,"north",942.824637188099
"ssp3",41,"south",14768.1297219246
"ssp3",42,"north",942.824637188099
"ssp3",42,"south",14768.1297219246
"ssp3",43,"north",942.824637188099
"ssp3",43,"south",14768.1297219246
"ssp3",44,"north",942.824637188099
"ssp3",44,"south",14768.1297219246
"ssp3",45,"north",942.824637188099
"ssp3",45,"south",14768.1297219246
"ssp3",46,"north",942.824637188099
"ssp3",46,"south",14768.1297219246
"ssp3",47,"north",942.824637188099
"ssp3",47,"south",14768.1297219246
"ssp3",48,"north",942.824637188099
"ssp3",48,"south",14768.1297219246
"ssp3",49,"north",942.824637188099
"ssp3",49,"south",14768.1297219246
"ssp3",50,"north",942.824637188099
"ssp3",50,"south",14768.1297219246
"ssp3",51,"north",942.824637188099
"ssp3",51,"south",14768.1297219246
"ssp3",52,"north",942.824637188099
"ssp3",52,"south",14768.1297219246
"ssp3",53,"north",942.824637188099
"ssp3",53,"south",14768.1297219246
"ssp3",54,"north",942.824637188099
"ssp3",54,"south",14768.1297219246
"ssp3",55,"north",942.824637188099
"ssp3",55,"south",14768.1297219246
"ssp3",56,"north",942.824637188099
"ssp3",56,"south",14768.1297219246
"ssp3",57,"north",942.824637188099
"ssp3",57,"south",14768.1297219246
"ssp3",58,"north",942.824637188099
"ssp3",58,"south",14768.1297219246
"ssp4",1,"north",1403.906
"ssp4",1,"south",5835.988
"ssp4",2,"north",1423.583
"ssp4",2,"south",6177.402
"ssp4",3,"north",1438.267
"ssp4",3,"south",6496.373
"ssp4",4,"north",1446.777
"ssp4",4,"south",6788.714
"ssp4",5,"north",1451.774
"ssp4",5,"south",7054.339
"ssp4",6,"north",1453.129
"ssp4",6,"south",7294.168
"ssp4",7,"north",1449.74
"ssp4",7,"south",7508.796
"ssp4",8,"north",1441.295
"ssp4",8,"south",7695.3
"ssp4",9,"north",1429.01
"ssp4",9,"south",7847.679
"ssp4",10,"north",1413.534
"ssp4",10,"south",7965.572
"ssp4",11,"north",1393.403
"ssp4",11,"south",8055.343
"ssp4",12,"north",1369.188
"ssp4",12,"south",8121.432
"ssp4",13,"north",1341.153
"ssp4",13,"south",8168.383
"ssp4",14,"north",1309.429
"ssp4",14,"south",8197.87
"ssp4",15,"north",1274.399
"ssp4",15,"south",8213.933
"ssp4",16,"north",1236.587
"ssp4",16,"south",8218.551
"ssp4",17,"north",1196.332
"ssp4",17,"south",8217.754
"ssp4",18,"north",1153.311
"ssp4",18,"south",8212.103
"ssp4",19,"north",1114.21427821075
"ssp4",19,"south",8225.14234685032
"ssp4",20,"north",1078.69155814643
"ssp4",20,"south",8253.65832618182
"ssp4",21,"north",1046.43501769258
"ssp4",21,"south",8294.75934998506
"ssp4",22,"north",1017.17392926091
"ssp4",22,"south",8345.83053075934
"ssp4",23,"north",990.670046999818
"ssp4",23,"south",8404.49726674379
"ssp4",24,"north",966.713672388214
"ssp4",24,"south",8468.59635419638
"ssp4",25,"north",945.12029407267
"ssp4",25,"south",8536.15330260546
"ssp4",26,"north",925.727715482412
"ssp4",26,"south",8605.3647568105
"ssp4",27,"north",908.393598310034
"ssp4",27,"south",8674.58511219856
"ssp4",28,"north",892.993361968432
