"t","n","value"
1,"north",-0.884672535611
1,"south",3.9013691968
2,"north",-0.782935194015735
2,"south",3.452711739168
3,"north",-0.692897646703925
3,"south",3.05564988916368
4,"north",-0.613214417332974
4,"south",2.70425015190986
5,"north",-0.542694759339682
5,"south",2.39326138444022
6,"north",-0.480284862015618
6,"south",2.1180363252296
7,"north",-0.425052102883822
7,"south",1.87446214782819
8,"north",-0.376171111052183
8,"south",1.65889900082795
9,"north",-0.332911433281182
9,"south",1.46812561573274
10,"north",-0.294626618453846
10,"south",1.29929116992347
11,"north",-0.260744557331654
11,"south",1.14987268538227
12,"north",-0.230758933238513
12,"south",1.01763732656331
13,"north",-0.204221655916084
13,"south",0.900609034008531
14,"north",-0.180736165485735
14,"south",0.79703899509755
15,"north",-0.159951506454875
15,"south",0.705379510661331
16,"north",-0.141557083212565
16,"south",0.624260866935278
17,"north",-0.12527801864312
17,"south",0.552470867237721
18,"north",-0.110871046499161
18,"south",0.488936717505383
19,"north",-0.0981208761517574
19,"south",0.432708994992264
20,"north",-0.0868369753943053
20,"south",0.382947460568154
21,"north",-0.0768507232239602
21,"south",0.338908502602816
22,"north",-0.0680128900532047
22,"south",0.299934024803492
23,"north",-0.0601914076970862
23,"south",0.265441611951091
24,"north",-0.0532693958119213
24,"south",0.234915826576715
25,"north",-0.0471434152935503
25,"south",0.207900506520393
26,"north",-0.0417219225347921
26,"south",0.183991948270548
27,"north",-0.036923901443291
27,"south",0.162832874219435
28,"north",-0.0326776527773125
28,"south",0.1441070936842
29,"north",-0.0289197227079216
29,"south",0.127534777910517
30,"north",-0.0255939545965106
30,"south",0.112868278450807
31,"north",-0.0226506498179119
31,"south",0.0998884264289646
32,"north",-0.020045825088852
32,"south",0.0884012573896336
33,"north",-0.017740555203634
33,"south",0.0782351127898258
34,"north",-0.0157003913552161
34,"south",0.0692380748189958
35,"north",-0.0138948463493663
35,"south",0.0612756962148113
36,"north",-0.0122969390191891
36,"south",0.054228991150108
37,"north",-0.0108827910319824
37,"south",0.0479926571678456
38,"north",-0.00963127006330441
38,"south",0.0424735015935433
39,"north",-0.0085236740060244
39,"south",0.0375890489102858
40,"north",-0.0075434514953316
40,"south",0.033266308285603
41,"north",-0.00667595457336847
41,"south",0.0294406828327586
42,"north",-0.00590821979743109
42,"south",0.0260550043069914
43,"north",-0.00522877452072652
43,"south",0.0230586788116874
44,"north",-0.00462746545084297
44,"south",0.0204069307483433
45,"north",-0.00409530692399603
45,"south",0.0180601337122839
46,"north",-0.00362434662773648
46,"south",0.0159832183353712
47,"north",-0.00320754676554679
47,"south",0.0141451482268035
48,"north",-0.00283867888750891
48,"south",0.0125184561807211
49,"north",-0.00251223081544538
49,"south",0.0110788337199382
50,"north",-0.00222332427166916
50,"south",0.0098047678421453
51,"north",-0.00196764198042721
51,"south",0.00867721954029859
52,"north",-0.00174136315267808
52,"south",0.00767933929316425
53,"north",-0.0015411063901201
53,"south",0.00679621527445036
54,"north",-0.00136387915525629
54,"south",0.00601465051788857
55,"north",-0.00120703305240182
55,"south",0.00532296570833138
56,"north",-0.00106822425137561
56,"south",0.00471082465187327
57,"north",-0.000945378462467412
57,"south",0.00416907981690785
58,"north",-0.00083665993928366
58,"south",0.00368963563796344
