"coef","t","n","value"
"a",1,"north",573.842316653617
"a",1,"south",280.7540006834
"a",2,"north",573.842316653617
"a",2,"south",280.7540006834
"a",3,"north",573.842316653617
"a",3,"south",280.7540006834
"a",4,"north",464.010407921017
"a",4,"south",216.565015650507
"a",5,"north",429.64496197476
"a",5,"south",206.638299186341
"a",6,"north",411.94198431017
"a",6,"south",211.328249550465
"a",7,"north",411.94198431017
"a",7,"south",211.328249550465
"a",8,"north",411.94198431017
"a",8,"south",211.328249550465
"a",9,"north",411.94198431017
"a",9,"south",211.328249550465
"a",10,"north",411.94198431017
"a",10,"south",211.328249550465
"a",11,"north",411.94198431017
"a",11,"south",211.328249550465
"a",12,"north",411.94198431017
"a",12,"south",211.328249550465
"a",13,"north",411.94198431017
"a",13,"south",211.328249550465
"a",14,"north",411.94198431017
"a",14,"south",211.328249550465
"a",15,"north",411.94198431017
"a",15,"south",211.328249550465
"a",16,"north",411.94198431017
"a",16,"south",211.328249550465
"a",17,"north",411.94198431017
"a",17,"south",211.328249550465
"a",18,"north",411.94198431017
"a",18,"south",211.328249550465
"a",19,"north",411.94198431017
"a",19,"south",211.328249550465
"a",20,"north",411.94198431017
"a",20,"south",211.328249550465
"a",21,"north",411.94198431017
"a",21,"south",211.328249550465
"a",22,"north",411.94198431017
"a",22,"south",211.328249550465
"a",23,"north",411.94198431017
"a",23,"south",211.328249550465
"a",24,"north",411.94198431017
"a",24,"south",211.328249550465
"a",25,"north",411.94198431017
"a",25,"south",211.328249550465
"a",26,"north",411.94198431017
"a",26,"south",211.328249550465
"a",27,"north",411.94198431017
"a",27,"south",211.328249550465
"a",28,"north",411.94198431017
"a",28,"south",211.328249550465
"a",29,"north",411.94198431017
"a",29,"south",211.328249550465
"a",30,"north",411.94198431017
"a",30,"south",211.328249550465
"a",31,"north",411.94198431017
"a",31,"south",211.328249550465
"a",32,"north",411.94198431017
"a",32,"south",211.328249550465
"a",33,"north",411.94198431017
"a",33,"south",211.328249550465
"a",34,"north",411.94198431017
"a",34,"south",211.328249550465
"a",35,"north",411.94198431017
"a",35,"south",211.328249550465
"a",36,"north",411.94198431017
"a",36,"south",211.328249550465
"a",37,"north",411.94198431017
"a",37,"south",211.328249550465
"a",38,"north",411.94198431017
"a",38,"south",211.328249550465
"a",39,"north",411.94198431017
"a",39,"south",211.328249550465
"a",40,"north",411.94198431017
"a",40,"south",211.328249550465
"a",41,"north",411.94198431017
"a",41,"south",211.328249550465
"a",42,"north",411.94198431017
"a",42,"south",211.328249550465
"a",43,"north",411.94198431017
"a",43,"south",211.328249550465
"a",44,"north",411.94198431017
"a",44,"south",211.328249550465
"a",45,"north",411.94198431017
"a",45,"south",211.328249550465
"a",46,"north",411.94198431017
"a",46,"south",211.328249550465
"a",47,"north",411.94198431017
"a",47,"south",211.328249550465
"a",48,"north",411.94198431017
"a",48,"south",211.328249550465
"a",49,"north",411.94198431017
"a",49,"south",211.328249550465
"a",50,"north",411.94198431017
"a",50,"south",211.328249550465
"a",51,"north",411.94198431017
"a",51,"south",211.328249550465
"a",52,"north",411.94198431017
"a",52,"south",211.328249550465
"a",53,"north",411.94198431017
"a",53,"south",211.328249550465
"a",54,"north",411.94198431017
"a",54,"south",211.328249550465
"a",55,"north",411.94198431017
"a",55,"south",211.328249550465
"a",56,"north",411.94198431017
"a",56,"south",211.328249550465
"a",57,"north",411.94198431017
"a",57,"south",211.328249550465
"a",58,"north",411.94198431017
"a",58,"south",211.328249550465
"b",1,"north",9624.90485765563
"b",1,"south",4051.80030120141
"b",2,"north",9624.90485765563
"b",2,"south",4051.80030120141
"b",3,"north",9624.90485765563
"b",3,"south",4051.80030120141
"b",4,"north",5814.76118304533
"b",4,"south",3359.52788309978
"b",5,"north",4515.25994610059
"b",5,"south",2848.18327159044
"b",6,"north",3778.59929764516
"b",6,"south",2405.047164243
"b",7,"north",3778.59929764516
"b",7,"south",2405.047164243
"b",8,"north",3778.59929764516
"b",8,"south",2405.047164243
"b",9,"north",3778.59929764516
"b",9,"south",2405.047164243
"b",10,"north",3778.59929764516
"b",10,"south",2405.047164243
"b",11,"north",3778.59929764516
"b",11,"south",2405.047164243
"b",12,"north",3778.59929764516
"b",12,"south",2405.047164243
"b",13,"north",3778.59929764516
"b",13,"south",2405.047164243
"b",14,"north",3778.59929764516
"b",14,"south",2405.047164243
"b",15,"north",3778.59929764516
"b",15,"south",2405.047164243
"b",16,"north",3778.59929764516
"b",16,"south",2405.047164243
"b",17,"north",3778.59929764516
"b",17,"south",2405.047164243
"b",18,"north",3778.59929764516
"b",18,"south",2405.047164243
"b",19,"north",3778.59929764516
"b",19,"south",2405.047164243
"b",20,"north",3778.59929764516
"b",20,"south",2405.047164243
"b",21,"north",3778.59929764516
"b",21,"south",2405.047164243
"b",22,"north",3778.59929764516
"b",22,"south",2405.047164243
"b",23,"north",3778.59929764516
"b",23,"south",2405.047164243
"b",24,"north",3778.59929764516
"b",24,"south",2405.047164243
"b",25,"north",3778.59929764516
"b",25,"south",2405.047164243
"b",26,"north",3778.59929764516
"b",26,"south",2405.047164243
"b",27,"north",3778.59929764516
"b",27,"south",2405.047164243
"b",28,"north",3778.59929764516
"b",28,"south",2405.047164243
"b",29,"north",3778.59929764516
"b",29,"south",2405.047164243
"b",30,"north",3778.59929764516
"b",30,"south",2405.047164243
"b",31,"north",3778.59929764516
"b",31,"south",2405.047164243
"b",32,"north",3778.59929764516
"b",32,"south",2405.047164243
"b",33,"north",3778.59929764516
"b",33,"south",2405.047164243
"b",34,"north",3778.59929764516
"b",34,"south",2405.047164243
"b",35,"north",3778.59929764516
"b",35,"south",2405.047164243
"b",36,"north",3778.59929764516
"b",36,"south",2405.047164243
"b",37,"north",3778.59929764516
"b",37,"south",2405.047164243
"b",38,"north",3778.59929764516
"b",38,"south",2405.047164243
"b",39,"north",3778.59929764516
"b",39,"south",2405.047164243
"b",40,"north",3778.59929764516
"b",40,"south",2405.047164243
"b",41,"north",3778.59929764516
"b",41,"south",2405.047164243
"b",42,"north",3778.59929764516
"b",42,"south",2405.047164243
"b",43,"north",3778.59929764516
"b",43,"south",2405.047164243
"b",44,"north",3778.59929764516
"b",44,"south",2405.047164243
"b",45,"north",3778.59929764516
"b",45,"south",2405.047164243
"b",46,"north",3778.59929764516
"b",46,"south",2405.047164243
"b",47,"north",3778.59929764516
"b",47,"south",2405.047164243
"b",48,"north",3778.59929764516
"b",48,"south",2405.047164243
"b",49,"north",3778.59929764516
"b",49,"south",2405.047164243
"b",50,"north",3778.59929764516
"b",50,"south",2405.047164243
"b",51,"north",3778.59929764516
"b",51,"south",2405.047164243
"b",52,"north",3778.59929764516
"b",52,"south",2405.047164243
"b",53,"north",3778.59929764516
"b",53,"south",2405.047164243
"b",54,"north",3778.59929764516
"b",54,"south",2405.047164243
"b",55,"north",3778.59929764516
"b",55,"south",2405.047164243
"b",56,"north",3778.59929764516
"b",56,"south",2405.047164243
"b",57,"north",3778.59929764516
"b",57,"south",2405.047164243
"b",58,"north",3778.59929764516
"b",58,"south",2405.047164243
