"t","n","value"
1,"north",0.480089734090453
1,"south",0.482230045949289
2,"north",0.47652073106885
2,"south",0.479178116677128
3,"north",0.472011011420018
3,"south",0.475302957809444
4,"north",0.468216888137057
4,"south",0.4719038230446
5,"north",0.463188498261287
5,"south",0.467906094100106
6,"north",0.456981753637789
6,"south",0.463615889128039
7,"north",0.447636824643963
7,"south",0.45572326884117
8,"north",0.436252696206722
8,"south",0.446044788552273
9,"north",0.422583525187384
9,"south",0.434347809882202
10,"north",0.406449846452105
10,"south",0.420452328591392
11,"north",0.387784578018824
11,"south",0.404271775927115
12,"north",0.366678842757393
12,"south",0.385854796192242
13,"north",0.34341562422797
13,"south",0.365417622565911
14,"north",0.318477522451965
14,"south",0.343354755233868
15,"north",0.292518487483314
15,"south",0.320218350569042
16,"north",0.266299039589074
16,"south",0.296664853192947
17,"north",0.240597012054214
17,"south",0.273378437278405
18,"north",0.216115215782356
18,"south",0.250989517618985
19,"north",0.193408414876157
19,"south",0.230008176652101
20,"north",0.172844132194427
20,"south",0.210786050687144
21,"north",0.154599640025638
21,"south",0.193509766020413
22,"north",0.138687154233073
22,"south",0.178219762008464
23,"north",0.124994438535359
23,"south",0.164843712109716
24,"north",0.113328701266021
24,"south",0.15323394831402
25,"north",0.103455466380585
25,"south",0.14320137217258
26,"north",0.0951284534592236
26,"south",0.134542062908572
27,"north",0.0881098534881571
27,"south",0.127055757382124
28,"north",0.0821823052088073
28,"south",0.120557135192454
29,"north",0.0771546022927544
29,"south",0.114881560885294
30,"north",0.072863146831658
30,"south",0.109886988215239
31,"north",0.0691708062560504
31,"south",0.105453460963462
32,"north",0.0659643855115276
32,"south",0.101481279075247
33,"north",0.0631515241984625
33,"south",0.0978885575850246
34,"north",0.0606575159120977
34,"south",0.0946086349741154
35,"north",0.0584223264439653
35,"south",0.0915875930861681
36,"north",0.0563979429134181
36,"south",0.0887820210075509
37,"north",0.0545460973557963
37,"south",0.0861570743043389
38,"north",0.0528363580617101
38,"south",0.0836848338170953
39,"north",0.0512445563920357
39,"south",0.0813429431496765
40,"north",0.049751506246248
40,"south",0.0791134926474991
41,"north",0.048341971425229
41,"south",0.076982114371944
42,"north",0.0470038387389571
42,"south",0.074937253691261
43,"north",0.0457274594014049
43,"south",0.0729695863752595
44,"north",0.0445051266090467
44,"south",0.0710715541762771
45,"north",0.0433306624477633
45,"south",0.0692369960641517
46,"north",0.0421990920416028
46,"south",0.067460856179623
47,"north",0.0411063869998585
47,"south",0.0657389530126543
48,"north",0.0400492637157001
48,"south",0.0640677972534487
49,"north",0.039025024963167
49,"south",0.0624444482218535
50,"north",0.0380314356004468
50,"south",0.0608664008028784
51,"north",0.0370666250944408
51,"south",0.0593314964607722
52,"north",0.0361290111103911
52,"south",0.0578378532307116
53,"north",0.0352172396288943
53,"south",0.0563838106504969
54,"north",0.0343301380197297
54,"south",0.0549678864428468
55,"north",0.0334666782669243
55,"south",0.053588742433003
56,"north",0.0326259481430629
56,"south",0.0522451577205627
57,"north",0.0318071286061179
57,"south",0.050936007546838
58,"north",0.0310094760657408
58,"south",0.0496602466324235
