"t","n","value"
1,"arg",0.43669
1,"aus",1.05929
1,"aut",1.09708
1,"bel",1.11992
1,"bgr",0.38021
1,"blt",0.554958265763977
1,"bra",0.56238
1,"can",1.0017
1,"chl",0.59654
1,"chn",0.42084
1,"cor",0.77037
1,"cro",0.65723
1,"dnk",1.43252
1,"egy",0.26947
1,"esp",0.95248
1,"fin",1.21818
1,"fra",1.15053
1,"gbr",1.15793
1,"golf57",0.545099780698169
1,"grc",0.89773
1,"hun",0.64306
1,"idn",0.40572
1,"irl",1.25872
1,"ita",1.07448
1,"jpn",1.17537
1,"meme",0.650981336034221
1,"mex",0.65406
1,"mys",0.45808
1,"nde",0.33256
1,"nld",1.11646
1,"noan",0.52990191883624
1,"noap",0.469527423443284
1,"nor",1.38123
1,"oeu",0.659932378049513
1,"osea",0.566809253912094
1,"pol",0.57821
1,"prt",0.8525
1,"rcam",0.677428722501245
1,"rcz",0.57222
1,"rfa",1.08152
1,"ris",0.394271860780595
1,"rjan57",0.979984650850597
1,"rom",0.48921
1,"rsaf",0.449213431842169
1,"rsam",0.474792984460377
1,"rsas",0.338227045592511
1,"rsl",0.55067
1,"rus",0.4501
1,"slo",0.76177
1,"sui",1.39965
1,"swe",1.25505
1,"tha",0.39612
1,"tur",0.61809
1,"ukr",0.32768
1,"usa",1
1,"vnm",0.29724
1,"zaf",0.60863
2,"arg",0.43669
2,"aus",1.05929
2,"aut",1.09708
2,"bel",1.11992
2,"bgr",0.38021
2,"blt",0.554958265763977
2,"bra",0.56238
2,"can",1.0017
2,"chl",0.59654
2,"chn",0.42084
2,"cor",0.77037
2,"cro",0.65723
2,"dnk",1.43252
2,"egy",0.26947
2,"esp",0.95248
2,"fin",1.21818
2,"fra",1.15053
2,"gbr",1.15793
2,"golf57",0.545099780698169
2,"grc",0.89773
2,"hun",0.64306
2,"idn",0.40572
2,"irl",1.25872
2,"ita",1.07448
2,"jpn",1.17537
2,"meme",0.650981336034221
2,"mex",0.65406
2,"mys",0.45808
2,"nde",0.33256
2,"nld",1.11646
2,"noan",0.52990191883624
2,"noap",0.469527423443284
2,"nor",1.38123
2,"oeu",0.659932378049513
2,"osea",0.566809253912094
2,"pol",0.57821
2,"prt",0.8525
2,"rcam",0.677428722501245
2,"rcz",0.57222
2,"rfa",1.08152
2,"ris",0.394271860780595
2,"rjan57",0.979984650850597
2,"rom",0.48921
2,"rsaf",0.449213431842169
2,"rsam",0.474792984460377
2,"rsas",0.338227045592511
2,"rsl",0.55067
2,"rus",0.4501
2,"slo",0.76177
2,"sui",1.39965
2,"swe",1.25505
2,"tha",0.39612
2,"tur",0.61809
2,"ukr",0.32768
2,"usa",1
2,"vnm",0.29724
2,"zaf",0.60863
3,"arg",0.43669
3,"aus",1.05929
3,"aut",1.09708
3,"bel",1.11992
3,"bgr",0.38021
3,"blt",0.554958265763977
3,"bra",0.56238
3,"can",1.0017
3,"chl",0.59654
3,"chn",0.42084
3,"cor",0.77037
3,"cro",0.65723
3,"dnk",1.43252
3,"egy",0.26947
3,"esp",0.95248
3,"fin",1.21818
3,"fra",1.15053
3,"gbr",1.15793
3,"golf57",0.545099780698169
3,"grc",0.89773
3,"hun",0.64306
3,"idn",0.40572
3,"irl",1.25872
3,"ita",1.07448
3,"jpn",1.17537
3,"meme",0.650981336034221
3,"mex",0.65406
3,"mys",0.45808
3,"nde",0.33256
3,"nld",1.11646
3,"noan",0.52990191883624
3,"noap",0.469527423443284
3,"nor",1.38123
3,"oeu",0.659932378049513
3,"osea",0.566809253912094
3,"pol",0.57821
3,"prt",0.8525
3,"rcam",0.677428722501245
3,"rcz",0.57222
3,"rfa",1.08152
3,"ris",0.394271860780595
3,"rjan57",0.979984650850597
3,"rom",0.48921
3,"rsaf",0.449213431842169
3,"rsam",0.474792984460377
3,"rsas",0.338227045592511
3,"rsl",0.55067
3,"rus",0.4501
3,"slo",0.76177
3,"sui",1.39965
3,"swe",1.25505
3,"tha",0.39612
3,"tur",0.61809
3,"ukr",0.32768
3,"usa",1
3,"vnm",0.29724
3,"zaf",0.60863
4,"arg",0.43669
4,"aus",1.05929
4,"aut",1.09708
4,"bel",1.11992
4,"bgr",0.38021
4,"blt",0.554958265763977
4,"bra",0.56238
4,"can",1.0017
4,"chl",0.59654
4,"chn",0.42084
4,"cor",0.77037
4,"cro",0.65723
4,"dnk",1.43252
4,"egy",0.26947
4,"esp",0.95248
4,"fin",1.21818
4,"fra",1.15053
4,"gbr",1.15793
4,"golf57",0.545099780698169
4,"grc",0.89773
4,"hun",0.64306
4,"idn",0.40572
4,"irl",1.25872
4,"ita",1.07448
4,"jpn",1.17537
4,"meme",0.650981336034221
4,"mex",0.65406
4,"mys",0.45808
4,"nde",0.33256
4,"nld",1.11646
4,"noan",0.52990191883624
4,"noap",0.469527423443284
4,"nor",1.38123
4,"oeu",0.659932378049513
4,"osea",0.566809253912094
4,"pol",0.57821
4,"prt",0.8525
4,"rcam",0.677428722501245
4,"rcz",0.57222
4,"rfa",1.08152
4,"ris",0.394271860780595
4,"rjan57",0.979984650850597
4,"rom",0.48921
4,"rsaf",0.449213431842169
4,"rsam",0.474792984460377
4,"rsas",0.338227045592511
4,"rsl",0.55067
4,"rus",0.4501
4,"slo",0.76177
4,"sui",1.39965
4,"swe",1.25505
4,"tha",0.39612
4,"tur",0.61809
4,"ukr",0.32768
4,"usa",1
4,"vnm",0.29724
4,"zaf",0.60863
5,"arg",0.43669
5,"aus",1.05929
5,"aut",1.09708
5,"bel",1.11992
5,"bgr",0.38021
5,"blt",0.554958265763977
5,"bra",0.56238
5,"can",1.0017
5,"chl",0.59654
5,"chn",0.42084
5,"cor",0.77037
5,"cro",0.65723
5,"dnk",1.43252
5,"egy",0.26947
5,"esp",0.95248
5,"fin",1.21818
5,"fra",1.15053
5,"gbr",1.15793
