"ssp","t","n","value"
"ssp1",1,"arg",0.187438072277837
"ssp1",1,"aus",0.36690983596186
"ssp1",1,"aut",0.212551901829784
"ssp1",1,"bel",0.271505383041662
"ssp1",1,"bgr",0.396930145101952
"ssp1",1,"blt",0.251413916932163
"ssp1",1,"bra",0.159479880605767
"ssp1",1,"can",0.403574137958549
"ssp1",1,"chl",0.216151396256361
"ssp1",1,"chn",0.467699123077123
"ssp1",1,"cor",0.400757352906631
"ssp1",1,"cro",0.273942372914106
"ssp1",1,"dnk",0.190824155711054
"ssp1",1,"egy",0.220099557158724
"ssp1",1,"esp",0.242275274726395
"ssp1",1,"fin",0.255876584473824
"ssp1",1,"fra",0.179365953093217
"ssp1",1,"gbr",0.209742905931525
"ssp1",1,"golf57",0.600147214173467
"ssp1",1,"grc",0.375897734048784
"ssp1",1,"hun",0.269209357735934
"ssp1",1,"idn",0.203532503706829
"ssp1",1,"irl",0.206432668462328
"ssp1",1,"ita",0.231841137249081
"ssp1",1,"jpn",0.351920196880304
"ssp1",1,"meme",0.290094655912441
"ssp1",1,"mex",0.322286805401357
"ssp1",1,"mys",0.443995582027328
"ssp1",1,"nde",0.381623867475524
"ssp1",1,"nld",0.266844379567184
"ssp1",1,"noan",0.353325037571117
"ssp1",1,"noap",0.51727786468856
"ssp1",1,"nor",0.172103529904967
"ssp1",1,"oeu",0.369838495453448
"ssp1",1,"osea",0.379295022903904
"ssp1",1,"pol",0.424811416160741
"ssp1",1,"prt",0.249258301090702
"ssp1",1,"rcam",0.270419987093813
"ssp1",1,"rcz",0.355007490533682
"ssp1",1,"rfa",0.287100634900314
"ssp1",1,"ris",0.563952707725133
"ssp1",1,"rjan57",0.229873070944247
"ssp1",1,"rom",0.237053587258092
"ssp1",1,"rsaf",0.143215058226414
"ssp1",1,"rsam",0.203635641914332
"ssp1",1,"rsas",0.205413694163941
"ssp1",1,"rsl",0.235483274964403
"ssp1",1,"rus",0.528334597471499
"ssp1",1,"slo",0.274703087585325
"ssp1",1,"sui",0.0947102464815908
"ssp1",1,"swe",0.125223103093537
"ssp1",1,"tha",0.374849315670169
"ssp1",1,"tur",0.315277906058311
"ssp1",1,"ukr",0.712658096239224
"ssp1",1,"usa",0.361657770772149
"ssp1",1,"vnm",0.371127244564909
"ssp1",1,"zaf",0.94774974461898
"ssp1",2,"arg",0.14066568897855
"ssp1",2,"aus",0.290890064401203
"ssp1",2,"aut",0.192145673619597
"ssp1",2,"bel",0.257541418790396
"ssp1",2,"bgr",0.274953903888652
"ssp1",2,"blt",0.213177582697854
"ssp1",2,"bra",0.133408240326967
"ssp1",2,"can",0.364642531956479
"ssp1",2,"chl",0.178524222020189
"ssp1",2,"chn",0.363258243372955
"ssp1",2,"cor",0.321227497190156
"ssp1",2,"cro",0.231011224228671
"ssp1",2,"dnk",0.177348440689027
"ssp1",2,"egy",0.187381043272508
"ssp1",2,"esp",0.224160501887533
"ssp1",2,"fin",0.22490938440639
"ssp1",2,"fra",0.154445417219355
"ssp1",2,"gbr",0.164773253790187
"ssp1",2,"golf57",0.411137058853947
"ssp1",2,"grc",0.295480295684776
"ssp1",2,"hun",0.229723359502352
"ssp1",2,"idn",0.169929919368146
"ssp1",2,"irl",0.183647160097186
"ssp1",2,"ita",0.206444888507838
"ssp1",2,"jpn",0.316015180952721
"ssp1",2,"meme",0.223398535507742
"ssp1",2,"mex",0.267536471480195
"ssp1",2,"mys",0.373645533767421
"ssp1",2,"nde",0.336056739900474
"ssp1",2,"nld",0.244465602423075
"ssp1",2,"noan",0.29180068493476
"ssp1",2,"noap",0.416392782913054
"ssp1",2,"nor",0.151167221132922
"ssp1",2,"oeu",0.347540687554846
"ssp1",2,"osea",0.35932637786851
"ssp1",2,"pol",0.344981634208885
"ssp1",2,"prt",0.201166631768734
"ssp1",2,"rcam",0.247168652167036
"ssp1",2,"rcz",0.291781144488284
"ssp1",2,"rfa",0.249232455873491
"ssp1",2,"ris",0.439061098770218
"ssp1",2,"rjan57",0.211870851687446
"ssp1",2,"rom",0.179365960618488
"ssp1",2,"rsaf",0.131584858520687
"ssp1",2,"rsam",0.183223306013699
"ssp1",2,"rsas",0.202894193531376
"ssp1",2,"rsl",0.1765582721602
"ssp1",2,"rus",0.430196160696946
"ssp1",2,"slo",0.21003718502399
"ssp1",2,"sui",0.083328445991468
"ssp1",2,"swe",0.113780910518851
"ssp1",2,"tha",0.296726759128052
"ssp1",2,"tur",0.267495589679085
"ssp1",2,"ukr",0.6753062664352
"ssp1",2,"usa",0.273129514337747
"ssp1",2,"vnm",0.325806402668452
"ssp1",2,"zaf",0.747376897585358
"ssp1",3,"arg",0.107878439500535
"ssp1",3,"aus",0.233484077847931
"ssp1",3,"aut",0.173899297347404
"ssp1",3,"bel",0.242959705654174
"ssp1",3,"bgr",0.199749206546127
"ssp1",3,"blt",0.182321898041806
"ssp1",3,"bra",0.113858364067264
"ssp1",3,"can",0.328110947707069
"ssp1",3,"chl",0.146952094359741
"ssp1",3,"chn",0.28559091440019
"ssp1",3,"cor",0.266236264877568
"ssp1",3,"cro",0.195119465327312
"ssp1",3,"dnk",0.164152698742769
"ssp1",3,"egy",0.162192638035214
"ssp1",3,"esp",0.205789822546929
"ssp1",3,"fin",0.201562524743021
"ssp1",3,"fra",0.136537438401924
"ssp1",3,"gbr",0.134745034252649
"ssp1",3,"golf57",0.314630221695999
"ssp1",3,"grc",0.244404540243743
"ssp1",3,"hun",0.194800080360786
"ssp1",3,"idn",0.146109723889218
"ssp1",3,"irl",0.164878653280779
"ssp1",3,"ita",0.182934539798952
"ssp1",3,"jpn",0.284921219317852
"ssp1",3,"meme",0.178234415988937
"ssp1",3,"mex",0.224628408809758
"ssp1",3,"mys",0.315495794593862
"ssp1",3,"nde",0.295838786028929
"ssp1",3,"nld",0.222205287954348
"ssp1",3,"noan",0.241324635313153
"ssp1",3,"noap",0.33857667143011
"ssp1",3,"nor",0.142659651136069
"ssp1",3,"oeu",0.326563561321322
"ssp1",3,"osea",0.339689703232316
"ssp1",3,"pol",0.287809469904244
"ssp1",3,"prt",0.166864852147667
"ssp1",3,"rcam",0.22590412020031
"ssp1",3,"rcz",0.236738084741176
"ssp1",3,"rfa",0.21911472395334
"ssp1",3,"ris",0.351195389775524
"ssp1",3,"rjan57",0.195268311910637
"ssp1",3,"rom",0.139955555729126
"ssp1",3,"rsaf",0.120731008539315
"ssp1",3,"rsam",0.16484972849453
"ssp1",3,"rsas",0.198886800434971
"ssp1",3,"rsl",0.135479795364197
"ssp1",3,"rus",0.358314539330984
"ssp1",3,"slo",0.165162447361853
"ssp1",3,"sui",0.0755407194121464
"ssp1",3,"swe",0.103873573834431
"ssp1",3,"tha",0.237044723109817
"ssp1",3,"tur",0.229381384827079
"ssp1",3,"ukr",0.664202919222293
"ssp1",3,"usa",0.220139344032585
"ssp1",3,"vnm",0.288178734295638
