"ssp","t","n","value"
"ssp1",1,"arg",0.205580342596832
"ssp1",1,"aus",0.401372517443504
"ssp1",1,"aut",0.0668655614380203
"ssp1",1,"bel",0.101106829554612
"ssp1",1,"bgr",0.0480410563342456
"ssp1",1,"blt",0.0377885824666064
"ssp1",1,"bra",0.502007258052794
"ssp1",1,"can",0.564301968676359
"ssp1",1,"chl",0.0792350904304274
"ssp1",1,"chn",10.1183106243106
"ssp1",1,"cor",0.645596387217815
"ssp1",1,"cro",0.0189385308757602
"ssp1",1,"dnk",0.0365123628874007
"ssp1",1,"egy",0.203944765781638
"ssp1",1,"esp",0.274472344530695
"ssp1",1,"fin",0.0447515159308007
"ssp1",1,"fra",0.342823652029236
"ssp1",1,"gbr",0.427579063212317
"ssp1",1,"golf57",1.9883623636217
"ssp1",1,"grc",0.0750275993363945
"ssp1",1,"hun",0.0467671867889804
"ssp1",1,"idn",0.385751216535808
"ssp1",1,"irl",0.0388979196175454
"ssp1",1,"ita",0.359409699037966
"ssp1",1,"jpn",1.20871201126064
"ssp1",1,"meme",0.154316629557971
"ssp1",1,"mex",0.493435233012923
"ssp1",1,"mys",0.256096215644299
"ssp1",1,"nde",2.09114769497948
"ssp1",1,"nld",0.165631821862875
"ssp1",1,"noan",0.0834477533147296
"ssp1",1,"noap",0.205592340600537
"ssp1",1,"nor",0.0453106886885152
"ssp1",1,"oeu",0.109337426720265
"ssp1",1,"osea",0.617795292792752
"ssp1",1,"pol",0.312173491360278
"ssp1",1,"prt",0.0528543260233478
"ssp1",1,"rcam",0.193401535946229
"ssp1",1,"rcz",0.105077226742744
"ssp1",1,"rfa",0.802482171996906
"ssp1",1,"ris",0.564322790808091
"ssp1",1,"rjan57",0.045498799644013
"ssp1",1,"rom",0.0782832608983213
"ssp1",1,"rsaf",0.358512236313946
"ssp1",1,"rsam",0.429340810268022
"ssp1",1,"rsas",0.299356723710192
"ssp1",1,"rsl",0.0338013778965258
"ssp1",1,"rus",1.68368002781685
"ssp1",1,"slo",0.0141220652080523
"ssp1",1,"sui",0.0387227787859385
"ssp1",1,"swe",0.0454961895609284
"ssp1",1,"tha",0.331218028645348
"ssp1",1,"tur",0.38000729666131
"ssp1",1,"ukr",0.223529377194778
"ssp1",1,"usa",5.46910832559888
"ssp1",1,"vnm",0.203753912814926
"ssp1",1,"zaf",0.437149116400073
"ssp1",2,"arg",0.185617687314845
"ssp1",2,"aus",0.376459817739253
"ssp1",2,"aut",0.0663412226473945
"ssp1",2,"bel",0.104247190675164
"ssp1",2,"bgr",0.0412791186671653
"ssp1",2,"blt",0.0376690023460774
"ssp1",2,"bra",0.509810545724603
"ssp1",2,"can",0.578442548526812
"ssp1",2,"chl",0.0812217553746973
"ssp1",2,"chn",11.6576994056005
"ssp1",2,"cor",0.625802643135942
"ssp1",2,"cro",0.0177064531808385
