"ssp","t","n","value"
"ssp1",1,"arg",41.866
"ssp1",1,"aus",24.165
"ssp1",1,"aut",8.568
"ssp1",1,"bel",11.023
"ssp1",1,"bgr",7.266
"ssp1",1,"blt",6.771
"ssp1",1,"bra",202.295
"ssp1",1,"can",35.901
"ssp1",1,"chl",17.809
"ssp1",1,"chn",1360.497
"ssp1",1,"cor",48.969
"ssp1",1,"cro",4.37
"ssp1",1,"dnk",5.689
"ssp1",1,"egy",87.574
"ssp1",1,"esp",47.866
"ssp1",1,"fin",5.502
"ssp1",1,"fra",67.056
"ssp1",1,"gbr",64.264
"ssp1",1,"golf57",192.102
"ssp1",1,"grc",11.471
"ssp1",1,"hun",9.871
"ssp1",1,"idn",250.506
"ssp1",1,"irl",4.773
"ssp1",1,"ita",61.583
"ssp1",1,"jpn",126.34
"ssp1",1,"meme",46.243
"ssp1",1,"mex",119.292
"ssp1",1,"mys",30.554
"ssp1",1,"nde",1297.953
"ssp1",1,"nld",16.961
"ssp1",1,"noan",44.146
"ssp1",1,"noap",44.743
"ssp1",1,"nor",5.16
"ssp1",1,"oeu",21.973
"ssp1",1,"osea",211.179
"ssp1",1,"pol",38.448
"ssp1",1,"prt",10.818
"ssp1",1,"rcam",86.326
"ssp1",1,"rcz",10.776
"ssp1",1,"rfa",82.278
"ssp1",1,"ris",93.28
"ssp1",1,"rjan57",15.938
"ssp1",1,"rom",21.121
"ssp1",1,"rsaf",899.714
"ssp1",1,"rsam",147.758
"ssp1",1,"rsas",435.069
"ssp1",1,"rsl",5.546
"ssp1",1,"rus",142.36
"ssp1",1,"slo",2.068
"ssp1",1,"sui",7.908
"ssp1",1,"swe",9.793
"ssp1",1,"tha",70.967
"ssp1",1,"tur",76.638
"ssp1",1,"ukr",44.093
"ssp1",1,"usa",323.217
"ssp1",1,"vnm",92.035
"ssp1",1,"zaf",52.396
"ssp1",2,"arg",43.044
"ssp1",2,"aus",26.044
"ssp1",2,"aut",8.734
"ssp1",2,"bel",11.324
