"ssp","t","n","value"
"ssp1",1,"arg",5.28380070166681
"ssp1",1,"aus",9.01093311978198
"ssp1",1,"aut",8.70616853203303
"ssp1",1,"bel",8.17958619882511
"ssp1",1,"bgr",4.15194265447146
"ssp1",1,"blt",5.88122837293593
"ssp1",1,"bra",3.57342241653085
"ssp1",1,"can",8.78814118215597
"ssp1",1,"chl",5.2455442311485
"ssp1",1,"chn",3.37779535081493
"ssp1",1,"cor",7.93139247387488
"ssp1",1,"cro",5.1741015674448
"ssp1",1,"dnk",8.396616347506
"ssp1",1,"egy",2.40369068408404
"ssp1",1,"esp",7.03475820814354
"ssp1",1,"fin",8.30544591719303
"ssp1",1,"fra",7.51491751464701
"ssp1",1,"gbr",9.19334719202199
"ssp1",1,"golf57",6.85301219236716
"ssp1",1,"grc",6.2946302851292
"ssp1",1,"hun",5.33262447529334
"ssp1",1,"idn",1.87746914930806
"ssp1",1,"irl",9.59241196270567
"ssp1",1,"ita",7.00306589883875
"ssp1",1,"jpn",7.52624873579713
"ssp1",1,"meme",3.84731029218604
"ssp1",1,"mex",4.68426803047162
"ssp1",1,"mys",4.85727364070288
"ssp1",1,"nde",1.85564567100751
"ssp1",1,"nld",9.05263317084796
"ssp1",1,"noan",2.55112193672775
"ssp1",1,"noap",3.52333078561629
"ssp1",1,"nor",10.5963217924835
"ssp1",1,"oeu",4.57385715070144
"ssp1",1,"osea",4.7999510411622
"ssp1",1,"pol",6.3956772436467
"ssp1",1,"prt",5.96400041014094
"ssp1",1,"rcam",3.03056993289874
"ssp1",1,"rcz",6.54425950738569
"ssp1",1,"rfa",8.74454020772274
"ssp1",1,"ris",3.02328486339562
"ssp1",1,"rjan57",3.72817562752129
"ssp1",1,"rom",4.03404026064845
"ssp1",1,"rsaf",1.19324243424507
"ssp1",1,"rsam",3.93055675271838
"ssp1",1,"rsas",1.41640537035485
"ssp1",1,"rsl",6.18525133796128
"ssp1",1,"rus",4.77667609194735
"ssp1",1,"slo",6.96057314030393
"ssp1",1,"sui",8.40521262009704
"ssp1",1,"swe",8.76133501200575
"ssp1",1,"tha",3.14340402464507
"ssp1",1,"tur",5.129424803238
"ssp1",1,"ukr",2.1913628613373
"ssp1",1,"usa",10.8650149000405
"ssp1",1,"vnm",1.74635363641612
"ssp1",1,"zaf",3.88916679386109
"ssp1",2,"arg",6.51043781543665
"ssp1",2,"aus",10.4056681612645
"ssp1",2,"aut",9.57307641224212
"ssp1",2,"bel",8.93198183149709
"ssp1",2,"bgr",5.44187101706685
"ssp1",2,"blt",7.11213595173542
"ssp1",2,"bra",4.57814368354145
"ssp1",2,"can",9.92343050393625
"ssp1",2,"chl",6.41075760501569
"ssp1",2,"chn",4.70245599272115
"ssp1",2,"cor",9.06516149225687
"ssp1",2,"cro",5.9015135825158
"ssp1",2,"dnk",8.89980232477812
"ssp1",2,"egy",3.34037085245023
"ssp1",2,"esp",7.6414369368537
"ssp1",2,"fin",9.29181461800852
"ssp1",2,"fra",8.30435231965331
"ssp1",2,"gbr",10.643777291174
"ssp1",2,"golf57",5.95728348807455
"ssp1",2,"grc",7.84289896324044
"ssp1",2,"hun",5.89807098342384
"ssp1",2,"idn",2.61803263886139
"ssp1",2,"irl",10.0231684032257
"ssp1",2,"ita",7.77602883215943
"ssp1",2,"jpn",8.1791699355073
"ssp1",2,"meme",4.67799038648244
"ssp1",2,"mex",5.34039347782737
"ssp1",2,"mys",5.76537112083028
"ssp1",2,"nde",2.40245477493429
"ssp1",2,"nld",9.70284393086833
"ssp1",2,"noan",3.33065971880666
"ssp1",2,"noap",3.85397889079258
"ssp1",2,"nor",11.1918094936415
"ssp1",2,"oeu",5.29440430656111
"ssp1",2,"osea",4.86603530128142
"ssp1",2,"pol",7.50372909066928
"ssp1",2,"prt",6.94792688045806
"ssp1",2,"rcam",3.44165536662963
"ssp1",2,"rcz",7.86626955751844
"ssp1",2,"rfa",9.2694569442841
"ssp1",2,"ris",3.86055274190265
"ssp1",2,"rjan57",4.03965964140845
"ssp1",2,"rom",4.97698437787088
"ssp1",2,"rsaf",1.47889963397394
"ssp1",2,"rsam",4.71881990459685
"ssp1",2,"rsas",1.73702353854702
"ssp1",2,"rsl",7.46414827791519
"ssp1",2,"rus",5.94408034514702
"ssp1",2,"slo",7.80765986986079
"ssp1",2,"sui",9.22819423166612
"ssp1",2,"swe",9.59123998688179
"ssp1",2,"tha",4.05984745520861
"ssp1",2,"tur",5.88271786212767
"ssp1",2,"ukr",2.9981965339489
"ssp1",2,"usa",12.4446589478134
"ssp1",2,"vnm",2.35270912143884
"ssp1",2,"zaf",4.83840824175842
"ssp1",3,"arg",7.75885675427759
"ssp1",3,"aus",11.4872680112585
"ssp1",3,"aut",10.2680979554844
"ssp1",3,"bel",9.671443197091
"ssp1",3,"bgr",6.80276533397488
"ssp1",3,"blt",8.14594637056231
"ssp1",3,"bra",5.59772390151452
"ssp1",3,"can",10.5874672946805
"ssp1",3,"chl",7.45918865731098
"ssp1",3,"chn",6.04470665295506
"ssp1",3,"cor",10.1405875043248
"ssp1",3,"cro",6.54501156147101
"ssp1",3,"dnk",9.29108077893622
"ssp1",3,"egy",4.46106119784663
"ssp1",3,"esp",8.16510105146841
"ssp1",3,"fin",10.1080124226601
"ssp1",3,"fra",9.03635002810362
"ssp1",3,"gbr",11.8319189630983
"ssp1",3,"golf57",6.0393169360819
"ssp1",3,"grc",9.36913165595736
"ssp1",3,"hun",6.59345878587644
"ssp1",3,"idn",3.53986141823284
"ssp1",3,"irl",10.4322720775756
"ssp1",3,"ita",8.50372600354767
"ssp1",3,"jpn",8.91412182296946
"ssp1",3,"meme",5.45571464044523
"ssp1",3,"mex",6.0359678420871
"ssp1",3,"mys",6.73067923153608
"ssp1",3,"nde",3.04267800431055
"ssp1",3,"nld",10.2405788396206
"ssp1",3,"noan",4.25704890215841
"ssp1",3,"noap",4.30287825888826
"ssp1",3,"nor",11.4479749842329
"ssp1",3,"oeu",6.03229336332006
"ssp1",3,"osea",5.03083252730443
"ssp1",3,"pol",8.45712511738541
"ssp1",3,"prt",7.9044429510578
"ssp1",3,"rcam",3.92018101532082
"ssp1",3,"rcz",9.15405806504048
"ssp1",3,"rfa",9.71414628219377
"ssp1",3,"ris",4.76368580168238
"ssp1",3,"rjan57",4.35098411401736
"ssp1",3,"rom",6.0148189787428
"ssp1",3,"rsaf",1.82707635604473
"ssp1",3,"rsam",5.53029866815582
"ssp1",3,"rsas",2.14136100091037
"ssp1",3,"rsl",8.57790882814194
"ssp1",3,"rus",7.17000620115897
"ssp1",3,"slo",8.56618544018931
"ssp1",3,"sui",9.91144940514814
"ssp1",3,"swe",10.2536712512225
"ssp1",3,"tha",5.12791918907464
"ssp1",3,"tur",6.62545114985966
"ssp1",3,"ukr",4.11443752313955
"ssp1",3,"usa",13.6436870244996
"ssp1",3,"vnm",2.97287803162647
"ssp1",3,"zaf",5.80212489275305
"ssp1",4,"arg",8.97503918161028
"ssp1",4,"aus",12.4060644243001
"ssp1",4,"aut",10.9233666290548
"ssp1",4,"bel",10.4484414355291
"ssp1",4,"bgr",8.18966229877955
"ssp1",4,"blt",9.16117918506501
"ssp1",4,"bra",6.61002208836303
"ssp1",4,"can",11.0977510513579
"ssp1",4,"chl",8.46011922976776
"ssp1",4,"chn",7.33307774640492
"ssp1",4,"cor",11.081974274276
"ssp1",4,"cro",7.2299727441856
"ssp1",4,"dnk",9.7000572400645
"ssp1",4,"egy",5.73838172578966
"ssp1",4,"esp",8.76273078997147
"ssp1",4,"fin",10.8941581011504
"ssp1",4,"fra",9.79931205394777
"ssp1",4,"gbr",12.8523342412938
"ssp1",4,"golf57",6.4324830126059
"ssp1",4,"grc",10.9990773472575
"ssp1",4,"hun",7.36508121788077
"ssp1",4,"idn",4.56452513862166
"ssp1",4,"irl",10.9332514711777
"ssp1",4,"ita",9.24328142533791
"ssp1",4,"jpn",9.69426678720858
"ssp1",4,"meme",6.27818721201845
"ssp1",4,"mex",6.83507832757091
"ssp1",4,"mys",7.75309754102377
"ssp1",4,"nde",3.78014540467702
"ssp1",4,"nld",10.7906046687361
"ssp1",4,"noan",5.29937337985783
"ssp1",4,"noap",4.78250112250538
"ssp1",4,"nor",11.861164441141
"ssp1",4,"oeu",6.7773576861089
"ssp1",4,"osea",5.29862302376245
"ssp1",4,"pol",9.33056589155267
"ssp1",4,"prt",8.84005087186209
"ssp1",4,"rcam",4.47028306311634
"ssp1",4,"rcz",10.4431006941763
"ssp1",4,"rfa",10.1672493293598
"ssp1",4,"ris",5.61671444328896
"ssp1",4,"rjan57",4.73276112592528
"ssp1",4,"rom",7.13938242039267
"ssp1",4,"rsaf",2.27561458393074
"ssp1",4,"rsam",6.41973651053043
"ssp1",4,"rsas",2.64530073278564
"ssp1",4,"rsl",9.62662020311254
"ssp1",4,"rus",8.50069674801124
"ssp1",4,"slo",9.31905979537396
"ssp1",4,"sui",10.5363654627911
"ssp1",4,"swe",10.8791417854146
"ssp1",4,"tha",6.29061663846947
"ssp1",4,"tur",7.40211097325519
"ssp1",4,"ukr",5.49045409745178
"ssp1",4,"usa",14.6075841806178
"ssp1",4,"vnm",3.65333311276358
"ssp1",4,"zaf",6.74566447768795
"ssp1",5,"arg",10.1439868807682
"ssp1",5,"aus",13.2528815454153
"ssp1",5,"aut",11.5783608570234
"ssp1",5,"bel",11.2370466505379
"ssp1",5,"bgr",9.45068781147271
"ssp1",5,"blt",10.1513335081148
"ssp1",5,"bra",7.62271140256167
"ssp1",5,"can",11.6582711415871
"ssp1",5,"chl",9.43341145266729
"ssp1",5,"chn",8.47112776387566
"ssp1",5,"cor",11.9048640628425
"ssp1",5,"cro",7.93177860013873
"ssp1",5,"dnk",10.1733301452739
"ssp1",5,"egy",7.07042679933866
"ssp1",5,"esp",9.36928969263545
"ssp1",5,"fin",11.6798072924629
"ssp1",5,"fra",10.5885985750987
"ssp1",5,"gbr",13.7747759086439
"ssp1",5,"golf57",6.86210828237261
"ssp1",5,"grc",12.5056731409673
"ssp1",5,"hun",8.13085593840868
"ssp1",5,"idn",5.67551631136774
"ssp1",5,"irl",11.4070159948056
"ssp1",5,"ita",9.9809932674887
"ssp1",5,"jpn",10.4371140055266
"ssp1",5,"meme",7.14172722903296
"ssp1",5,"mex",7.70706834023339
"ssp1",5,"mys",8.78682988599004
"ssp1",5,"nde",4.6077637136986
