"ssp","t","n","value"
"ssp2",1,"arg",5.40165758746644
"ssp2",1,"aus",8.9238933692085
"ssp2",1,"aut",8.7535092494319
"ssp2",1,"bel",8.3027754051864
"ssp2",1,"bgr",4.1152554281947
"ssp2",1,"blt",5.52352977445884
"ssp2",1,"bra",3.60463719715373
"ssp2",1,"can",8.76344792523594
"ssp2",1,"chl",5.28952446525189
"ssp2",1,"chn",3.39923161753604
"ssp2",1,"cor",8.15195937502597
"ssp2",1,"cro",5.03189823821525
"ssp2",1,"dnk",8.38917877453031
"ssp2",1,"egy",2.50064081227446
"ssp2",1,"esp",6.89378081820724
"ssp2",1,"fin",8.27384336012793
"ssp2",1,"fra",7.46751031520144
"ssp2",1,"gbr",9.27342949318198
"ssp2",1,"golf57",6.88604217072079
"ssp2",1,"grc",6.04776814107194
"ssp2",1,"hun",5.31810431944662
"ssp2",1,"idn",1.92023391690739
"ssp2",1,"irl",9.49902269662167
"ssp2",1,"ita",6.91993407755221
"ssp2",1,"jpn",7.55484135561811
"ssp2",1,"meme",3.85093073256306
"ssp2",1,"mex",4.76192936672176
"ssp2",1,"mys",4.83318553437455
"ssp2",1,"nde",1.87193673107527
"ssp2",1,"nld",9.04625111263754
"ssp2",1,"noan",2.62243868511818
"ssp2",1,"noap",3.60909712840492
"ssp2",1,"nor",10.6254963478143
"ssp2",1,"oeu",4.13428923434477
"ssp2",1,"osea",4.50983055702617
"ssp2",1,"pol",6.34036434441343
"ssp2",1,"prt",5.78723090932503
"ssp2",1,"rcam",3.06705569558812
"ssp2",1,"rcz",6.44442520008842
"ssp2",1,"rfa",8.69387614844454
"ssp2",1,"ris",3.11944427427528
"ssp2",1,"rjan57",3.89856961012253
"ssp2",1,"rom",3.85659297417266
"ssp2",1,"rsaf",1.23200850152052
"ssp2",1,"rsam",3.91349594361413
"ssp2",1,"rsas",1.42952462925934
"ssp2",1,"rsl",6.08822144572695
"ssp2",1,"rus",4.81952810407792
"ssp2",1,"slo",6.94643928695809
"ssp2",1,"sui",8.67436682281011
"ssp2",1,"swe",8.77072254219643
"ssp2",1,"tha",3.07452477118117
"ssp2",1,"tur",5.22564994195987
"ssp2",1,"ukr",2.2284950535196
"ssp2",1,"usa",10.7988567333066
"ssp2",1,"vnm",1.75680430767555
"ssp2",1,"zaf",4.04447503026117
"ssp2",2,"arg",6.63438278167429
"ssp2",2,"aus",10.2844235995614
"ssp2",2,"aut",9.60228763123068
"ssp2",2,"bel",9.06103642844579
"ssp2",2,"bgr",5.35142663047669
"ssp2",2,"blt",6.64617360179979
"ssp2",2,"bra",4.60235176134425
"ssp2",2,"can",9.88645672918325
"ssp2",2,"chl",6.44453035587066
"ssp2",2,"chn",4.66900166889379
"ssp2",2,"cor",9.28279198503498
"ssp2",2,"cro",5.72501080091077
"ssp2",2,"dnk",8.87483831436287
"ssp2",2,"egy",3.45634372073166
"ssp2",2,"esp",7.48437613584961
"ssp2",2,"fin",9.2238343016155
"ssp2",2,"fra",8.24210350652338
"ssp2",2,"gbr",10.7040943791029
"ssp2",2,"golf57",5.97477812621986
"ssp2",2,"grc",7.50346798781069
"ssp2",2,"hun",5.87083935731115
"ssp2",2,"idn",2.65488291171141
"ssp2",2,"irl",9.9125540399218
"ssp2",2,"ita",7.67714545930536
"ssp2",2,"jpn",8.18840709221513
"ssp2",2,"meme",4.65184877343541
"ssp2",2,"mex",5.42521968082482
"ssp2",2,"mys",5.71379332849408
"ssp2",2,"nde",2.40249203623743
"ssp2",2,"nld",9.68791172176724
"ssp2",2,"noan",3.4012668763838
"ssp2",2,"noap",3.93985590467691
"ssp2",2,"nor",11.1810495507548
"ssp2",2,"oeu",4.76519263603065
"ssp2",2,"osea",4.5433843794839
"ssp2",2,"pol",7.40764280469374
"ssp2",2,"prt",6.72465189012449
"ssp2",2,"rcam",3.45555169002379
"ssp2",2,"rcz",7.71731688497458
"ssp2",2,"rfa",9.20054457370955
"ssp2",2,"ris",3.95967662222749
"ssp2",2,"rjan57",4.1946173797622
"ssp2",2,"rom",4.73318746590496
"ssp2",2,"rsaf",1.51109786849026
"ssp2",2,"rsam",4.68283883658205
"ssp2",2,"rsas",1.74004147666161
"ssp2",2,"rsl",7.32638468162307
"ssp2",2,"rus",5.94984709324795
"ssp2",2,"slo",7.77301261388443
"ssp2",2,"sui",9.50231539596617
"ssp2",2,"swe",9.58913942140497
"ssp2",2,"tha",3.94400961830256
"ssp2",2,"tur",5.97384317591264
"ssp2",2,"ukr",3.01942687694804
"ssp2",2,"usa",12.3106914104991
"ssp2",2,"vnm",2.35174137559247
"ssp2",2,"zaf",5.01099845246045
"ssp2",3,"arg",7.74075638088452
"ssp2",3,"aus",11.2412209515927
"ssp2",3,"aut",10.241805065589
"ssp2",3,"bel",9.79554950119797
"ssp2",3,"bgr",6.49093117850682
"ssp2",3,"blt",7.48000914514291
"ssp2",3,"bra",5.47766637748312
"ssp2",3,"can",10.6439584202759
"ssp2",3,"chl",7.35439453754641
"ssp2",3,"chn",5.70257167333938
"ssp2",3,"cor",10.2810504906164
"ssp2",3,"cro",6.26014664296207
"ssp2",3,"dnk",9.20282807076275
"ssp2",3,"egy",4.49037124689118
"ssp2",3,"esp",7.96027870006768
"ssp2",3,"fin",9.95007601827228
"ssp2",3,"fra",8.91044450465998
"ssp2",3,"gbr",11.7632023725042
"ssp2",3,"golf57",5.98932351870502
"ssp2",3,"grc",8.82386026037295
"ssp2",3,"hun",6.51515822301717
"ssp2",3,"idn",3.42788145679848
"ssp2",3,"irl",10.2851061579855
"ssp2",3,"ita",8.34312606441324
"ssp2",3,"jpn",8.82161549848164
"ssp2",3,"meme",5.32015329686139
"ssp2",3,"mex",6.02889601552322
"ssp2",3,"mys",6.50535455236368
"ssp2",3,"nde",2.91954745096732
"ssp2",3,"nld",10.1934366344081
"ssp2",3,"noan",4.21087655314673
"ssp2",3,"noap",4.33336241653678
"ssp2",3,"nor",11.309499227547
"ssp2",3,"oeu",5.35137059437362
"ssp2",3,"osea",4.62528876312692
"ssp2",3,"pol",8.24132453632278
"ssp2",3,"prt",7.56529731683031
"ssp2",3,"rcam",3.82694548691774
"ssp2",3,"rcz",8.86711147633788
"ssp2",3,"rfa",9.57781607262026
"ssp2",3,"ris",4.79864368747538
"ssp2",3,"rjan57",4.43269802014171
"ssp2",3,"rom",5.56698243206455
"ssp2",3,"rsaf",1.78399238227617
"ssp2",3,"rsam",5.34858137968187
"ssp2",3,"rsas",2.0610984221087
"ssp2",3,"rsl",8.35291461691081
"ssp2",3,"rus",7.00648722423536
"ssp2",3,"slo",8.45579086411772
"ssp2",3,"sui",10.1009285555387
"ssp2",3,"swe",10.1971906680696
"ssp2",3,"tha",4.83097015436332
"ssp2",3,"tur",6.58089943335351
"ssp2",3,"ukr",3.98248402278688
"ssp2",3,"usa",13.3126442904252
"ssp2",3,"vnm",2.8550130519091
"ssp2",3,"zaf",5.88708195150414
"ssp2",4,"arg",8.68422626090746
"ssp2",4,"aus",11.9025284975256
"ssp2",4,"aut",10.7959666298967
"ssp2",4,"bel",10.5373720983036
"ssp2",4,"bgr",7.49707322111742
"ssp2",4,"blt",8.2036112234546
"ssp2",4,"bra",6.1610589498456
"ssp2",4,"can",11.2495454659376
"ssp2",4,"chl",8.06357309093216
"ssp2",4,"chn",6.46475916800301
"ssp2",4,"cor",11.1060327212417
"ssp2",4,"cro",6.73945316014185
"ssp2",4,"dnk",9.49573234628068
"ssp2",4,"egy",5.49565360855306
"ssp2",4,"esp",8.43002454695362
"ssp2",4,"fin",10.5855444968584
"ssp2",4,"fra",9.52342911948311
"ssp2",4,"gbr",12.548328631001
"ssp2",4,"golf57",6.22340913465472
"ssp2",4,"grc",10.1061335188595
"ssp2",4,"hun",7.19950216967285
"ssp2",4,"idn",4.10865472185638
"ssp2",4,"irl",10.7620112601809
"ssp2",4,"ita",8.93047210380322
"ssp2",4,"jpn",9.37237054235269
"ssp2",4,"meme",5.92725162580229
"ssp2",4,"mex",6.58628649586946
"ssp2",4,"mys",7.22465273225179
"ssp2",4,"nde",3.39328796598339
"ssp2",4,"nld",10.6703194488275
"ssp2",4,"noan",5.00210693154135
"ssp2",4,"noap",4.66850649264613
"ssp2",4,"nor",11.5023340648675
"ssp2",4,"oeu",5.87195871824599
"ssp2",4,"osea",4.75535436941622
"ssp2",4,"pol",8.93419412428779
"ssp2",4,"prt",8.30583320319384
"ssp2",4,"rcam",4.17146086519553
"ssp2",4,"rcz",9.96057164724904
"ssp2",4,"rfa",9.90632060300593
"ssp2",4,"ris",5.46705466868676
"ssp2",4,"rjan57",4.64779881064928
"ssp2",4,"rom",6.29523919976499
"ssp2",4,"rsaf",2.0619652288012
"ssp2",4,"rsam",5.9497822942098
"ssp2",4,"rsas",2.37561798848399
"ssp2",4,"rsl",9.28116841987903
"ssp2",4,"rus",7.96742058587249
"ssp2",4,"slo",9.10984758468536
"ssp2",4,"sui",10.566887186743
"ssp2",4,"swe",10.7128317133074
"ssp2",4,"tha",5.65406251550175
"ssp2",4,"tur",7.10666072205663
"ssp2",4,"ukr",5.0084455243491
"ssp2",4,"usa",13.9767210602363
"ssp2",4,"vnm",3.30912093941059
"ssp2",4,"zaf",6.62079104660072
"ssp2",5,"arg",9.49153245467001
"ssp2",5,"aus",12.4056244652826
"ssp2",5,"aut",11.3530300438048
"ssp2",5,"bel",11.2917273456
"ssp2",5,"bgr",8.33775479902264
"ssp2",5,"blt",8.90334913981335
"ssp2",5,"bra",6.69259279616603
"ssp2",5,"can",11.8300913738039
"ssp2",5,"chl",8.67178826831368
"ssp2",5,"chn",7.02473733376895
"ssp2",5,"cor",11.8209721804629
"ssp2",5,"cro",7.18503926449962
"ssp2",5,"dnk",9.85160751644401
"ssp2",5,"egy",6.42833753762556
"ssp2",5,"esp",8.8510500011716
"ssp2",5,"fin",11.2180686224446
"ssp2",5,"fra",10.1021578029055
"ssp2",5,"gbr",13.1979551807003
"ssp2",5,"golf57",6.44600588939519
"ssp2",5,"grc",11.211243381904
"ssp2",5,"hun",7.8888298991505
"ssp2",5,"idn",4.72094712273188
"ssp2",5,"irl",11.230612959128
"ssp2",5,"ita",9.45725192493946
"ssp2",5,"jpn",9.791262309289
"ssp2",5,"meme",6.50412215954992
"ssp2",5,"mex",7.11411085811156
"ssp2",5,"mys",7.90505031804672
"ssp2",5,"nde",3.84960303128746
"ssp2",5,"nld",11.1635793784316
"ssp2",5,"noan",5.77548463075712
"ssp2",5,"noap",4.90009901178099
"ssp2",5,"nor",11.7107243856534
"ssp2",5,"oeu",6.34357604666749
"ssp2",5,"osea",4.93161316659388
"ssp2",5,"pol",9.59064062059771
"ssp2",5,"prt",8.94006959451384
"ssp2",5,"rcam",4.50964260375994
"ssp2",5,"rcz",10.977822272003
"ssp2",5,"rfa",10.3257479216145
"ssp2",5,"ris",6.02739298802443
"ssp2",5,"rjan57",4.89462005225768
"ssp2",5,"rom",6.87759217328796
"ssp2",5,"rsaf",2.34807699208631
"ssp2",5,"rsam",6.50428257214785
"ssp2",5,"rsas",2.69165684290867
"ssp2",5,"rsl",10.1522703866475
"ssp2",5,"rus",8.75896977045126
"ssp2",5,"slo",9.76852197604073
"ssp2",5,"sui",11.0297867323394
"ssp2",5,"swe",11.2114490936741
"ssp2",5,"tha",6.40443022529137
"ssp2",5,"tur",7.59903341526307
"ssp2",5,"ukr",5.98167005589399
"ssp2",5,"usa",14.4313241749799
"ssp2",5,"vnm",3.7316502801069
"ssp2",5,"zaf",7.25694552162147
"ssp2",6,"arg",10.1727491695586
"ssp2",6,"aus",12.861453952174
"ssp2",6,"aut",11.9687742590905
"ssp2",6,"bel",12.0191793322315
"ssp2",6,"bgr",9.04466181333606
"ssp2",6,"blt",9.56526394891054
"ssp2",6,"bra",7.17088182346389
"ssp2",6,"can",12.3727519396058
"ssp2",6,"chl",9.29696870307205
"ssp2",6,"chn",7.54436718153089
"ssp2",6,"cor",12.4831190060856
"ssp2",6,"cro",7.5920205032712
"ssp2",6,"dnk",10.32428992009
"ssp2",6,"egy",7.30311361312785
"ssp2",6,"esp",9.20890755989479
