"ssp","t","n","value"
"ssp1",1,"arg",0.31266174289
"ssp1",1,"aus",0.9974698356
"ssp1",1,"aut",0.36311592672
"ssp1",1,"bel",0.432905076
"ssp1",1,"bgr",0.03654882688
"ssp1",1,"blt",0.06913149769
"ssp1",1,"bra",1.29551656416
"ssp1",1,"can",1.3576751307
"ssp1",1,"chl",0.17572934974
"ssp1",1,"chn",5.82962760324
"ssp1",1,"cor",1.23076237125
"ssp1",1,"cro",0.04847597034
"ssp1",1,"dnk",0.27854348636
"ssp1",1,"egy",0.14257846329
"ssp1",1,"esp",1.24973757824
"ssp1",1,"fin",0.23218998072
"ssp1",1,"fra",2.3572288746
"ssp1",1,"gbr",2.53519278474
"ssp1",1,"golf57",1.55058803837
"ssp1",1,"grc",0.23087012183
"ssp1",1,"hun",0.11443509924
"ssp1",1,"idn",0.51213873312
"ssp1",1,"irl",0.22551101648
"ssp1",1,"ita",1.81633107744
"ssp1",1,"jpn",4.85493748257
"ssp1",1,"meme",0.3074752019
"ssp1",1,"mex",1.08916491222
"ssp1",1,"mys",0.21668237584
"ssp1",1,"nde",1.65571381152
"ssp1",1,"nld",0.73639915264
"ssp1",1,"noan",0.14468793788
"ssp1",1,"noap",0.20789043313
"ssp1",1,"nor",0.35603413218
"ssp1",1,"oeu",0.15858424248
"ssp1",1,"osea",1.23292900215442
"ssp1",1,"pol",0.44429887684
"ssp1",1,"prt",0.1961525775
"ssp1",1,"rcam",0.40611079017
"ssp1",1,"rcz",0.16368238656
"ssp1",1,"rfa",3.2342747448
"ssp1",1,"ris",0.29021200076
"ssp1",1,"rjan57",0.15981340286
"ssp1",1,"rom",0.12492711165
"ssp1",1,"rsaf",0.7161580354
"ssp1",1,"rsam",0.69806276972
"ssp1",1,"rsas",0.34515493057
"ssp1",1,"rsl",0.07076990572
"ssp1",1,"rus",1.1002811526
"ssp1",1,"slo",0.0421563518
"ssp1",1,"sui",0.4519021962
"ssp1",1,"swe",0.457792038
"ssp1",1,"tha",0.25740947124
"ssp1",1,"tur",0.7042826505
"ssp1",1,"ukr",0.10850107392
"ssp1",1,"usa",14.772263
"ssp1",1,"vnm",0.09901896672
"ssp1",1,"zaf",0.34707490928
"ssp1",2,"arg",0.37616825952
"ssp1",2,"aus",1.18005223787
"ssp1",2,"aut",0.39852966912
"ssp1",2,"bel",0.47055230672
"ssp1",2,"bgr",0.0453362404
"ssp1",2,"blt",0.08127318208
"ssp1",2,"bra",1.57276934178
"ssp1",2,"can",1.5402830373
"ssp1",2,"chl",0.21810218248
"ssp1",2,"chn",8.64762274404
"ssp1",2,"cor",1.48839875109
"ssp1",2,"cro",0.05374498325
"ssp1",2,"dnk",0.3048116056
"ssp1",2,"egy",0.19092272864
"ssp1",2,"esp",1.33057931824
"ssp1",2,"fin",0.255513255
"ssp1",2,"fra",2.58047196315
"ssp1",2,"gbr",2.87641043921
"ssp1",2,"golf57",1.89779346035
"ssp1",2,"grc",0.26127623693
"ssp1",2,"hun",0.12473884962
"ssp1",2,"idn",0.71108191224
"ssp1",2,"irl",0.25446409392
"ssp1",2,"ita",1.93499127624
"ssp1",2,"jpn",5.11514677002
"ssp1",2,"meme",0.39088782473
"ssp1",2,"mex",1.27311013038
"ssp1",2,"mys",0.27272159264
"ssp1",2,"nde",2.2992982236
"ssp1",2,"nld",0.80641794154
"ssp1",2,"noan",0.19069335162
"ssp1",2,"noap",0.25413027964
"ssp1",2,"nor",0.4019931792
"ssp1",2,"oeu",0.18208862567
"ssp1",2,"osea",1.49765729921165
"ssp1",2,"pol",0.52281459095
"ssp1",2,"prt",0.2164233225
"ssp1",2,"rcam",0.47681960461
"ssp1",2,"rcz",0.19414108494
"ssp1",2,"rfa",3.4562026488
"ssp1",2,"ris",0.38011307924
"ssp1",2,"rjan57",0.18154427156
"ssp1",2,"rom",0.14704869864
"ssp1",2,"rsaf",0.97351016981
"ssp1",2,"rsam",0.84804474356
