"ssp","t","n","value"
"ssp1",1,"arg",1.09679074319599
"ssp1",1,"aus",1.09392684006767
"ssp1",1,"aut",0.314584630212191
"ssp1",1,"bel",0.372393462044536
"ssp1",1,"bgr",0.121031513799251
"ssp1",1,"blt",0.150304258919774
"ssp1",1,"bra",3.14777799021403
"ssp1",1,"can",1.3982609776009
"ssp1",1,"chl",0.366572188765565
"ssp1",1,"chn",21.6342304807831
"ssp1",1,"cor",1.61094084122326
"ssp1",1,"cro",0.069133265782502
"ssp1",1,"dnk",0.191340361241727
"ssp1",1,"egy",0.926602344931408
"ssp1",1,"esp",1.13289457556352
"ssp1",1,"fin",0.174894924531004
"ssp1",1,"fra",1.91130839558536
"ssp1",1,"gbr",2.03858653198935
"ssp1",1,"golf57",3.31312437459216
"ssp1",1,"grc",0.199595774436505
"ssp1",1,"hun",0.17372050950344
"ssp1",1,"idn",1.89528065301771
"ssp1",1,"irl",0.188429088803083
"ssp1",1,"ita",1.55024126995992
"ssp1",1,"jpn",3.43461961540033
"ssp1",1,"meme",0.53195267962657
"ssp1",1,"mex",1.5310438551725
"ssp1",1,"mys",0.576799017852696
"ssp1",1,"nde",5.47960406358389
"ssp1",1,"nld",0.620705679210955
"ssp1",1,"noan",0.236178431872191
"ssp1",1,"noap",0.397450489640261
"ssp1",1,"nor",0.263275766124815
"ssp1",1,"oeu",0.29563560328194
"ssp1",1,"osea",1.6287988386003
"ssp1",1,"pol",0.734851935434234
"ssp1",1,"prt",0.212046402435018
"ssp1",1,"rcam",0.715189502169213
"ssp1",1,"rcz",0.295985942676258
"ssp1",1,"rfa",2.79512503438225
"ssp1",1,"ris",1.00065623070497
"ssp1",1,"rjan57",0.197930098802431
"ssp1",1,"rom",0.33023444953436
"ssp1",1,"rsaf",2.50331383273371
"ssp1",1,"rsam",2.10837752287315
"ssp1",1,"rsas",1.45733576784455
"ssp1",1,"rsl",0.143540461213797
"ssp1",1,"rus",3.18676845293607
"ssp1",1,"slo",0.0514084691664262
"ssp1",1,"sui",0.408855221314044
"ssp1",1,"swe",0.363321052082096
"ssp1",1,"tha",0.883603130108921
"ssp1",1,"tur",1.20530899679037
"ssp1",1,"ukr",0.313655844751315
"ssp1",1,"usa",15.1223304670661
"ssp1",1,"vnm",0.549013622144063
"ssp1",1,"zaf",0.461249521703452
"ssp1",2,"arg",1.31956619032484
"ssp1",2,"aus",1.29416526657311
"ssp1",2,"aut",0.34526524275917
"ssp1",2,"bel",0.404778350467997
"ssp1",2,"bgr",0.150131051363002
"ssp1",2,"blt",0.176702455621084
"ssp1",2,"bra",3.8214322029518
"ssp1",2,"can",1.58632769859071
"ssp1",2,"chl",0.454962102372373
"ssp1",2,"chn",32.0920436584054
"ssp1",2,"cor",1.94816025592444
"ssp1",2,"cro",0.0766475881852016
"ssp1",2,"dnk",0.209384766049767
"ssp1",2,"egy",1.24078660953652
"ssp1",2,"esp",1.20617809549584
"ssp1",2,"fin",0.192462962059444
"ssp1",2,"fra",2.09232025828555
"ssp1",2,"gbr",2.31296476431415
"ssp1",2,"golf57",4.05499437364216
"ssp1",2,"grc",0.2258829875366
"ssp1",2,"hun",0.189362325499561
"ssp1",2,"idn",2.63151311124036
"ssp1",2,"irl",0.21262126391373
"ssp1",2,"ita",1.65151792572285
"ssp1",2,"jpn",3.61870435922941
"ssp1",2,"meme",0.676262100207193
"ssp1",2,"mex",1.78961644853506
"ssp1",2,"mys",0.725972964677713
"ssp1",2,"nde",7.60955414019482
"ssp1",2,"nld",0.679724025125525
"ssp1",2,"noan",0.311274439417451
"ssp1",2,"noap",0.485853064783282
"ssp1",2,"nor",0.297261000182205
"ssp1",2,"oeu",0.339452898086762
"ssp1",2,"osea",1.97852631036711
"ssp1",2,"pol",0.864713673744485
"ssp1",2,"prt",0.233959642662145
"ssp1",2,"rcam",0.839712669300897
"ssp1",2,"rcz",0.351064236328772
"ssp1",2,"rfa",2.98691957542911
"ssp1",2,"ris",1.31063677628035
"ssp1",2,"rjan57",0.224843942772211
"ssp1",2,"rom",0.388711028444916
"ssp1",2,"rsaf",3.40288226052112
"ssp1",2,"rsam",2.56137206175572
"ssp1",2,"rsas",1.90145915469327
"ssp1",2,"rsl",0.168804904805693
"ssp1",2,"rus",3.83552347021635
"ssp1",2,"slo",0.0574318250405698
"ssp1",2,"sui",0.453696990216356
"ssp1",2,"swe",0.412256242255748
"ssp1",2,"tha",1.13533661407208
"ssp1",2,"tur",1.48105179204011
"ssp1",2,"ukr",0.375884207996095
"ssp1",2,"usa",17.5626403025782
"ssp1",2,"vnm",0.77498353392884
"ssp1",2,"zaf",0.574901340437623
"ssp1",3,"arg",1.58511454781238
"ssp1",3,"aus",1.50318284979491
"ssp1",3,"aut",0.37597056707586
"ssp1",3,"bel",0.444388567995932
"ssp1",3,"bgr",0.184774257319502
"ssp1",3,"blt",0.201790793303226
"ssp1",3,"bra",4.58131569626583
"ssp1",3,"can",1.74313868750542
"ssp1",3,"chl",0.551633398404505
"ssp1",3,"chn",45.0888015745066
"ssp1",3,"cor",2.30922073799117
"ssp1",3,"cro",0.084225646888685
"ssp1",3,"dnk",0.227324862251728
"ssp1",3,"egy",1.66335617074101
"ssp1",3,"esp",1.28494611520559
"ssp1",3,"fin",0.210723774493031
"ssp1",3,"fra",2.30389988301371
"ssp1",3,"gbr",2.59527883758487
"ssp1",3,"golf57",4.89671382218819
"ssp1",3,"grc",0.253033247018959
"ssp1",3,"hun",0.211727301126542
"ssp1",3,"idn",3.70201599974402
"ssp1",3,"irl",0.237760007044532
"ssp1",3,"ita",1.77080400753615
"ssp1",3,"jpn",3.87193698214734
"ssp1",3,"meme",0.848282635907775
