"coef","n","value"
"alpha_precip","arg",61.6490846907072
"alpha_precip","aus",59.920629797899
"alpha_precip","aut",87.0697221702721
"alpha_precip","bel",74.145777333848
"alpha_precip","bgr",57.8302613932695
"alpha_precip","blt",60.2479960776337
"alpha_precip","bra",115.967896785289
"alpha_precip","can",89.6544434445836
"alpha_precip","chl",73.2704309742268
"alpha_precip","chn",96.9493299981479
"alpha_precip","cor",101.177765282612
"alpha_precip","cro",74.4870727575583
"alpha_precip","dnk",74.084001518046
"alpha_precip","egy",8.33113698513892
"alpha_precip","esp",53.2694319574465
"alpha_precip","fin",57.2110844647512
"alpha_precip","fra",85.4524745964373
"alpha_precip","gbr",76.307936819381
"alpha_precip","golf57",21.13038617638
"alpha_precip","grc",60.0258971223827
"alpha_precip","hun",61.1397264173568
"alpha_precip","idn",228.563064415133
"alpha_precip","irl",95.1769421020142
"alpha_precip","ita",72.2744839069145
"alpha_precip","jpn",162.803848017481
"alpha_precip","meme",26.4531572562867
"alpha_precip","mex",96.9327286432809
"alpha_precip","mys",256.746312981401
"alpha_precip","nde",77.2202599374211
"alpha_precip","nld",77.3865570962937
"alpha_precip","noan",26.785829087105
"alpha_precip","noap",25.8623489497838
"alpha_precip","nor",96.5301258648017
"alpha_precip","oeu",75.823071190175
"alpha_precip","osea",167.758472585475
"alpha_precip","pol",61.2988606719996
"alpha_precip","prt",59.7280443973435
"alpha_precip","rcam",95.2457477653534
"alpha_precip","rcz",65.7747785250128
"alpha_precip","rfa",78.5984272505233
"alpha_precip","ris",40.5204969628401
"alpha_precip","rjan57",196.314513309949
"alpha_precip","rom",66.6776912869492
"alpha_precip","rsaf",99.9029051697104
"alpha_precip","rsam",166.411156534792
"alpha_precip","rsas",78.5638810235138
"alpha_precip","rsl",70.8725360069333
"alpha_precip","rus",53.4398464082512
"alpha_precip","slo",81.439993815445
"alpha_precip","sui",100.485041832776
"alpha_precip","swe",66.005033247856
"alpha_precip","tha",137.080279067041
"alpha_precip","tur",56.5225308423996
"alpha_precip","ukr",57.2469267557988
"alpha_precip","usa",88.1643331573518
"alpha_precip","vnm",132.624179018766
"alpha_precip","zaf",90.480687204826
"alpha_temp","arg",17.8174829303173
"alpha_temp","aus",17.3343584754674
"alpha_temp","aut",7.58511200831271
"alpha_temp","bel",9.89284037020854
"alpha_temp","bgr",10.8683618450462
"alpha_temp","blt",5.05274712226779
"alpha_temp","bra",22.431094477368
"alpha_temp","can",4.60069586449143
"alpha_temp","chl",12.4560006007439
"alpha_temp","chn",12.067963563888
"alpha_temp","cor",12.0711520014385
"alpha_temp","cro",10.457418222132
"alpha_temp","dnk",7.48318400902833
"alpha_temp","egy",20.8722371367549
"alpha_temp","esp",13.0589187679301
"alpha_temp","fin",0.778293854503731
"alpha_temp","fra",10.6353530862854
"alpha_temp","gbr",9.30223419190546
"alpha_temp","golf57",19.3043434553601
"alpha_temp","grc",13.3021501947917
"alpha_temp","hun",10.5458855658337
"alpha_temp","idn",25.7454165582336
"alpha_temp","irl",9.14214116653512
"alpha_temp","ita",12.689700536101
"alpha_temp","jpn",11.9578574576087
"alpha_temp","meme",17.5111476132299
"alpha_temp","mex",18.4911796547862
"alpha_temp","mys",24.9867787245548
"alpha_temp","nde",24.5726703965054
"alpha_temp","nld",9.43491056415018
"alpha_temp","noan",17.3565794275433
"alpha_temp","noap",17.5314531939647
"alpha_temp","nor",2.10942206867462
"alpha_temp","oeu",10.8844773697717
"alpha_temp","osea",23.7854084094544
"alpha_temp","pol",7.7457385829204
"alpha_temp","prt",16.1418778403098
"alpha_temp","rcam",24.8581605927685
"alpha_temp","rcz",7.90880325880117
"alpha_temp","rfa",8.27997954557486
"alpha_temp","ris",10.0733748749761
"alpha_temp","rjan57",20.0975376979567
"alpha_temp","rom",9.05907090755205
"alpha_temp","rsaf",23.5276139441481
"alpha_temp","rsam",20.7937291153288
"alpha_temp","rsas",20.3308535555241
"alpha_temp","rsl",8.01423118658626
"alpha_temp","rus",2.95453942926712
"alpha_temp","slo",8.32900715114295
"alpha_temp","sui",7.0053915187422
"alpha_temp","swe",4.56840695437576
"alpha_temp","tha",24.9724354347122
"alpha_temp","tur",12.200269103324
"alpha_temp","ukr",8.27886318583471
"alpha_temp","usa",11.9785517798053
"alpha_temp","vnm",23.320565609524
"alpha_temp","zaf",16.7413839000136
"base_precip","arg",63.5140957320001
"base_precip","aus",59.7472262612073
"base_precip","aut",87.208553670113
"base_precip","bel",75.6950762516945
"base_precip","bgr",56.004815126446
"base_precip","blt",62.0190358787979
"base_precip","bra",114.353705428874
"base_precip","can",91.4459411829809
"base_precip","chl",70.5787400939103
"base_precip","chn",94.6606598165256
"base_precip","cor",101.041800235473
"base_precip","cro",73.7926828734848
"base_precip","dnk",76.4499603530801
"base_precip","egy",7.87001801456018
"base_precip","esp",50.6953873902582
"base_precip","fin",59.358488378023
"base_precip","fra",85.1811304238651
"base_precip","gbr",77.8405691792604
"base_precip","golf57",20.9703967944925
"base_precip","grc",57.5572720057541
"base_precip","hun",60.6315773414193
"base_precip","idn",224.394811827165
"base_precip","irl",96.6430752078128
"base_precip","ita",70.756776872486
"base_precip","jpn",162.056628908832
"base_precip","meme",24.8459664642806
"base_precip","mex",91.3566888914759
"base_precip","mys",252.589181100719
"base_precip","nde",77.6318518545985
"base_precip","nld",78.7944944991509
"base_precip","noan",24.862025129637
"base_precip","noap",24.3297166969632
"base_precip","nor",99.7875599313688
"base_precip","oeu",73.8373544974632
"base_precip","osea",166.921420617379
"base_precip","pol",62.5170197945928
"base_precip","prt",57.4432499504309
"base_precip","rcam",90.489860507985
"base_precip","rcz",66.1373391149907
"base_precip","rfa",79.6551898667238
"base_precip","ris",40.9658319290589
"base_precip","rjan57",197.351627145688
"base_precip","rom",65.502487697287
"base_precip","rsaf",99.1436496314179
"base_precip","rsam",165.141551267882
"base_precip","rsas",78.8878667537546
"base_precip","rsl",70.9513991253158
"base_precip","rus",54.4898190144552
"base_precip","slo",81.2828205446074
"base_precip","sui",100.061914799419
"base_precip","swe",68.1003471770307
"base_precip","tha",134.198015206687
"base_precip","tur",54.339862897964
"base_precip","ukr",57.1971586526401
"base_precip","usa",89.3329330984633
"base_precip","vnm",128.965985844799
"base_precip","zaf",88.9665759210457
"base_temp","arg",18.3258963686673
"base_temp","aus",17.9380464632958
"base_temp","aut",8.34733378976192
"base_temp","bel",10.5710497907413
"base_temp","bgr",11.5922525373282
"base_temp","blt",5.98771657825691
"base_temp","bra",23.0997335909601
"base_temp","can",5.48375157914822
"base_temp","chl",13.092195495655
"base_temp","chn",12.6055891699507
"base_temp","cor",12.6287777480259
"base_temp","cro",11.1956729756167
"base_temp","dnk",8.22180707787957
"base_temp","egy",21.5333028904092
"base_temp","esp",13.7581585959283
"base_temp","fin",1.90915472807033
"base_temp","fra",11.3180941801622
"base_temp","gbr",9.94029914485269
"base_temp","golf57",20.096179399339
"base_temp","grc",13.9669747296109
"base_temp","hun",11.3020955239573
"base_temp","idn",26.3218226218044
"base_temp","irl",9.69384947651697
"base_temp","ita",13.3675457094813
"base_temp","jpn",12.5335170438581
"base_temp","meme",18.2161755980477
"base_temp","mex",19.1155814976447
"base_temp","mys",25.5534560401642
"base_temp","nde",25.2242246654446
"base_temp","nld",10.1327341072197
"base_temp","noan",18.0970691886802
"base_temp","noap",18.2572196645354
"base_temp","nor",2.9613273619671
"base_temp","oeu",11.5901240408848
"base_temp","osea",24.321192495231
"base_temp","pol",8.53981855535603
