"ghg","param","value"
"c2f6","ex",1
"c2f6","fac",0.0002599567
"c2f6","inter",1
"c2f6","stm",1
"c6f14","ex",1
"c6f14","fac",0.0004902925
"c6f14","inter",1
"c6f14","stm",1
"cf4","ex",1
"cf4","fac",5.615027e-05
"cf4","inter",1
"cf4","stm",1
"ch4","ex",0.5
"ch4","fac",0.035417
"ch4","inter",0.85
"ch4","stm",541.460765
"hfc125","ex",1
"hfc125","fac",0.0002300002
"hfc125","inter",1
"hfc125","stm",1
"hfc134a","ex",1
"hfc134a","fac",0.0001600462
"hfc134a","inter",1
"hfc134a","stm",1
"hfc143a","ex",1
"hfc143a","fac",0.000130003
"hfc143a","inter",1
"hfc143a","stm",1
"hfc227ea","ex",1
"hfc227ea","fac",0.0002603703
"hfc227ea","inter",1
"hfc227ea","stm",1
"hfc23","ex",1
"hfc23","fac",0.0001903149
"hfc23","inter",1
"hfc23","stm",1
"hfc245fa","fac",0.0002797802
"hfc32","ex",1
"hfc32","fac",0.0001105201
"hfc32","inter",1
"hfc32","stm",1
"hfc43-10","ex",1
"hfc43-10","fac",0.0004201641
"hfc43-10","inter",1
"hfc43-10","stm",1
"n2o","ex",0.5
"n2o","fac",0.174851
"n2o","inter",0.61361
"n2o","stm",228.950493
"sf6","ex",1
"sf6","fac",0.0004981509
"sf6","inter",1
"sf6","stm",1
"co2","alpha",5.34196
"co2","beta",589.472
