"","V1","n","V3","value"
"1","climcost","arg","b1",0.0069
"2","climcost","arg","b2",0.001
"3","climcost","aus","b1",-0.000354
"4","climcost","aus","b2",0.001556
"5","climcost","aus","c",0.00544
"6","climcost","aut","b1",-0.000131
"7","climcost","aut","b2",0.001778
"8","climcost","aut","c",0.008307
"9","climcost","bel","b1",-0.000131
"10","climcost","bel","b2",0.001778
"11","climcost","bel","c",0.008307
"12","climcost","bgr","b1",-0.000131
"13","climcost","bgr","b2",0.001778
"14","climcost","bgr","c",0.008307
"15","climcost","blt","b1",-0.000131
"16","climcost","blt","b2",0.001778
"17","climcost","blt","c",0.008307
"18","climcost","bra","b1",0.0069
"19","climcost","bra","b2",0.001
"20","climcost","can","b1",0.0017
"21","climcost","can","b2",9e-04
"22","climcost","can","c",0.0078
"23","climcost","chl","b1",0.0069
"24","climcost","chl","b2",0.001
"25","climcost","chn","b1",-0.0024
"26","climcost","chn","b2",0.0018
"27","climcost","chn","c",0.0041
"28","climcost","cor","b1",0.001148
"29","climcost","cor","b2",0.00101
"30","climcost","cor","c",0.007248
"31","climcost","cro","b1",-0.000131
"32","climcost","cro","b2",0.001778
"33","climcost","cro","c",0.008307
"34","climcost","dnk","b1",-0.000131
"35","climcost","dnk","b2",0.001778
"36","climcost","dnk","c",0.008307
"37","climcost","egy","b1",0.0043
"38","climcost","egy","b2",0.0026
"39","climcost","esp","b1",-0.000131
"40","climcost","esp","b2",0.001778
"41","climcost","esp","c",0.008307
"42","climcost","fin","b1",-0.000131
"43","climcost","fin","b2",0.001778
"44","climcost","fin","c",0.008307
"45","climcost","fra","b1",-0.000131
"46","climcost","fra","b2",0.001778
"47","climcost","fra","c",0.008307
"48","climcost","gbr","b1",-0.000131
"49","climcost","gbr","b2",0.001778
"50","climcost","gbr","c",0.008307
"51","climcost","golf57","b1",0.0043
"52","climcost","golf57","b2",0.0026
"53","climcost","grc","b1",-0.000131
"54","climcost","grc","b2",0.001778
"55","climcost","grc","c",0.008307
"56","climcost","hun","b1",-0.000131
"57","climcost","hun","b2",0.001778
"58","climcost","hun","c",0.008307
"59","climcost","idn","b1",0.0033
"60","climcost","idn","b2",0.0081
"61","climcost","irl","b1",-0.000131
"62","climcost","irl","b2",0.001778
"63","climcost","irl","c",0.008307
"64","climcost","ita","b1",-0.000131
"65","climcost","ita","b2",0.001778
"66","climcost","ita","c",0.008307
"67","climcost","jpn","b1",0.001148
"68","climcost","jpn","b2",0.00101
"69","climcost","jpn","c",0.007248
"70","climcost","meme","b1",0.0043
"71","climcost","meme","b2",0.0026
"72","climcost","mex","b1",0.0069
"73","climcost","mex","b2",0.001
"74","climcost","mys","b1",0.0033
"75","climcost","mys","b2",0.0081
"76","climcost","nde","b1",0.0042
"77","climcost","nde","b2",0.0096
"78","climcost","nde","c",-2e-04
"79","climcost","nld","b1",-0.000131
"80","climcost","nld","b2",0.001778
"81","climcost","nld","c",0.008307
"82","climcost","noan","b1",0.0043
"83","climcost","noan","b2",0.0026
"84","climcost","noap","b1",0.0043
"85","climcost","noap","b2",0.0026
"86","climcost","nor","b1",-0.000131
"87","climcost","nor","b2",0.001778
"88","climcost","nor","c",0.008307
"89","climcost","oeu","b1",-0.00013099999999907
"90","climcost","oeu","b2",0.00177799999999955
"91","climcost","oeu","c",0.00830699999999975
"92","climcost","osea","b1",-0.000209012971279267
"93","climcost","osea","b2",0.00420598338510258
"94","climcost","osea","c",0.00252611561846585
"95","climcost","pol","b1",-0.000131
"96","climcost","pol","b2",0.001778
"97","climcost","pol","c",0.008307
"98","climcost","prt","b1",-0.000131
"99","climcost","prt","b2",0.001778
"100","climcost","prt","c",0.008307
"101","climcost","rcam","b1",0.0069
"102","climcost","rcam","b2",0.001
"103","climcost","rcz","b1",-0.000131
"104","climcost","rcz","b2",0.001778
"105","climcost","rcz","c",0.008307
"106","climcost","rfa","b1",-0.000131
"107","climcost","rfa","b2",0.001778
"108","climcost","rfa","c",0.008307
"109","climcost","ris","b1",0.000406
"110","climcost","ris","b2",0.001815
"111","climcost","ris","c",0.002494
"112","climcost","rjan57","b1",-0.000354
"113","climcost","rjan57","b2",0.001556
"114","climcost","rjan57","c",0.00544
"115","climcost","rom","b1",-0.000131
"116","climcost","rom","b2",0.001778
"117","climcost","rom","c",0.008307
"118","climcost","rsaf","b1",0.01019
"119","climcost","rsaf","b2",0.003399
"120","climcost","rsam","b1",0.0069
"121","climcost","rsam","b2",0.001
"122","climcost","rsas","b1",0.0028
"123","climcost","rsas","b2",0.0095
"124","climcost","rsas","c",-2e-04
"125","climcost","rsl","b1",-0.000131
"126","climcost","rsl","b2",0.001778
"127","climcost","rsl","c",0.008307
"128","climcost","rus","b1",0.000406
"129","climcost","rus","b2",0.001815
"130","climcost","rus","c",0.002494
"131","climcost","slo","b1",-0.000131
"132","climcost","slo","b2",0.001778
"133","climcost","slo","c",0.008307
"134","climcost","sui","b1",-0.000131
"135","climcost","sui","b2",0.001778
"136","climcost","sui","c",0.008307
"137","climcost","swe","b1",-0.000131
"138","climcost","swe","b2",0.001778
"139","climcost","swe","c",0.008307
"140","climcost","tha","b1",0.0033
"141","climcost","tha","b2",0.0081
"142","climcost","tur","b1",0.000406
"143","climcost","tur","b2",0.001815
"144","climcost","tur","c",0.002494
"145","climcost","ukr","b1",0.000406
"146","climcost","ukr","b2",0.001815
"147","climcost","ukr","c",0.002494
"148","climcost","usa","b1",0.0015
"149","climcost","usa","b2",8e-04
"150","climcost","usa","c",0.0075
"151","climcost","vnm","b1",0.0033
"152","climcost","vnm","b2",0.0081
"153","climcost","zaf","b1",-8e-04
"154","climcost","zaf","b2",0.0014
"155","climcost","zaf","c",0.0053
"156","COACCH_NoSLR","arg","b1",0.0069609
"157","COACCH_NoSLR","arg","b2",0.00639028
"158","COACCH_NoSLR","aus","b1",0.0035125
"159","COACCH_NoSLR","aus","b2",0.00916241
"160","COACCH_NoSLR","aut","b1",0.0025251
"161","COACCH_NoSLR","aut","b2",0.00435683
"162","COACCH_NoSLR","bel","b1",0.0025251
"163","COACCH_NoSLR","bel","b2",0.00435683
"164","COACCH_NoSLR","bgr","b1",0.0025251
"165","COACCH_NoSLR","bgr","b2",0.00435683
"166","COACCH_NoSLR","blt","b1",0.0025251
"167","COACCH_NoSLR","blt","b2",0.00435683
"168","COACCH_NoSLR","bra","b1",0.0069609
"169","COACCH_NoSLR","bra","b2",0.00639028
"170","COACCH_NoSLR","can","b1",0.004743
"171","COACCH_NoSLR","can","b2",0.00580688
"172","COACCH_NoSLR","chl","b1",0.0069609
"173","COACCH_NoSLR","chl","b2",0.00639028
"174","COACCH_NoSLR","chn","b1",0.0137938
"175","COACCH_NoSLR","chn","b2",-0.00070775
"176","COACCH_NoSLR","cor","b1",0.0034945
"177","COACCH_NoSLR","cor","b2",0.00743434
"178","COACCH_NoSLR","cro","b1",0.0025251
"179","COACCH_NoSLR","cro","b2",0.00435683
"180","COACCH_NoSLR","dnk","b1",0.0025251
"181","COACCH_NoSLR","dnk","b2",0.00435683
"182","COACCH_NoSLR","egy","b1",0.0077572
"183","COACCH_NoSLR","egy","b2",0.00427075
"184","COACCH_NoSLR","esp","b1",0.0025251
"185","COACCH_NoSLR","esp","b2",0.00435683
"186","COACCH_NoSLR","fin","b1",0.0025251
"187","COACCH_NoSLR","fin","b2",0.00435683
"188","COACCH_NoSLR","fra","b1",0.0025251
"189","COACCH_NoSLR","fra","b2",0.00435683
"190","COACCH_NoSLR","gbr","b1",0.0025251
"191","COACCH_NoSLR","gbr","b2",0.00435683
"192","COACCH_NoSLR","golf57","b1",0.0077572
"193","COACCH_NoSLR","golf57","b2",0.00427075
"194","COACCH_NoSLR","grc","b1",0.0025251
"195","COACCH_NoSLR","grc","b2",0.00435683
