"","V1","n","V3","value"
"1","COACCH_NoSLR","arg","p025",-2.650025
"2","COACCH_NoSLR","arg","p05",-2.17407
"3","COACCH_NoSLR","arg","p16",-0.172902
"4","COACCH_NoSLR","arg","p25",0.218805
"5","COACCH_NoSLR","arg","p33",0.511407
"6","COACCH_NoSLR","arg","p50",1
"7","COACCH_NoSLR","arg","p67",1.21305
"8","COACCH_NoSLR","arg","p75",1.38975
"9","COACCH_NoSLR","arg","p84",1.806769
"10","COACCH_NoSLR","arg","p95",2.150311
"11","COACCH_NoSLR","arg","p975",2.262216
"12","COACCH_NoSLR","aus","p025",-0.429368
"13","COACCH_NoSLR","aus","p05",-0.287757
"14","COACCH_NoSLR","aus","p16",0.257925
"15","COACCH_NoSLR","aus","p25",0.566737
"16","COACCH_NoSLR","aus","p33",0.707623
"17","COACCH_NoSLR","aus","p50",1
"18","COACCH_NoSLR","aus","p67",1.226443
"19","COACCH_NoSLR","aus","p75",1.332975
"20","COACCH_NoSLR","aus","p84",1.625733
"21","COACCH_NoSLR","aus","p95",1.972878
"22","COACCH_NoSLR","aus","p975",2.069543
"23","COACCH_NoSLR","aut","p025",0.197078
"24","COACCH_NoSLR","aut","p05",0.313185
"25","COACCH_NoSLR","aut","p16",0.591004
"26","COACCH_NoSLR","aut","p25",0.734032
"27","COACCH_NoSLR","aut","p33",0.812784
"28","COACCH_NoSLR","aut","p50",1.000001
"29","COACCH_NoSLR","aut","p67",1.282261
"30","COACCH_NoSLR","aut","p75",1.405976
"31","COACCH_NoSLR","aut","p84",1.593983
"32","COACCH_NoSLR","aut","p95",2.435398
"33","COACCH_NoSLR","aut","p975",2.643728
"34","COACCH_NoSLR","bel","p025",0.197078
"35","COACCH_NoSLR","bel","p05",0.313185
"36","COACCH_NoSLR","bel","p16",0.591004
"37","COACCH_NoSLR","bel","p25",0.734032
"38","COACCH_NoSLR","bel","p33",0.812784
"39","COACCH_NoSLR","bel","p50",1.000001
"40","COACCH_NoSLR","bel","p67",1.282261
"41","COACCH_NoSLR","bel","p75",1.405976
"42","COACCH_NoSLR","bel","p84",1.593983
"43","COACCH_NoSLR","bel","p95",2.435398
"44","COACCH_NoSLR","bel","p975",2.643728
"45","COACCH_NoSLR","bgr","p025",0.197078
"46","COACCH_NoSLR","bgr","p05",0.313185
"47","COACCH_NoSLR","bgr","p16",0.591004
"48","COACCH_NoSLR","bgr","p25",0.734032
"49","COACCH_NoSLR","bgr","p33",0.812784
"50","COACCH_NoSLR","bgr","p50",1.000001
"51","COACCH_NoSLR","bgr","p67",1.282261
"52","COACCH_NoSLR","bgr","p75",1.405976
"53","COACCH_NoSLR","bgr","p84",1.593983
"54","COACCH_NoSLR","bgr","p95",2.435398
"55","COACCH_NoSLR","bgr","p975",2.643728
"56","COACCH_NoSLR","blt","p025",0.197078
"57","COACCH_NoSLR","blt","p05",0.313185
"58","COACCH_NoSLR","blt","p16",0.591004
"59","COACCH_NoSLR","blt","p25",0.734032
"60","COACCH_NoSLR","blt","p33",0.812784
"61","COACCH_NoSLR","blt","p50",1.000001
"62","COACCH_NoSLR","blt","p67",1.282261
"63","COACCH_NoSLR","blt","p75",1.405976
"64","COACCH_NoSLR","blt","p84",1.593983
"65","COACCH_NoSLR","blt","p95",2.435398
"66","COACCH_NoSLR","blt","p975",2.643728
"67","COACCH_NoSLR","bra","p025",-2.650025
"68","COACCH_NoSLR","bra","p05",-2.17407
"69","COACCH_NoSLR","bra","p16",-0.172902
"70","COACCH_NoSLR","bra","p25",0.218805
"71","COACCH_NoSLR","bra","p33",0.511407
"72","COACCH_NoSLR","bra","p50",1
