n,value,region_ad
arg,1.95920761907225,15
aus,3.28520347511748,5
aut,1.20594649290765,1
bel,1.34000271086685,1
bgr,0.356338185375245,2
blt,0.373482327839642,2
bra,9.39812202370902,15
can,4.66492988275007,6
chl,0.79917929267287,15
chn,52.8178991446292,13
cor,4.97738440817109,5
cro,0.246886974527872,2
dnk,0.613154735744914,1
egy,1.66709738593134,9
esp,4.76196503409474,1
fin,0.649657985016264,1
fra,7.33682407831807,1
gbr,4.91029319508457,1
golf57,2.46545450144728,9
grc,0.902816956206019,1
hun,0.576509611848868,2
idn,6.26598922554787,14
irl,0.465031694077566,1
ita,6.07482048190126,1
jpn,16.6546328360301,6
meme,1.18457006864617,9
mex,4.32532825002102,15
mys,1.48694142288584,14
nde,14.2934283407219,12
nld,2.18778135781518,1
noan,0.773971652541046,9
noap,1.29911634158851,9
nor,0.897021011470483,1
oeu,0.561545651820814,3
osea,3.2888082677014,4
pol,1.76307657248532,2
prt,0.827704924440878,1
rcam,1.29779096150192,15
rcz,1.20524084743882,2
rfa,9.66671196683118,1
ris,2.06321297442604,7
rjan57,0.391915911244191,8
rom,0.953250622747819,2
rsaf,3.04813864500118,11
rsam,3.33254220989727,15
rsas,2.28397851153645,12
rsl,0.47683429188632,2
rus,9.85554834806329,7
slo,0.185053056236774,2
sui,1.37997166978049,1
swe,1.21250140817292,1
tha,2.70284782499216,14
tur,2.51439306924871,7
ukr,2.53137907743663,7
usa,39.588104742979,0
vnm,1.02802824439516,14
zaf,1.42285085540352,5
