"n","value"
"arg",0.150608
"aus",0.22306
"aut",0.26219
"bel",0.231754
"bgr",0.222278
"blt",0.218967067900254
"bra",0.155382
"can",0.209784
"chl",0.209522
"chn",0.474932
"cor",0.362392
"cro",0.226968
"dnk",0.288534
"egy",0.107266
"esp",0.21602
"fin",0.204922
"fra",0.221326
"gbr",0.123318
"golf57",0.346084530879558
"grc",0.09317
"hun",0.247506
"idn",0.316718
"irl",0.28092
"ita",0.191734
"jpn",0.262746
"meme",0.188068619513893
"mex",0.206828
"mys",0.288358
"nde",0.309998
"nld",0.28615
"noan",0.211375036309051
"noap",0.399954
"nor",0.354928
"oeu",0.174547404688119
"osea",0.321179034576553
"pol",0.189714
"prt",0.15852
"rcam",0.190416209812113
"rcz",0.266926
"rfa",0.280514
"ris",0.248880571594116
"rjan57",0.200201216679291
"rom",0.227746
"rsaf",0.184875332128439
"rsam",0.158117587159688
"rsas",0.210301157084891
"rsl",0.220316
"rus",0.258746
"slo",0.239572
"sui",0.32556
"swe",0.283476
"tha",0.290786
"tur",0.244692
"ukr",0.150462
"usa",0.193696
"vnm",0.297358
"zaf",0.159326
