"t","n","value"
1,"arg",0.0958304
1,"aus",-0.0203641
1,"aut",-0.0046358
1,"bel",-0.002679
1,"bgr",-0.010259216
1,"blt",-0.006969
1,"bra",0.487351
1,"can",0.116888
1,"chl",-0.0427429
1,"chn",-0.32491
1,"cor",-0.0442305
1,"cro",-0.007486
1,"dnk",0.00056459
1,"egy",0.0028425
1,"esp",-0.033431
1,"fin",-0.0090878
1,"fra",-0.06297
1,"gbr",-0.0109746
1,"golf57",0.0252027146
1,"grc",-0.00052177
1,"hun",0.00383875
1,"idn",1.341351
1,"irl",-0.0036714
1,"ita",-0.03437
1,"jpn",-0.072431
1,"meme",-0.0012161933
1,"mex",0.038137
1,"mys",-0.052816
1,"nde",0.08394
1,"nld",0.00127107
1,"noan",-0.00113976
1,"noap",-0.0034096
1,"nor",-0.02219365
1,"oeu",-0.042047773311
1,"osea",0.1801199626
1,"pol",-0.0653073
1,"prt",0.0013209578
1,"rcam",0.0838263819
1,"rcz",-0.0095542
1,"rfa",-0.021729
1,"ris",-0.0250752472
1,"rjan57",0.0443913564
1,"rom",-0.06701773
1,"rsaf",1.3663445922
1,"rsam",0.473285868
1,"rsas",0.0657739275
1,"rsl",-0.00613483
1,"rus",-0.1092547
1,"slo",-0.00739182
1,"sui",-0.00243222
1,"swe",-0.00386488
1,"tha",0.03584
1,"tur",-0.0564
1,"ukr",-0.01433642
1,"usa",-0.23196
1,"vnm",-0.000327999999999998
1,"zaf",0.00392
2,"arg",0.084809904
2,"aus",-0.0203641
2,"aut",-0.0046358
2,"bel",-0.002679
2,"bgr",-0.010259216
2,"blt",-0.006969
2,"bra",0.431305635
2,"can",0.10344588
2,"chl",-0.0427429
2,"chn",-0.32491
2,"cor",-0.0442305
2,"cro",-0.007486
2,"dnk",0.00049966215
2,"egy",0.0025156125
2,"esp",-0.033431
2,"fin",-0.0090878
2,"fra",-0.06297
2,"gbr",-0.0109746
2,"golf57",0.022304402421
2,"grc",-0.00052177
2,"hun",0.00339729375
2,"idn",1.187095635
2,"irl",-0.0036714
2,"ita",-0.03437
2,"jpn",-0.072431
2,"meme",-0.0012161933
2,"mex",0.033751245
2,"mys",-0.052816
2,"nde",0.0742869
2,"nld",0.00112489695
2,"noan",-0.00113976
2,"noap",-0.0034096
2,"nor",-0.02219365
2,"oeu",-0.042047773311
2,"osea",0.159406166901
2,"pol",-0.0653073
2,"prt",0.001169047653
2,"rcam",0.0741863479815
2,"rcz",-0.0095542
2,"rfa",-0.021729
2,"ris",-0.0250752472
2,"rjan57",0.039286350414
2,"rom",-0.06701773
2,"rsaf",1.209214964097
2,"rsam",0.41885799318
2,"rsas",0.0582099258375
2,"rsl",-0.00613483
2,"rus",-0.1092547
2,"slo",-0.00739182
2,"sui",-0.00243222
2,"swe",-0.00386488
2,"tha",0.0317184
2,"tur",-0.0564
2,"ukr",-0.01433642
2,"usa",-0.23196
2,"vnm",-0.000327999999999998
2,"zaf",0.0034692
3,"arg",0.07505676504
3,"aus",-0.0203641
3,"aut",-0.0046358
3,"bel",-0.002679
3,"bgr",-0.010259216
3,"blt",-0.006969
3,"bra",0.381705486975
3,"can",0.0915496038
3,"chl",-0.0427429
3,"chn",-0.32491
3,"cor",-0.0442305
3,"cro",-0.007486
3,"dnk",0.00044220100275
3,"egy",0.0022263170625
3,"esp",-0.033431
3,"fin",-0.0090878
3,"fra",-0.06297
3,"gbr",-0.0109746
3,"golf57",0.019739396142585
3,"grc",-0.00052177
3,"hun",0.00300660496875
3,"idn",1.050579636975
3,"irl",-0.0036714
3,"ita",-0.03437
3,"jpn",-0.072431
3,"meme",-0.0012161933
3,"mex",0.029869851825
3,"mys",-0.052816
3,"nde",0.0657439065
3,"nld",0.00099553380075
3,"noan",-0.00113976
3,"noap",-0.0034096
3,"nor",-0.02219365
3,"oeu",-0.042047773311
3,"osea",0.141074457707385
3,"pol",-0.0653073
3,"prt",0.001034607172905
3,"rcam",0.0656549179636275
3,"rcz",-0.0095542
3,"rfa",-0.021729
3,"ris",-0.0250752472
3,"rjan57",0.03476842011639
3,"rom",-0.06701773
3,"rsaf",1.07015524322584
3,"rsam",0.3706893239643
