"coef","t","n","value"
"a",1,"arg",525.657448910039
"a",1,"aus",412.346288730401
"a",1,"aut",977.537908023861
"a",1,"bel",974.326992679622
"a",1,"bgr",440.120111865618
"a",1,"blt",986.506324795745
"a",1,"bra",587.178194916327
"a",1,"can",731.323860354545
"a",1,"chl",663.615344126316
"a",1,"chn",208.361027889671
"a",1,"cor",744.901806834076
"a",1,"cro",1284.55568779366
"a",1,"dnk",705.657406653221
"a",1,"egy",630.071271663817
"a",1,"esp",1018.96896558098
"a",1,"fin",647.444195823108
"a",1,"fra",928.063136882832
"a",1,"gbr",1137.27355930464
"a",1,"golf57",499.77538354807
"a",1,"grc",654.650791704582
"a",1,"hun",752.035915629181
"a",1,"idn",372.59010359582
"a",1,"irl",795.874226623725
"a",1,"ita",1227.37414776327
"a",1,"jpn",765.12411730938
"a",1,"meme",982.992776910153
"a",1,"mex",945.765939024072
"a",1,"mys",511.59150854464
"a",1,"nde",264.777578661009
"a",1,"nld",1188.12014125468
"a",1,"noan",692.04296556745
"a",1,"noap",615.017235502199
"a",1,"nor",933.214713690091
"a",1,"oeu",493.847614455538
"a",1,"osea",369.394300504734
"a",1,"pol",555.610346728619
"a",1,"prt",1188.86880458083
"a",1,"rcam",874.929754817523
"a",1,"rcz",472.748185994009
"a",1,"rfa",954.327691929049
"a",1,"ris",319.974669731414
"a",1,"rjan57",397.470373927206
"a",1,"rom",860.26600155635
"a",1,"rsaf",614.68831592858
"a",1,"rsam",774.971772865567
"a",1,"rsas",516.849257783945
"a",1,"rsl",706.105753799567
"a",1,"rus",368.355896018616
"a",1,"slo",1012.77138144183
"a",1,"sui",936.460148000982
"a",1,"swe",859.197456589295
"a",1,"tha",494.473710343425
"a",1,"tur",426.057247868476
"a",1,"ukr",534.05855758519
"a",1,"usa",543.920865672454
"a",1,"vnm",215.984927811289
"a",1,"zaf",220.438633464146
"a",2,"arg",525.657448910039
"a",2,"aus",412.346288730401
"a",2,"aut",977.537908023861
"a",2,"bel",974.326992679622
"a",2,"bgr",440.120111865618
"a",2,"blt",986.506324795745
"a",2,"bra",587.178194916327
"a",2,"can",731.323860354545
"a",2,"chl",663.615344126316
"a",2,"chn",208.361027889671
"a",2,"cor",744.901806834076
"a",2,"cro",1284.55568779366
"a",2,"dnk",705.657406653221
"a",2,"egy",630.071271663817
"a",2,"esp",1018.96896558098
"a",2,"fin",647.444195823108
"a",2,"fra",928.063136882832
"a",2,"gbr",1137.27355930464
"a",2,"golf57",499.77538354807
"a",2,"grc",654.650791704582
"a",2,"hun",752.035915629181
"a",2,"idn",372.59010359582
"a",2,"irl",795.874226623725
"a",2,"ita",1227.37414776327
"a",2,"jpn",765.12411730938
"a",2,"meme",982.992776910153
"a",2,"mex",945.765939024072
"a",2,"mys",511.59150854464
"a",2,"nde",264.777578661009
"a",2,"nld",1188.12014125468
"a",2,"noan",692.04296556745
"a",2,"noap",615.017235502199
"a",2,"nor",933.214713690091
"a",2,"oeu",493.847614455538
"a",2,"osea",369.394300504734
"a",2,"pol",555.610346728619
"a",2,"prt",1188.86880458083
"a",2,"rcam",874.929754817523
"a",2,"rcz",472.748185994009
"a",2,"rfa",954.327691929049
"a",2,"ris",319.974669731414
"a",2,"rjan57",397.470373927206
"a",2,"rom",860.26600155635
"a",2,"rsaf",614.68831592858
"a",2,"rsam",774.971772865567
"a",2,"rsas",516.849257783945
"a",2,"rsl",706.105753799567
"a",2,"rus",368.355896018616
"a",2,"slo",1012.77138144183
"a",2,"sui",936.460148000982
"a",2,"swe",859.197456589295
"a",2,"tha",494.473710343425
"a",2,"tur",426.057247868476
"a",2,"ukr",534.05855758519
"a",2,"usa",543.920865672454
"a",2,"vnm",215.984927811289
"a",2,"zaf",220.438633464146
"a",3,"arg",525.657448910039
"a",3,"aus",412.346288730401
"a",3,"aut",977.537908023861
"a",3,"bel",974.326992679622
"a",3,"bgr",440.120111865618
"a",3,"blt",986.506324795745
"a",3,"bra",587.178194916327
"a",3,"can",731.323860354545
"a",3,"chl",663.615344126316
"a",3,"chn",208.361027889671
"a",3,"cor",744.901806834076
"a",3,"cro",1284.55568779366
"a",3,"dnk",705.657406653221
"a",3,"egy",630.071271663817
"a",3,"esp",1018.96896558098
"a",3,"fin",647.444195823108
"a",3,"fra",928.063136882832
"a",3,"gbr",1137.27355930464
"a",3,"golf57",499.77538354807
"a",3,"grc",654.650791704582
"a",3,"hun",752.035915629181
"a",3,"idn",372.59010359582
"a",3,"irl",795.874226623725
"a",3,"ita",1227.37414776327
"a",3,"jpn",765.12411730938
"a",3,"meme",982.992776910153
"a",3,"mex",945.765939024072
"a",3,"mys",511.59150854464
"a",3,"nde",264.777578661009
"a",3,"nld",1188.12014125468
"a",3,"noan",692.04296556745
"a",3,"noap",615.017235502199
"a",3,"nor",933.214713690091
"a",3,"oeu",493.847614455538
"a",3,"osea",369.394300504734
"a",3,"pol",555.610346728619
"a",3,"prt",1188.86880458083
"a",3,"rcam",874.929754817523
"a",3,"rcz",472.748185994009
"a",3,"rfa",954.327691929049
"a",3,"ris",319.974669731414
"a",3,"rjan57",397.470373927206
"a",3,"rom",860.26600155635
"a",3,"rsaf",614.68831592858
"a",3,"rsam",774.971772865567
"a",3,"rsas",516.849257783945
"a",3,"rsl",706.105753799567
"a",3,"rus",368.355896018616
"a",3,"slo",1012.77138144183
"a",3,"sui",936.460148000982
"a",3,"swe",859.197456589295
"a",3,"tha",494.473710343425
"a",3,"tur",426.057247868476
"a",3,"ukr",534.05855758519
"a",3,"usa",543.920865672454
"a",3,"vnm",215.984927811289
"a",3,"zaf",220.438633464146
"a",4,"arg",430.108698042509
"a",4,"aus",321.983622912755
"a",4,"aut",817.431543728091
"a",4,"bel",796.984002448357
"a",4,"bgr",369.927919974922
"a",4,"blt",832.750701702567
"a",4,"bra",541.493831286613
"a",4,"can",530.892265399615
"a",4,"chl",573.513747940643
"a",4,"chn",145.389226480073
"a",4,"cor",539.659027968765
"a",4,"cro",1047.33857973836
"a",4,"dnk",606.831067311544
"a",4,"egy",490.888622514051
"a",4,"esp",789.615120102879
"a",4,"fin",574.596567806519
"a",4,"fra",805.833058501407
"a",4,"gbr",934.035443851399
"a",4,"golf57",516.802469693205
"a",4,"grc",544.5711483865
"a",4,"hun",576.34844950321
"a",4,"idn",328.891386338759
"a",4,"irl",652.596162338218
"a",4,"ita",995.139652748789
"a",4,"jpn",621.51816096117
"a",4,"meme",760.271827002346
"a",4,"mex",743.704260196025
"a",4,"mys",424.980796335521
"a",4,"nde",208.357361729992
"a",4,"nld",950.943234860308
"a",4,"noan",523.221133292902
"a",4,"noap",523.285158691666
"a",4,"nor",727.422018813306
"a",4,"oeu",359.584800648221
"a",4,"osea",293.53076189532
"a",4,"pol",439.002488536578
"a",4,"prt",947.034770944671
"a",4,"rcam",723.407359015811
"a",4,"rcz",322.383106603066
"a",4,"rfa",908.185290747183
"a",4,"ris",265.428314243232
"a",4,"rjan57",305.070506480945
"a",4,"rom",707.586318750014
"a",4,"rsaf",453.868633335453
"a",4,"rsam",630.1335212533
"a",4,"rsas",425.883170027572
"a",4,"rsl",611.229292404126
"a",4,"rus",266.071295434089
"a",4,"slo",797.210637208993
"a",4,"sui",701.470446960541
"a",4,"swe",721.421765274166
"a",4,"tha",389.691701274427
"a",4,"tur",304.697094587717
"a",4,"ukr",365.401784082847
"a",4,"usa",485.773691786695
"a",4,"vnm",185.539381523557
"a",4,"zaf",95.125087548926
"a",5,"arg",419.27433535857
"a",5,"aus",283.314649272673
"a",5,"aut",778.160053535877
"a",5,"bel",710.644429206854
"a",5,"bgr",368.058480965662
"a",5,"blt",759.563754180117
"a",5,"bra",428.499500270259
"a",5,"can",449.266221015434
"a",5,"chl",530.517752881525
"a",5,"chn",133.538809564319
"a",5,"cor",451.924061781358
"a",5,"cro",933.161291057598
"a",5,"dnk",548.037720905887
"a",5,"egy",433.276199961702
"a",5,"esp",650.354378817312
"a",5,"fin",612.604643879635
"a",5,"fra",719.275322879505
"a",5,"gbr",908.536974315794
"a",5,"golf57",616.22274699829
"a",5,"grc",490.399526246276
"a",5,"hun",528.605112193545
"a",5,"idn",324.170763021467
"a",5,"irl",557.04487772829
"a",5,"ita",880.211852269377
"a",5,"jpn",597.666504748841
"a",5,"meme",614.809829846837
"a",5,"mex",692.801492697312
"a",5,"mys",388.677121474348
"a",5,"nde",204.686272980982
"a",5,"nld",787.535481690561
"a",5,"noan",442.662560467629
"a",5,"noap",543.500945054066
"a",5,"nor",590.724343449855
"a",5,"oeu",296.258048125128
"a",5,"osea",257.971423165071
"a",5,"pol",390.761894405693
"a",5,"prt",802.763230759174
"a",5,"rcam",664.727612882026
"a",5,"rcz",283.49795892502
"a",5,"rfa",879.050504064186
"a",5,"ris",275.308333373003
"a",5,"rjan57",267.798907817735
"a",5,"rom",614.184482993025
"a",5,"rsaf",381.665014894515
"a",5,"rsam",513.261343124341
"a",5,"rsas",385.655994565563
"a",5,"rsl",574.039252926082
"a",5,"rus",270.112220630063
"a",5,"slo",722.117105102488
"a",5,"sui",539.923564136244
"a",5,"swe",684.006085194014
"a",5,"tha",358.141435862197
"a",5,"tur",244.608891325519
"a",5,"ukr",273.342472216814
"a",5,"usa",478.505442053126
"a",5,"vnm",195.257490590548
"a",5,"zaf",60.4067230772619
"a",6,"arg",379.65056045059
"a",6,"aus",288.177936009451
"a",6,"aut",710.176076689578
"a",6,"bel",653.018157424542
"a",6,"bgr",379.70398332879
"a",6,"blt",637.497307086634
"a",6,"bra",364.097203901845
"a",6,"can",412.699791531889
"a",6,"chl",481.376025768589
"a",6,"chn",146.198516120453
"a",6,"cor",417.615408800364
"a",6,"cro",861.094096129556
"a",6,"dnk",465.797333412914
"a",6,"egy",382.35843919662
"a",6,"esp",562.504842290556
"a",6,"fin",584.329932107376
"a",6,"fra",653.897360025722
"a",6,"gbr",920.054454930955
"a",6,"golf57",598.390613235099
"a",6,"grc",465.637311371974
"a",6,"hun",484.315404199374
"a",6,"idn",304.728747350204
"a",6,"irl",484.501170984105
"a",6,"ita",809.311474715046
"a",6,"jpn",605.737909461883
"a",6,"meme",513.090832607699
"a",6,"mex",652.113296531919
"a",6,"mys",339.58546109408
"a",6,"nde",198.420766962582
"a",6,"nld",671.892520251119
"a",6,"noan",367.920991091736
"a",6,"noap",538.264449004352
"a",6,"nor",588.496585485094
"a",6,"oeu",270.454196965359
"a",6,"osea",208.938334782093
"a",6,"pol",355.459978838438
"a",6,"prt",692.331403021558
"a",6,"rcam",627.549740042558
"a",6,"rcz",270.714223976378
"a",6,"rfa",848.085671563501
"a",6,"ris",278.380094433981
"a",6,"rjan57",265.005584748807
"a",6,"rom",540.450539409961
"a",6,"rsaf",335.097382787008
"a",6,"rsam",421.203463088103
"a",6,"rsas",354.636482082025
"a",6,"rsl",526.051876718328
"a",6,"rus",275.893678629724
"a",6,"slo",724.480589618631
"a",6,"sui",487.080825164583
"a",6,"swe",635.984691217675
"a",6,"tha",346.525015314946
"a",6,"tur",219.161783492829
"a",6,"ukr",244.340759404323
"a",6,"usa",475.013635819125
"a",6,"vnm",195.744042015641
"a",6,"zaf",59.3761879588229
"a",7,"arg",379.65056045059
"a",7,"aus",288.177936009451
"a",7,"aut",710.176076689578
"a",7,"bel",653.018157424542
"a",7,"bgr",379.70398332879
"a",7,"blt",637.497307086634
"a",7,"bra",364.097203901845
"a",7,"can",412.699791531889
"a",7,"chl",481.376025768589
"a",7,"chn",146.198516120453
"a",7,"cor",417.615408800364
"a",7,"cro",861.094096129556
"a",7,"dnk",465.797333412914
"a",7,"egy",382.35843919662
"a",7,"esp",562.504842290556
"a",7,"fin",584.329932107376
"a",7,"fra",653.897360025722
"a",7,"gbr",920.054454930955
"a",7,"golf57",598.390613235099
"a",7,"grc",465.637311371974
"a",7,"hun",484.315404199374
"a",7,"idn",304.728747350204
"a",7,"irl",484.501170984105
"a",7,"ita",809.311474715046
"a",7,"jpn",605.737909461883
"a",7,"meme",513.090832607699
"a",7,"mex",652.113296531919
"a",7,"mys",339.58546109408
"a",7,"nde",198.420766962582
"a",7,"nld",671.892520251119
"a",7,"noan",367.920991091736
"a",7,"noap",538.264449004352
"a",7,"nor",588.496585485094
"a",7,"oeu",270.454196965359
"a",7,"osea",208.938334782093
"a",7,"pol",355.459978838438
"a",7,"prt",692.331403021558
"a",7,"rcam",627.549740042558
"a",7,"rcz",270.714223976378
"a",7,"rfa",848.085671563501
"a",7,"ris",278.380094433981
"a",7,"rjan57",265.005584748807
"a",7,"rom",540.450539409961
"a",7,"rsaf",335.097382787008
"a",7,"rsam",421.203463088103
"a",7,"rsas",354.636482082025
"a",7,"rsl",526.051876718328
"a",7,"rus",275.893678629724
"a",7,"slo",724.480589618631
"a",7,"sui",487.080825164583
"a",7,"swe",635.984691217675
"a",7,"tha",346.525015314946
"a",7,"tur",219.161783492829
"a",7,"ukr",244.340759404323
"a",7,"usa",475.013635819125
"a",7,"vnm",195.744042015641
"a",7,"zaf",59.3761879588229
"a",8,"arg",379.65056045059
"a",8,"aus",288.177936009451
"a",8,"aut",710.176076689578
"a",8,"bel",653.018157424542
"a",8,"bgr",379.70398332879
"a",8,"blt",637.497307086634
"a",8,"bra",364.097203901845
"a",8,"can",412.699791531889
"a",8,"chl",481.376025768589
"a",8,"chn",146.198516120453
"a",8,"cor",417.615408800364
"a",8,"cro",861.094096129556
"a",8,"dnk",465.797333412914
"a",8,"egy",382.35843919662
"a",8,"esp",562.504842290556
"a",8,"fin",584.329932107376
"a",8,"fra",653.897360025722
"a",8,"gbr",920.054454930955
"a",8,"golf57",598.390613235099
"a",8,"grc",465.637311371974
"a",8,"hun",484.315404199374
"a",8,"idn",304.728747350204
"a",8,"irl",484.501170984105
"a",8,"ita",809.311474715046
"a",8,"jpn",605.737909461883
"a",8,"meme",513.090832607699
"a",8,"mex",652.113296531919
"a",8,"mys",339.58546109408
"a",8,"nde",198.420766962582
"a",8,"nld",671.892520251119
"a",8,"noan",367.920991091736
"a",8,"noap",538.264449004352
"a",8,"nor",588.496585485094
"a",8,"oeu",270.454196965359
"a",8,"osea",208.938334782093
"a",8,"pol",355.459978838438
"a",8,"prt",692.331403021558
"a",8,"rcam",627.549740042558
"a",8,"rcz",270.714223976378
"a",8,"rfa",848.085671563501
"a",8,"ris",278.380094433981
"a",8,"rjan57",265.005584748807
"a",8,"rom",540.450539409961
"a",8,"rsaf",335.097382787008
"a",8,"rsam",421.203463088103
"a",8,"rsas",354.636482082025
"a",8,"rsl",526.051876718328
"a",8,"rus",275.893678629724
"a",8,"slo",724.480589618631
"a",8,"sui",487.080825164583
"a",8,"swe",635.984691217675
"a",8,"tha",346.525015314946
"a",8,"tur",219.161783492829
"a",8,"ukr",244.340759404323
"a",8,"usa",475.013635819125
"a",8,"vnm",195.744042015641
"a",8,"zaf",59.3761879588229
"a",9,"arg",379.65056045059
"a",9,"aus",288.177936009451
"a",9,"aut",710.176076689578
"a",9,"bel",653.018157424542
"a",9,"bgr",379.70398332879
"a",9,"blt",637.497307086634
"a",9,"bra",364.097203901845
"a",9,"can",412.699791531889
"a",9,"chl",481.376025768589
"a",9,"chn",146.198516120453
"a",9,"cor",417.615408800364
"a",9,"cro",861.094096129556
"a",9,"dnk",465.797333412914
"a",9,"egy",382.35843919662
"a",9,"esp",562.504842290556
"a",9,"fin",584.329932107376
"a",9,"fra",653.897360025722
"a",9,"gbr",920.054454930955
"a",9,"golf57",598.390613235099
"a",9,"grc",465.637311371974
"a",9,"hun",484.315404199374
"a",9,"idn",304.728747350204
"a",9,"irl",484.501170984105
"a",9,"ita",809.311474715046
"a",9,"jpn",605.737909461883
"a",9,"meme",513.090832607699
"a",9,"mex",652.113296531919
"a",9,"mys",339.58546109408
"a",9,"nde",198.420766962582
"a",9,"nld",671.892520251119
"a",9,"noan",367.920991091736
"a",9,"noap",538.264449004352
"a",9,"nor",588.496585485094
"a",9,"oeu",270.454196965359
"a",9,"osea",208.938334782093
"a",9,"pol",355.459978838438
"a",9,"prt",692.331403021558
"a",9,"rcam",627.549740042558
"a",9,"rcz",270.714223976378
"a",9,"rfa",848.085671563501
"a",9,"ris",278.380094433981
"a",9,"rjan57",265.005584748807
"a",9,"rom",540.450539409961
"a",9,"rsaf",335.097382787008
"a",9,"rsam",421.203463088103
"a",9,"rsas",354.636482082025
"a",9,"rsl",526.051876718328
"a",9,"rus",275.893678629724
"a",9,"slo",724.480589618631
"a",9,"sui",487.080825164583
"a",9,"swe",635.984691217675
"a",9,"tha",346.525015314946
"a",9,"tur",219.161783492829
"a",9,"ukr",244.340759404323
"a",9,"usa",475.013635819125
"a",9,"vnm",195.744042015641
"a",9,"zaf",59.3761879588229
"a",10,"arg",379.65056045059
"a",10,"aus",288.177936009451
"a",10,"aut",710.176076689578
"a",10,"bel",653.018157424542
"a",10,"bgr",379.70398332879
"a",10,"blt",637.497307086634
"a",10,"bra",364.097203901845
"a",10,"can",412.699791531889
"a",10,"chl",481.376025768589
"a",10,"chn",146.198516120453
"a",10,"cor",417.615408800364
"a",10,"cro",861.094096129556
"a",10,"dnk",465.797333412914
"a",10,"egy",382.35843919662
"a",10,"esp",562.504842290556
"a",10,"fin",584.329932107376
"a",10,"fra",653.897360025722
"a",10,"gbr",920.054454930955
"a",10,"golf57",598.390613235099
"a",10,"grc",465.637311371974
"a",10,"hun",484.315404199374
"a",10,"idn",304.728747350204
"a",10,"irl",484.501170984105
"a",10,"ita",809.311474715046
"a",10,"jpn",605.737909461883
"a",10,"meme",513.090832607699
"a",10,"mex",652.113296531919
"a",10,"mys",339.58546109408
"a",10,"nde",198.420766962582
"a",10,"nld",671.892520251119
"a",10,"noan",367.920991091736
"a",10,"noap",538.264449004352
"a",10,"nor",588.496585485094
"a",10,"oeu",270.454196965359
"a",10,"osea",208.938334782093
"a",10,"pol",355.459978838438
"a",10,"prt",692.331403021558
"a",10,"rcam",627.549740042558
"a",10,"rcz",270.714223976378
"a",10,"rfa",848.085671563501
"a",10,"ris",278.380094433981
"a",10,"rjan57",265.005584748807
"a",10,"rom",540.450539409961
"a",10,"rsaf",335.097382787008
"a",10,"rsam",421.203463088103
"a",10,"rsas",354.636482082025
"a",10,"rsl",526.051876718328
"a",10,"rus",275.893678629724
"a",10,"slo",724.480589618631
"a",10,"sui",487.080825164583
"a",10,"swe",635.984691217675
"a",10,"tha",346.525015314946
"a",10,"tur",219.161783492829
"a",10,"ukr",244.340759404323
"a",10,"usa",475.013635819125
"a",10,"vnm",195.744042015641
"a",10,"zaf",59.3761879588229
"a",11,"arg",379.65056045059
"a",11,"aus",288.177936009451
"a",11,"aut",710.176076689578
"a",11,"bel",653.018157424542
"a",11,"bgr",379.70398332879
"a",11,"blt",637.497307086634
"a",11,"bra",364.097203901845
"a",11,"can",412.699791531889
"a",11,"chl",481.376025768589
"a",11,"chn",146.198516120453
"a",11,"cor",417.615408800364
"a",11,"cro",861.094096129556
"a",11,"dnk",465.797333412914
"a",11,"egy",382.35843919662
"a",11,"esp",562.504842290556
"a",11,"fin",584.329932107376
"a",11,"fra",653.897360025722
"a",11,"gbr",920.054454930955
"a",11,"golf57",598.390613235099
"a",11,"grc",465.637311371974
"a",11,"hun",484.315404199374
"a",11,"idn",304.728747350204
"a",11,"irl",484.501170984105
"a",11,"ita",809.311474715046
"a",11,"jpn",605.737909461883
"a",11,"meme",513.090832607699
"a",11,"mex",652.113296531919
"a",11,"mys",339.58546109408
"a",11,"nde",198.420766962582
"a",11,"nld",671.892520251119
"a",11,"noan",367.920991091736
"a",11,"noap",538.264449004352
"a",11,"nor",588.496585485094
"a",11,"oeu",270.454196965359
"a",11,"osea",208.938334782093
"a",11,"pol",355.459978838438
"a",11,"prt",692.331403021558
"a",11,"rcam",627.549740042558
"a",11,"rcz",270.714223976378
"a",11,"rfa",848.085671563501
"a",11,"ris",278.380094433981
"a",11,"rjan57",265.005584748807
"a",11,"rom",540.450539409961
"a",11,"rsaf",335.097382787008
"a",11,"rsam",421.203463088103
"a",11,"rsas",354.636482082025
"a",11,"rsl",526.051876718328
"a",11,"rus",275.893678629724
"a",11,"slo",724.480589618631
"a",11,"sui",487.080825164583
"a",11,"swe",635.984691217675
"a",11,"tha",346.525015314946
"a",11,"tur",219.161783492829
"a",11,"ukr",244.340759404323
"a",11,"usa",475.013635819125
"a",11,"vnm",195.744042015641
"a",11,"zaf",59.3761879588229
"a",12,"arg",379.65056045059
"a",12,"aus",288.177936009451
"a",12,"aut",710.176076689578
"a",12,"bel",653.018157424542
"a",12,"bgr",379.70398332879
"a",12,"blt",637.497307086634
"a",12,"bra",364.097203901845
"a",12,"can",412.699791531889
"a",12,"chl",481.376025768589
"a",12,"chn",146.198516120453
"a",12,"cor",417.615408800364
"a",12,"cro",861.094096129556
"a",12,"dnk",465.797333412914
"a",12,"egy",382.35843919662
"a",12,"esp",562.504842290556
"a",12,"fin",584.329932107376
"a",12,"fra",653.897360025722
"a",12,"gbr",920.054454930955
"a",12,"golf57",598.390613235099
"a",12,"grc",465.637311371974
"a",12,"hun",484.315404199374
"a",12,"idn",304.728747350204
"a",12,"irl",484.501170984105
"a",12,"ita",809.311474715046
"a",12,"jpn",605.737909461883
"a",12,"meme",513.090832607699
"a",12,"mex",652.113296531919
"a",12,"mys",339.58546109408
"a",12,"nde",198.420766962582
"a",12,"nld",671.892520251119
"a",12,"noan",367.920991091736
"a",12,"noap",538.264449004352
"a",12,"nor",588.496585485094
"a",12,"oeu",270.454196965359
"a",12,"osea",208.938334782093
"a",12,"pol",355.459978838438
"a",12,"prt",692.331403021558
"a",12,"rcam",627.549740042558
"a",12,"rcz",270.714223976378
"a",12,"rfa",848.085671563501
"a",12,"ris",278.380094433981
"a",12,"rjan57",265.005584748807
"a",12,"rom",540.450539409961
"a",12,"rsaf",335.097382787008
"a",12,"rsam",421.203463088103
"a",12,"rsas",354.636482082025
"a",12,"rsl",526.051876718328
"a",12,"rus",275.893678629724
"a",12,"slo",724.480589618631
"a",12,"sui",487.080825164583
"a",12,"swe",635.984691217675
"a",12,"tha",346.525015314946
"a",12,"tur",219.161783492829
"a",12,"ukr",244.340759404323
"a",12,"usa",475.013635819125
"a",12,"vnm",195.744042015641
"a",12,"zaf",59.3761879588229
"a",13,"arg",379.65056045059
"a",13,"aus",288.177936009451
"a",13,"aut",710.176076689578
"a",13,"bel",653.018157424542
"a",13,"bgr",379.70398332879
"a",13,"blt",637.497307086634
"a",13,"bra",364.097203901845
"a",13,"can",412.699791531889
"a",13,"chl",481.376025768589
"a",13,"chn",146.198516120453
"a",13,"cor",417.615408800364
"a",13,"cro",861.094096129556
"a",13,"dnk",465.797333412914
"a",13,"egy",382.35843919662
"a",13,"esp",562.504842290556
"a",13,"fin",584.329932107376
"a",13,"fra",653.897360025722
"a",13,"gbr",920.054454930955
"a",13,"golf57",598.390613235099
"a",13,"grc",465.637311371974
"a",13,"hun",484.315404199374
"a",13,"idn",304.728747350204
"a",13,"irl",484.501170984105
"a",13,"ita",809.311474715046
"a",13,"jpn",605.737909461883
"a",13,"meme",513.090832607699
"a",13,"mex",652.113296531919
"a",13,"mys",339.58546109408
"a",13,"nde",198.420766962582
"a",13,"nld",671.892520251119
"a",13,"noan",367.920991091736
"a",13,"noap",538.264449004352
"a",13,"nor",588.496585485094
"a",13,"oeu",270.454196965359
"a",13,"osea",208.938334782093
"a",13,"pol",355.459978838438
"a",13,"prt",692.331403021558
"a",13,"rcam",627.549740042558
"a",13,"rcz",270.714223976378
"a",13,"rfa",848.085671563501
"a",13,"ris",278.380094433981
"a",13,"rjan57",265.005584748807
"a",13,"rom",540.450539409961
"a",13,"rsaf",335.097382787008
"a",13,"rsam",421.203463088103
"a",13,"rsas",354.636482082025
"a",13,"rsl",526.051876718328
"a",13,"rus",275.893678629724
"a",13,"slo",724.480589618631
"a",13,"sui",487.080825164583
"a",13,"swe",635.984691217675
"a",13,"tha",346.525015314946
"a",13,"tur",219.161783492829
"a",13,"ukr",244.340759404323
"a",13,"usa",475.013635819125
"a",13,"vnm",195.744042015641
"a",13,"zaf",59.3761879588229
"a",14,"arg",379.65056045059
"a",14,"aus",288.177936009451
"a",14,"aut",710.176076689578
"a",14,"bel",653.018157424542
"a",14,"bgr",379.70398332879
"a",14,"blt",637.497307086634
"a",14,"bra",364.097203901845
"a",14,"can",412.699791531889
"a",14,"chl",481.376025768589
"a",14,"chn",146.198516120453
"a",14,"cor",417.615408800364
"a",14,"cro",861.094096129556
"a",14,"dnk",465.797333412914
"a",14,"egy",382.35843919662
"a",14,"esp",562.504842290556
"a",14,"fin",584.329932107376
"a",14,"fra",653.897360025722
"a",14,"gbr",920.054454930955
"a",14,"golf57",598.390613235099
"a",14,"grc",465.637311371974
"a",14,"hun",484.315404199374
"a",14,"idn",304.728747350204
"a",14,"irl",484.501170984105
"a",14,"ita",809.311474715046
"a",14,"jpn",605.737909461883
"a",14,"meme",513.090832607699
"a",14,"mex",652.113296531919
"a",14,"mys",339.58546109408
"a",14,"nde",198.420766962582
"a",14,"nld",671.892520251119
"a",14,"noan",367.920991091736
"a",14,"noap",538.264449004352
"a",14,"nor",588.496585485094
"a",14,"oeu",270.454196965359
"a",14,"osea",208.938334782093
"a",14,"pol",355.459978838438
"a",14,"prt",692.331403021558
"a",14,"rcam",627.549740042558
"a",14,"rcz",270.714223976378
"a",14,"rfa",848.085671563501
"a",14,"ris",278.380094433981
"a",14,"rjan57",265.005584748807
"a",14,"rom",540.450539409961
"a",14,"rsaf",335.097382787008
"a",14,"rsam",421.203463088103
"a",14,"rsas",354.636482082025
"a",14,"rsl",526.051876718328
"a",14,"rus",275.893678629724
"a",14,"slo",724.480589618631
"a",14,"sui",487.080825164583
"a",14,"swe",635.984691217675
"a",14,"tha",346.525015314946
"a",14,"tur",219.161783492829
"a",14,"ukr",244.340759404323
"a",14,"usa",475.013635819125
"a",14,"vnm",195.744042015641
"a",14,"zaf",59.3761879588229
"a",15,"arg",379.65056045059
"a",15,"aus",288.177936009451
"a",15,"aut",710.176076689578
"a",15,"bel",653.018157424542
"a",15,"bgr",379.70398332879
"a",15,"blt",637.497307086634
"a",15,"bra",364.097203901845
"a",15,"can",412.699791531889
"a",15,"chl",481.376025768589
"a",15,"chn",146.198516120453
"a",15,"cor",417.615408800364
"a",15,"cro",861.094096129556
"a",15,"dnk",465.797333412914
"a",15,"egy",382.35843919662
"a",15,"esp",562.504842290556
"a",15,"fin",584.329932107376
"a",15,"fra",653.897360025722
"a",15,"gbr",920.054454930955
"a",15,"golf57",598.390613235099
"a",15,"grc",465.637311371974
"a",15,"hun",484.315404199374
"a",15,"idn",304.728747350204
"a",15,"irl",484.501170984105
"a",15,"ita",809.311474715046
"a",15,"jpn",605.737909461883
"a",15,"meme",513.090832607699
"a",15,"mex",652.113296531919
"a",15,"mys",339.58546109408
"a",15,"nde",198.420766962582
"a",15,"nld",671.892520251119
"a",15,"noan",367.920991091736
"a",15,"noap",538.264449004352
"a",15,"nor",588.496585485094
"a",15,"oeu",270.454196965359
"a",15,"osea",208.938334782093
"a",15,"pol",355.459978838438
"a",15,"prt",692.331403021558
"a",15,"rcam",627.549740042558
"a",15,"rcz",270.714223976378
"a",15,"rfa",848.085671563501
"a",15,"ris",278.380094433981
"a",15,"rjan57",265.005584748807
"a",15,"rom",540.450539409961
"a",15,"rsaf",335.097382787008
"a",15,"rsam",421.203463088103
