"t","n","value"
1,"arg",0.476541620580106
1,"aus",0.476702735546395
1,"aut",0.475301225818383
1,"bel",0.475153929437107
1,"bgr",0.475961316884993
1,"blt",0.475073136091693
1,"bra",0.475224043712061
1,"can",0.476379164430362
1,"chl",0.476682956309417
1,"chn",0.479262798672155
1,"cor",0.476084159273949
1,"cro",0.474960283743533
1,"dnk",0.475274097316573
1,"egy",0.476294853090472
1,"esp",0.474789482176893
1,"fin",0.475734406495544
1,"fra",0.475228757466172
1,"gbr",0.474787257350583
1,"golf57",0.476264193006414
1,"grc",0.475095111735293
1,"hun",0.475442095073408
1,"idn",0.478178819176756
1,"irl",0.474892980467234
1,"ita",0.474671767069077
1,"jpn",0.475020493576018
1,"meme",0.474947512720188
1,"mex",0.475331054901459
1,"mys",0.476626021997873
1,"nde",0.479196232761184
1,"nld",0.474880957672199
1,"noan",0.475650200107267
1,"noap",0.476453057771362
1,"nor",0.474864600830018
1,"oeu",0.475746444336281
1,"osea",0.477771445352122
1,"pol",0.477653267293242
1,"prt",0.474884370651263
1,"rcam",0.475520773240088
1,"rcz",0.476946296720019
1,"rfa",0.47501869474264
1,"ris",0.480498874164901
1,"rjan57",0.476736535722078
1,"rom",0.475431268091287
1,"rsaf",0.476220581362621
1,"rsam",0.476020807656121
1,"rsas",0.47683871506578
1,"rsl",0.475137184642087
1,"rus",0.477434447088947
1,"slo",0.474877768564007
1,"sui",0.475151025052609
1,"swe",0.475064303243852
1,"tha",0.476660646295317
1,"tur",0.475975450683001
1,"ukr",0.479281437754451
1,"usa",0.476261400715028
1,"vnm",0.481314024144096
1,"zaf",0.478017502675029
2,"arg",0.473152560200503
2,"aus",0.473352598615899
2,"aut",0.471612500898035
2,"bel",0.471429619472536
2,"bgr",0.472432062072412
2,"blt",0.471329307421066
2,"bra",0.471516672517833
2,"can",0.472950856587769
2,"chl",0.473328040951805
2,"chn",0.476531142377451
2,"cor",0.472584581713487
2,"cro",0.471189191295173
2,"dnk",0.471578818474612
2,"egy",0.472846176636428
2,"esp",0.470977126112622
2,"fin",0.472150332846458
2,"fra",0.471522525058567
2,"gbr",0.470974363794882
2,"golf57",0.47280810944272
2,"grc",0.471356592117356
2,"hun",0.47178740248044
2,"idn",0.475185286399104
2,"irl",0.471105628352189
2,"ita",0.470830972442495
2,"jpn",0.471263947103147
2,"meme",0.471173334945315
2,"mex",0.471649536330861
2,"mys",0.47325735199146
2,"nde",0.476448494938441
2,"nld",0.471090700993653
2,"noan",0.472045783201784
2,"noap",0.473042601676275
2,"nor",0.47107039253401
2,"oeu",0.472165278885559
2,"osea",0.474679495930158
2,"pol",0.474532767465525
2,"prt",0.471094938507643
2,"rcam",0.47188508835129
2,"rcz",0.473655001256362
2,"rfa",0.471261713693137
2,"ris",0.478065838927212
2,"rjan57",0.473394564509817
2,"rom",0.471773959828917
2,"rsaf",0.472753961747332
2,"rsam",0.472505925102403
2,"rsas",0.47352142916101
2,"rsl",0.471408829335288
2,"rus",0.474261082916709
2,"slo",0.471086741435059
2,"sui",0.471426013423477
2,"swe",0.471318340662817
2,"tha",0.4733003411051
2,"tur",0.472449610426995
2,"ukr",0.476554284439128
2,"usa",0.472804642567128
2,"vnm",0.47907791939313
2,"zaf",0.474984997759718
3,"arg",0.468864794788594
3,"aus",0.469112600653599
3,"aut",0.466956982597367
3,"bel",0.466730430663584
3,"bgr",0.467972247916974
3,"blt",0.466606164958741
3,"bra",0.46683827122585
3,"can",0.468614926091479
3,"chl",0.469082178830964
3,"chn",0.473050153271811
3,"cor",0.46816118793388
3,"cro",0.466432590309546
3,"dnk",0.466915257101517
3,"egy",0.468485249469919
3,"esp",0.46616988578904
3,"fin",0.467623244179885
3,"fra",0.466845521302873
3,"gbr",0.46616646385363
3,"golf57",0.468438092158428
3,"grc",0.466639965005358
3,"hun",0.467173649170299
3,"idn",0.471382918484807
3,"irl",0.466329073255947
3,"ita",0.46598883188208
3,"jpn",0.466525197160196
3,"meme",0.466412947599996
3,"mex",0.46700286177237
3,"mys",0.468994609956106
3,"nde",0.472947770336645
3,"nld",0.46631058137284
3,"noan",0.467493728981101
3,"noap",0.468728579116435
3,"nor",0.466285423428058
3,"oeu",0.467641759204314
3,"osea",0.470756349610922
3,"pol",0.470574583653483
3,"prt",0.466315830768651
3,"rcam",0.467294661585223
3,"rcz",0.469487214438412
3,"rfa",0.466522430431124
3,"ris",0.474951322131201
3,"rjan57",0.46916458764131
3,"rom",0.467156996529445
3,"rsaf",0.468371014460041
3,"rsam",0.468063748801955
3,"rsas",0.469321746477852
3,"rsl",0.466704676020737
3,"rus",0.470238023175865
3,"slo",0.466305676305779
3,"sui",0.466725963521088
3,"swe",0.466592579433137
3,"tha",0.469047864499591
3,"tur",0.467993986667394
3,"ukr",0.473078821458371
3,"usa",0.468433797422823
3,"vnm",0.476205078689982
3,"zaf",0.471134802644479
4,"arg",0.464239779366477
4,"aus",0.465947782284829
4,"aut",0.462543480845572
4,"bel",0.461584818601168
4,"bgr",0.463234257544915
4,"blt",0.461311245538104
4,"bra",0.462360146424207
4,"can",0.467187754090776
4,"chl",0.465498082477027
4,"chn",0.470297791335699
4,"cor",0.463621744507045
4,"cro",0.46071796929742
4,"dnk",0.462554497622326
4,"egy",0.463320156276793
4,"esp",0.460869448552948
4,"fin",0.463955143867125
4,"fra",0.463776185681754
4,"gbr",0.461691071292378
4,"golf57",0.463231469383002
4,"grc",0.461697687394239
4,"hun",0.462372560969827
4,"idn",0.468641286107915
4,"irl",0.462185133791338
4,"ita",0.460869445216819
4,"jpn",0.461518960185902
4,"meme",0.460961867474374
4,"mex",0.46195121451971
4,"mys",0.464764998789728
4,"nde",0.470492197721535
4,"nld",0.461402928719071
4,"noan",0.463092367685039
4,"noap",0.464224371067189
4,"nor",0.460908142439373
4,"oeu",0.463716354503071
4,"osea",0.46719730958308
4,"pol",0.471998665618041
4,"prt",0.460982087139932
4,"rcam",0.46280928458169
