"ssp","t","n","value"
"ssp1",1,"north",0.354055033490059
"ssp1",1,"south",0.400509680273776
"ssp1",2,"north",0.29427736844326
"ssp1",2,"south",0.331735288336226
"ssp1",3,"north",0.253069589189591
"ssp1",3,"south",0.277927435491619
"ssp1",4,"north",0.222761936608301
"ssp1",4,"south",0.234164746349109
"ssp1",5,"north",0.199021726198026
"ssp1",5,"south",0.19849380671134
"ssp1",6,"north",0.17928272743208
"ssp1",6,"south",0.169663031114961
"ssp1",7,"north",0.162280684975479
"ssp1",7,"south",0.146412589540513
"ssp1",8,"north",0.147486409908944
"ssp1",8,"south",0.12745909452891
"ssp1",9,"north",0.134658015927001
"ssp1",9,"south",0.111835653199486
"ssp1",10,"north",0.12354654155099
"ssp1",10,"south",0.0987559844308393
"ssp1",11,"north",0.11372575784989
"ssp1",11,"south",0.0875933511383474
"ssp1",12,"north",0.104851951010146
"ssp1",12,"south",0.0778833763835752
"ssp1",13,"north",0.0967280809230897
"ssp1",13,"south",0.0693043205972307
"ssp1",14,"north",0.0893352958138143
"ssp1",14,"south",0.0616490376639325
"ssp1",15,"north",0.0826582180642932
"ssp1",15,"south",0.0547939525289561
"ssp1",16,"north",0.0766172256620555
"ssp1",16,"south",0.0486445242243112
"ssp1",17,"north",0.071113130993891
"ssp1",17,"south",0.0431343626066033
"ssp1",18,"north",0.0660065006343929
"ssp1",18,"south",0.0382115742589061
"ssp1",19,"north",0.0613315331107901
"ssp1",19,"south",0.0338391108599637
"ssp1",20,"north",0.0570159284586636
"ssp1",20,"south",0.0299793796861634
"ssp1",21,"north",0.0529949543751062
"ssp1",21,"south",0.0265959960512199
"ssp1",22,"north",0.0492120007805795
"ssp1",22,"south",0.0236519283054771
"ssp1",23,"north",0.0456198918632031
"ssp1",23,"south",0.0211091391355286
"ssp1",24,"north",0.0421826200602924
"ssp1",24,"south",0.0189290147101912
"ssp1",25,"north",0.0388769673226073
"ssp1",25,"south",0.0170729345439923
"ssp1",26,"north",0.0356933414667241
"ssp1",26,"south",0.0155025907392367
"ssp1",27,"north",0.03263517088054
"ssp1",27,"south",0.0141800360592148
"ssp1",28,"north",0.0297164774801936
"ssp1",28,"south",0.0130677514596709
"ssp1",29,"north",0.0269577796333036
"ssp1",29,"south",0.0121290996632629
"ssp1",30,"north",0.0243810791320627
"ssp1",30,"south",0.0113293267925473
"ssp1",31,"north",0.0220050625157463
"ssp1",31,"south",0.0106369309439029
"ssp1",32,"north",0.0198415814514553
"ssp1",32,"south",0.0100249703511225
"ssp1",33,"north",0.017894001800887
"ssp1",33,"south",0.00947188504938524
"ssp1",34,"north",0.0161573865419884
"ssp1",34,"south",0.00896162030125754
"ssp1",35,"north",0.014620001374891
"ssp1",35,"south",0.00848310824828091
"ssp1",36,"north",0.0132654546313758
"ssp1",36,"south",0.00802934096205323
"ssp1",37,"north",0.0120748709810887
"ssp1",37,"south",0.00759630638209073
"ssp1",38,"north",0.0110287180453752
"ssp1",38,"south",0.00718199726452388
"ssp1",39,"north",0.010106501987196
"ssp1",39,"south",0.00678470054146785
"ssp1",40,"north",0.00929146233520023
"ssp1",40,"south",0.00640461248129188
"ssp1",41,"north",0.008568522529812
"ssp1",41,"south",0.00604201051862823
"ssp1",42,"north",0.00792448359209322
"ssp1",42,"south",0.00569707647859919
"ssp1",43,"north",0.00734800961910308
"ssp1",43,"south",0.00536981819483149
"ssp1",44,"north",0.00682949251096197
"ssp1",44,"south",0.00506005174298594
"ssp1",45,"north",0.00636085841848302
"ssp1",45,"south",0.00476741711263534
"ssp1",46,"north",0.00593535644483633
"ssp1",46,"south",0.00449140932387599
"ssp1",47,"north",0.00554735357478338
"ssp1",47,"south",0.00423141404723241
"ssp1",48,"north",0.00519214828876286
"ssp1",48,"south",0.00398674164812055
"ssp1",49,"north",0.00486580799394371
"ssp1",49,"south",0.00375665674664333
"ssp1",50,"north",0.00456503106830227
"ssp1",50,"south",0.00354040229620529
"ssp1",51,"north",0.0042870319810334
"ssp1",51,"south",0.0033372182531744
"ssp1",52,"north",0.00402944687727435
"ssp1",52,"south",0.00314635543357822
"ssp1",53,"north",0.00379025668163402
"ssp1",53,"south",0.00296708535123988
"ssp1",54,"north",0.00356772484796529
"ssp1",54,"south",0.0027987068473025
"ssp1",55,"north",0.003360347154194
"ssp1",55,"south",0.00264055024497033
"ssp1",56,"north",0.00316681128913991
"ssp1",56,"south",0.00249197965020872
"ssp1",57,"north",0.00298596433504562
"ssp1",57,"south",0.00235239389989421
"ssp1",58,"north",0.00281678658078526
"ssp1",58,"south",0.00222122654920219
"ssp2",1,"north",0.354133797987977
"ssp2",1,"south",0.402189856183932
"ssp2",2,"north",0.308966829142638
"ssp2",2,"south",0.361068819096397
"ssp2",3,"north",0.278490080030753
"ssp2",3,"south",0.327147826754944
"ssp2",4,"north",0.256483540122809
"ssp2",4,"south",0.297649329286567
"ssp2",5,"north",0.239630608803664
"ssp2",5,"south",0.272234622760374
"ssp2",6,"north",0.225995601992549
"ssp2",6,"south",0.250843630953822
"ssp2",7,"north",0.21450361550292
"ssp2",7,"south",0.23281240045764
"ssp2",8,"north",0.20472313814312
"ssp2",8,"south",0.217317515129517
"ssp2",9,"north",0.196506661702079
"ssp2",9,"south",0.203825755214401
"ssp2",10,"north",0.189598672543704
"ssp2",10,"south",0.192041026547525
"ssp2",11,"north",0.183610759107075
"ssp2",11,"south",0.181533803885238
"ssp2",12,"north",0.178283781119845
"ssp2",12,"south",0.172009861230816
"ssp2",13,"north",0.173392664987377
"ssp2",13,"south",0.163207391818386
