"ssp","t","n","value"
"ssp1",1,"north",7.68583795556902
"ssp1",1,"south",2.65384477547593
"ssp1",2,"north",8.71102369928544
"ssp1",2,"south",3.3249205333109
"ssp1",3,"north",9.59857023706096
"ssp1",3,"south",4.01854794222342
"ssp1",4,"north",10.4278383970293
"ssp1",4,"south",4.73350301512702
"ssp1",5,"north",11.1993412124576
"ssp1",5,"south",5.43320491557362
"ssp1",6,"north",11.8781384464836
"ssp1",6,"south",6.08090544506458
"ssp1",7,"north",12.4728798833958
"ssp1",7,"south",6.68753904787314
"ssp1",8,"north",12.9825541933438
"ssp1",8,"south",7.24883976390535
"ssp1",9,"north",13.4811225338932
"ssp1",9,"south",7.79202451657723
"ssp1",10,"north",14.0163225992918
"ssp1",10,"south",8.35697569498106
"ssp1",11,"north",14.5876787094162
"ssp1",11,"south",8.93813352452215
"ssp1",12,"north",15.1535771660401
"ssp1",12,"south",9.51956491706537
"ssp1",13,"north",15.7000493160332
"ssp1",13,"south",10.0975405155187
"ssp1",14,"north",16.2705021341102
"ssp1",14,"south",10.7051722521835
"ssp1",15,"north",16.8616797212597
"ssp1",15,"south",11.3321069201883
"ssp1",16,"north",17.484072618032
"ssp1",16,"south",11.9812488266745
"ssp1",17,"north",18.1415464771417
"ssp1",17,"south",12.6514045392625
"ssp1",18,"north",18.8297444909091
"ssp1",18,"south",13.3277821453539
"ssp1",19,"north",19.5148400984188
"ssp1",19,"south",14.0556298119161
"ssp1",20,"north",20.1892032607119
"ssp1",20,"south",14.8183355278127
"ssp1",21,"north",20.8470539526016
"ssp1",21,"south",15.6037201436256
"ssp1",22,"north",21.4837157481247
"ssp1",22,"south",16.4018260839561
"ssp1",23,"north",22.0951923109753
"ssp1",23,"south",17.2037624305368
"ssp1",24,"north",22.6779306319943
"ssp1",24,"south",18.001091388933
"ssp1",25,"north",23.2286917382
"ssp1",25,"south",18.785516771745
"ssp1",26,"north",23.7444839225599
"ssp1",26,"south",19.5487527616472
"ssp1",27,"north",24.2225324123269
"ssp1",27,"south",20.282505207219
"ssp1",28,"north",24.6602701166991
"ssp1",28,"south",20.9785249401406
"ssp1",29,"north",25.0553403095381
"ssp1",29,"south",21.6287073338656
"ssp1",30,"north",25.4056057465237
