"ssp","t","n","value"
"ssp1",1,"north",41.80911356957
"ssp1",1,"south",17.7366496073944
"ssp1",2,"north",47.14692302806
"ssp1",2,"south",23.7102513867816
"ssp1",3,"north",52.75744947038
"ssp1",3,"south",31.2213499850478
"ssp1",4,"north",58.89509592908
"ssp1",4,"south",40.316852476606
"ssp1",5,"north",65.43036827097
"ssp1",5,"south",50.6692208437168
"ssp1",6,"north",71.98044476817
"ssp1",6,"south",61.6271950985879
"ssp1",7,"north",78.33662935504
"ssp1",7,"south",72.8269832837032
"ssp1",8,"north",84.26884149916
"ssp1",8,"south",83.791502686693
"ssp1",9,"north",90.10443120016
"ssp1",9,"south",94.4905410474924
"ssp1",10,"north",96.14526156223
"ssp1",10,"south",105.200952276139
"ssp1",11,"north",102.33441329863
"ssp1",11,"south",115.807738615485
"ssp1",12,"north",108.35176363033
"ssp1",12,"south",125.989965462019
"ssp1",13,"north",114.01388858718
"ssp1",13,"south",135.534236057162
"ssp1",14,"north",119.50660098704
"ssp1",14,"south",144.726429845648
"ssp1",15,"north",124.7052724216
"ssp1",15,"south",153.338249196481
"ssp1",16,"north",129.67839049406
"ssp1",16,"south",161.312155738159
"ssp1",17,"north",134.44763319702
"ssp1",17,"south",168.545986956941
"ssp1",18,"north",138.91608553483
"ssp1",18,"south",174.735861271782
"ssp1",19,"north",143.335416100176
"ssp1",19,"south",181.320276582009
"ssp1",20,"north",147.685767599925
"ssp1",20,"south",188.252950930502
"ssp1",21,"north",151.94677562091
"ssp1",21,"south",195.48030677981
"ssp1",22,"north",156.097774569589
"ssp1",22,"south",202.941385193594
"ssp1",23,"north",160.117957172883
"ssp1",23,"south",210.5678766321
"ssp1",24,"north",163.986542940458
"ssp1",24,"south",218.284417463193
"ssp1",25,"north",167.68295376732
"ssp1",25,"south",226.009167441258
"ssp1",26,"north",171.186994656112
"ssp1",26,"south",233.654674744274
"ssp1",27,"north",174.47903736623
"ssp1",27,"south",241.129024939065
"ssp1",28,"north",177.540204656932
"ssp1",28,"south",248.337258846688
"ssp1",29,"north",180.35255268837
"ssp1",29,"south",255.183032203396
"ssp1",30,"north",182.899249081786
"ssp1",30,"south",261.570477857959
"ssp1",31,"north",185.16474412106
"ssp1",31,"south",267.406219686877
"ssp1",32,"north",187.134932604394
"ssp1",32,"south",272.601477154732
"ssp1",33,"north",188.7973039284
"ssp1",33,"south",277.07419119854
"ssp1",34,"north",190.141078107181
"ssp1",34,"south",280.751096515397
"ssp1",35,"north",191.157325595158
"ssp1",35,"south",283.569662917067
"ssp1",36,"north",191.839068992105
"ssp1",36,"south",285.479829562956
"ssp1",37,"north",192.181364958958
"ssp1",37,"south",286.445460779278
"ssp1",38,"north",192.181364958958
"ssp1",38,"south",286.445460779278
"ssp1",39,"north",192.181364958958
"ssp1",39,"south",286.445460779278
"ssp1",40,"north",192.181364958958
"ssp1",40,"south",286.445460779278
"ssp1",41,"north",192.181364958958
"ssp1",41,"south",286.445460779278
"ssp1",42,"north",192.181364958958
"ssp1",42,"south",286.445460779278
"ssp1",43,"north",192.181364958958
"ssp1",43,"south",286.445460779278
"ssp1",44,"north",192.181364958958
"ssp1",44,"south",286.445460779278
"ssp1",45,"north",192.181364958958
"ssp1",45,"south",286.445460779278
"ssp1",46,"north",192.181364958958
"ssp1",46,"south",286.445460779278
"ssp1",47,"north",192.181364958958
"ssp1",47,"south",286.445460779278
"ssp1",48,"north",192.181364958958
"ssp1",48,"south",286.445460779278
"ssp1",49,"north",192.181364958958
"ssp1",49,"south",286.445460779278
"ssp1",50,"north",192.181364958958
"ssp1",50,"south",286.445460779278
"ssp1",51,"north",192.181364958958
"ssp1",51,"south",286.445460779278
"ssp1",52,"north",192.181364958958
"ssp1",52,"south",286.445460779278
"ssp1",53,"north",192.181364958958
"ssp1",53,"south",286.445460779278
"ssp1",54,"north",192.181364958958
"ssp1",54,"south",286.445460779278
"ssp1",55,"north",192.181364958958
"ssp1",55,"south",286.445460779278
"ssp1",56,"north",192.181364958958
"ssp1",56,"south",286.445460779278
"ssp1",57,"north",192.181364958958
"ssp1",57,"south",286.445460779278
"ssp1",58,"north",192.181364958958
"ssp1",58,"south",286.445460779278
"ssp2",1,"north",41.76073507579
"ssp2",1,"south",17.8089110963244
"ssp2",2,"north",46.87128272393
"ssp2",2,"south",23.747149625428
"ssp2",3,"north",51.76153008038
"ssp2",3,"south",30.3198531433752
"ssp2",4,"north",56.51634666552
"ssp2",4,"south",37.0884363994898
"ssp2",5,"north",61.16300712004
"ssp2",5,"south",43.8196072238368
"ssp2",6,"north",65.84910415351
"ssp2",6,"south",50.8327209559646
"ssp2",7,"north",70.5186950432
"ssp2",7,"south",58.1247417973606
"ssp2",8,"north",75.05528074012
"ssp2",8,"south",65.5630148513486
"ssp2",9,"north",79.72043441637
"ssp2",9,"south",73.2721690555703
"ssp2",10,"north",84.73120410475
"ssp2",10,"south",81.5657514099544
"ssp2",11,"north",89.99831996215
"ssp2",11,"south",90.5034911248925
"ssp2",12,"north",95.29342799097
"ssp2",12,"south",100.031564469297
"ssp2",13,"north",100.46754559225
"ssp2",13,"south",110.104938703341
"ssp2",14,"north",105.6544600383
"ssp2",14,"south",120.804002264542
"ssp2",15,"north",110.77773000181
"ssp2",15,"south",132.063580536244
"ssp2",16,"north",115.87529395718
"ssp2",16,"south",143.963576532273
"ssp2",17,"north",120.97017914944
"ssp2",17,"south",156.502027703314
"ssp2",18,"north",126.00510634067
"ssp2",18,"south",169.586719843439
"ssp2",19,"north",131.01386402984
"ssp2",19,"south",183.618119329188
"ssp2",20,"north",135.972583952464
"ssp2",20,"south",198.569661600406
"ssp2",21,"north",140.856351821151
"ssp2",21,"south",214.390594298797
"ssp2",22,"north",145.639455703048
"ssp2",22,"south",231.003099204853
"ssp2",23,"north",150.2955998814
"ssp2",23,"south",248.299807695494
"ssp2",24,"north",154.79813917499
"ssp2",24,"south",266.142070678932
"ssp2",25,"north",159.120331150006
"ssp2",25,"south",284.359218502925
"ssp2",26,"north",163.235603141098
"ssp2",26,"south",302.749031080022
"ssp2",27,"north",167.117830517121
"ssp2",27,"south",321.079604092438
"ssp2",28,"north",170.741622197853
"ssp2",28,"south",339.092742589956
"ssp2",29,"north",174.082609065737
"ssp2",29,"south",356.508939235347
"ssp2",30,"north",177.11773063537
"ssp2",30,"south",373.033903534431
"ssp2",31,"north",179.825515155521
"ssp2",31,"south",388.366505378679
"ssp2",32,"north",182.186348234293
"ssp2",32,"south",402.207887905367
"ssp2",33,"north",184.182725105298
"ssp2",33,"south",414.271399468034
"ssp2",34,"north",185.799481796301
"ssp2",34,"south",424.292901848979
"ssp2",35,"north",187.024000722934
"ssp2",35,"south",432.040941328517
"ssp2",36,"north",187.846386606594
"ssp2",36,"south",437.326229576197
"ssp2",37,"north",188.259609101505
"ssp2",37,"south",440.009879329235
"ssp2",38,"north",188.259609101505
"ssp2",38,"south",440.009879329235
"ssp2",39,"north",188.259609101505
"ssp2",39,"south",440.009879329235
"ssp2",40,"north",188.259609101505
"ssp2",40,"south",440.009879329235
"ssp2",41,"north",188.259609101505
"ssp2",41,"south",440.009879329235
"ssp2",42,"north",188.259609101505
"ssp2",42,"south",440.009879329235
"ssp2",43,"north",188.259609101505
"ssp2",43,"south",440.009879329235
"ssp2",44,"north",188.259609101505
"ssp2",44,"south",440.009879329235
"ssp2",45,"north",188.259609101505
"ssp2",45,"south",440.009879329235
"ssp2",46,"north",188.259609101505
"ssp2",46,"south",440.009879329235
"ssp2",47,"north",188.259609101505
"ssp2",47,"south",440.009879329235
"ssp2",48,"north",188.259609101505
"ssp2",48,"south",440.009879329235
"ssp2",49,"north",188.259609101505
"ssp2",49,"south",440.009879329235
"ssp2",50,"north",188.259609101505
"ssp2",50,"south",440.009879329235
"ssp2",51,"north",188.259609101505
"ssp2",51,"south",440.009879329235
"ssp2",52,"north",188.259609101505
"ssp2",52,"south",440.009879329235
"ssp2",53,"north",188.259609101505
"ssp2",53,"south",440.009879329235
"ssp2",54,"north",188.259609101505
"ssp2",54,"south",440.009879329235
"ssp2",55,"north",188.259609101505
"ssp2",55,"south",440.009879329235
"ssp2",56,"north",188.259609101505
"ssp2",56,"south",440.009879329235
"ssp2",57,"north",188.259609101505
"ssp2",57,"south",440.009879329235
"ssp2",58,"north",188.259609101505
"ssp2",58,"south",440.009879329235
"ssp3",1,"north",41.50324342772
"ssp3",1,"south",17.8404234556744
"ssp3",2,"north",45.9562889279
"ssp3",2,"south",23.7549431700516
"ssp3",3,"north",49.65018207067
"ssp3",3,"south",29.6479582195928
"ssp3",4,"north",52.67233233796
"ssp3",4,"south",34.9011066930542
"ssp3",5,"north",55.10710143933
"ssp3",5,"south",39.2602226958551
"ssp3",6,"north",57.1579260248
"ssp3",6,"south",43.2788484746237
"ssp3",7,"north",58.76616590187
"ssp3",7,"south",46.9567343638613
"ssp3",8,"north",59.82486557182
"ssp3",8,"south",50.2230557273638
