"ssp","t","n","value"
"ssp1",1,"north",41.6020730346787
"ssp1",1,"south",49.478794226256
"ssp1",2,"north",46.9134494303487
"ssp1",2,"south",66.1429681133398
"ssp1",3,"north",52.4961923035742
"ssp1",3,"south",87.0961982995975
"ssp1",4,"north",58.6034448721079
"ssp1",4,"south",112.469338443077
"ssp1",5,"north",65.1063542632964
"ssp1",5,"south",141.348676735757
"ssp1",6,"north",71.6239944989788
"ssp1",6,"south",171.917434945162
"ssp1",7,"north",77.9487029854397
"ssp1",7,"south",203.160765971894
"ssp1",8,"north",83.8515385589858
"ssp1",8,"south",233.747782761364
"ssp1",9,"north",89.6582301679206
"ssp1",9,"south",263.594204108726
"ssp1",10,"north",95.6691460773134
"ssp1",10,"south",293.472351616351
"ssp1",11,"north",101.827648867189
"ssp1",11,"south",323.061423414193
"ssp1",12,"north",107.815201020336
"ssp1",12,"south",351.466128815526
"ssp1",13,"north",113.44928689002
"ssp1",13,"south",378.091168564854
"ssp1",14,"north",118.914799141009
"ssp1",14,"south",403.734042220021
"ssp1",15,"north",124.087726530249
"ssp1",15,"south",427.757882517116
"ssp1",16,"north",129.036217507372
"ssp1",16,"south",450.002178350225
"ssp1",17,"north",133.781842714625
"ssp1",17,"south",470.181933504905
"ssp1",18,"north",138.228167083599
"ssp1",18,"south",487.449429017853
"ssp1",19,"north",142.625612933245
"ssp1",19,"south",505.817550249673
"ssp1",20,"north",146.954421304605
"ssp1",20,"south",525.157187391951
"ssp1",21,"north",151.194328629963
"ssp1",21,"south",545.318878623576
"ssp1",22,"north",155.32477165269
"ssp1",22,"south",566.132570708224
"ssp1",23,"north",159.325046138221
"ssp1",23,"south",587.407704902499
"ssp1",24,"north",163.174474502104
"ssp1",24,"south",608.934044113765
"ssp1",25,"north",166.852580543013
"ssp1",25,"south",630.483283856011
"ssp1",26,"north",170.339269270089
"ssp1",26,"south",651.811465388309
"ssp1",27,"north",173.615009642621
"ssp1",27,"south",672.662180909511
"ssp1",28,"north",176.661017900779
"ssp1",28,"south",692.770528886419
"ssp1",29,"north",179.459439063383
"ssp1",29,"south",711.867743903562
"ssp1",30,"north",181.993524106342
"ssp1",30,"south",729.686391515668
"ssp1",31,"north",184.247800316403
"ssp1",31,"south",745.965986337804
"ssp1",32,"north",186.208232341333
"ssp1",32,"south",760.458863002473
"ssp1",33,"north",187.862371530794
"ssp1",33,"south",772.936106602875
"ssp1",34,"north",189.199491281844
"ssp1",34,"south",783.193333620899
"ssp1",35,"north",190.210706268399
"ssp1",35,"south",791.056107599539
"ssp1",36,"north",190.88907364262
"ssp1",36,"south",796.384777021436
"ssp1",37,"north",191.229674545071
"ssp1",37,"south",799.07853651426
"ssp1",38,"north",191.229674545071
"ssp1",38,"south",799.07853651426
"ssp1",39,"north",191.229674545071
"ssp1",39,"south",799.07853651426
"ssp1",40,"north",191.229674545071
"ssp1",40,"south",799.07853651426
"ssp1",41,"north",191.229674545071
"ssp1",41,"south",799.07853651426
"ssp1",42,"north",191.229674545071
"ssp1",42,"south",799.07853651426
"ssp1",43,"north",191.229674545071
"ssp1",43,"south",799.07853651426
"ssp1",44,"north",191.229674545071
"ssp1",44,"south",799.07853651426
"ssp1",45,"north",191.229674545071
"ssp1",45,"south",799.07853651426
"ssp1",46,"north",191.229674545071
"ssp1",46,"south",799.07853651426
"ssp1",47,"north",191.229674545071
"ssp1",47,"south",799.07853651426
"ssp1",48,"north",191.229674545071
"ssp1",48,"south",799.07853651426
"ssp1",49,"north",191.229674545071
"ssp1",49,"south",799.07853651426
"ssp1",50,"north",191.229674545071
"ssp1",50,"south",799.07853651426
"ssp1",51,"north",191.229674545071
"ssp1",51,"south",799.07853651426
"ssp1",52,"north",191.229674545071
"ssp1",52,"south",799.07853651426
"ssp1",53,"north",191.229674545071
"ssp1",53,"south",799.07853651426
"ssp1",54,"north",191.229674545071
"ssp1",54,"south",799.07853651426
"ssp1",55,"north",191.229674545071
"ssp1",55,"south",799.07853651426
"ssp1",56,"north",191.229674545071
"ssp1",56,"south",799.07853651426
"ssp1",57,"north",191.229674545071
"ssp1",57,"south",799.07853651426
"ssp1",58,"north",191.229674545071
"ssp1",58,"south",799.07853651426
"ssp2",1,"north",41.6020730346787
"ssp2",1,"south",49.478794226256
"ssp2",2,"north",46.6932041203569
"ssp2",2,"south",65.9771012063263
"ssp2",3,"north",51.5648719037772
"ssp2",3,"south",84.2381528290624
"ssp2",4,"north",56.3016234595747
"ssp2",4,"south",103.043420389845
"ssp2",5,"north",60.9306298035833
"ssp2",5,"south",121.744744368513
"ssp2",6,"north",65.5989228946939
"ssp2",6,"south",141.229395022358
"ssp2",7,"north",70.2507725540064
"ssp2",7,"south",161.488937941828
"ssp2",8,"north",74.7701223487077
"ssp2",8,"south",182.154815818715
"ssp2",9,"north",79.4175516529362
"ssp2",9,"south",203.573287305604
"ssp2",10,"north",84.4092838664046
"ssp2",10,"south",226.615485253112
"ssp2",11,"north",89.6563883099444
"ssp2",11,"south",251.447356320991
"ssp2",12,"north",94.9313785739255
"ssp2",12,"south",277.919361140969
"ssp2",13,"north",100.085838090689
"ssp2",13,"south",305.906384502169
"ssp2",14,"north",105.253045833024
"ssp2",14,"south",335.63177093905
"ssp2",15,"north",110.356850898033
"ssp2",15,"south",366.914444728967
"ssp2",16,"north",115.435047620035
"ssp2",16,"south",399.976401745659
"ssp2",17,"north",120.510575756381
"ssp2",17,"south",434.812189405688
"ssp2",18,"north",125.526373690821
"ssp2",18,"south",471.16560744531
"ssp2",19,"north",130.516101549292
"ssp2",19,"south",510.149278266434
"ssp2",20,"north",135.455981750278
"ssp2",20,"south",551.689397109267
"ssp2",21,"north",140.321194663528
"ssp2",21,"south",595.644957851705
"ssp2",22,"north",145.086126043829
"ssp2",22,"south",641.799756838773
"ssp2",23,"north",149.72458008005
"ssp2",23,"south",689.855490037227
"ssp2",24,"north",154.210012824312
"ssp2",24,"south",739.426946366775
"ssp2",25,"north",158.515783445643
"ssp2",25,"south",790.03995149086
"ssp2",26,"north",162.615420236525
"ssp2",26,"south",841.132673973451
"ssp2",27,"north",166.482897821424
"ssp2",27,"south",892.060810187118
"ssp2",28,"north",170.092921588742
"ssp2",28,"south",942.107012802597
"ssp2",29,"north",173.421215006791
"ssp2",29,"south",990.494721930933
"ssp2",30,"north",176.444805204134
"ssp2",30,"south",1036.40630539205
"ssp2",31,"north",179.142302007412
"ssp2",31,"south",1079.00512839147
"ssp2",32,"north",181.494165545913
"ssp2",32,"south",1117.46087193136
"ssp2",33,"north",183.48295755931
"ssp2",33,"south",1150.97712696946
"ssp2",34,"north",185.09357168802
"ssp2",34,"south",1178.8200338975
"ssp2",35,"north",186.313438285811
"ssp2",35,"south",1200.34654099226
"ssp2",36,"north",187.132699669324
"ssp2",36,"south",1215.0307453335
"ssp2",37,"north",187.544352203257
"ssp2",37,"south",1222.48677412648
"ssp2",38,"north",187.544352203257
"ssp2",38,"south",1222.48677412648
"ssp2",39,"north",187.544352203257
"ssp2",39,"south",1222.48677412648
"ssp2",40,"north",187.544352203257
"ssp2",40,"south",1222.48677412648
"ssp2",41,"north",187.544352203257
"ssp2",41,"south",1222.48677412648
"ssp2",42,"north",187.544352203257
"ssp2",42,"south",1222.48677412648
"ssp2",43,"north",187.544352203257
"ssp2",43,"south",1222.48677412648
"ssp2",44,"north",187.544352203257
"ssp2",44,"south",1222.48677412648
"ssp2",45,"north",187.544352203257
"ssp2",45,"south",1222.48677412648
"ssp2",46,"north",187.544352203257
"ssp2",46,"south",1222.48677412648
"ssp2",47,"north",187.544352203257
"ssp2",47,"south",1222.48677412648
"ssp2",48,"north",187.544352203257
"ssp2",48,"south",1222.48677412648
"ssp2",49,"north",187.544352203257
"ssp2",49,"south",1222.48677412648
"ssp2",50,"north",187.544352203257
"ssp2",50,"south",1222.48677412648
"ssp2",51,"north",187.544352203257
"ssp2",51,"south",1222.48677412648
"ssp2",52,"north",187.544352203257
"ssp2",52,"south",1222.48677412648
"ssp2",53,"north",187.544352203257
"ssp2",53,"south",1222.48677412648
"ssp2",54,"north",187.544352203257
"ssp2",54,"south",1222.48677412648
"ssp2",55,"north",187.544352203257
"ssp2",55,"south",1222.48677412648
"ssp2",56,"north",187.544352203257
"ssp2",56,"south",1222.48677412648
"ssp2",57,"north",187.544352203257
"ssp2",57,"south",1222.48677412648
"ssp2",58,"north",187.544352203257
"ssp2",58,"south",1222.48677412648
"ssp3",1,"north",41.6020730346787
"ssp3",1,"south",49.478794226256
"ssp3",2,"north",46.065722350373
"ssp3",2,"south",65.8821775103966
"ssp3",3,"north",49.7684115769498
"ssp3",3,"south",82.2259195596213
"ssp3",4,"north",52.7977583401861
"ssp3",4,"south",96.7950497713652
"ssp3",5,"north",55.2383252359802
"ssp3",5,"south",108.884662119796
"ssp3",6,"north",57.2940333479166
"ssp3",6,"south",120.029955754448
"ssp3",7,"north",58.9061028465251
"ssp3",7,"south",130.230238250734
"ssp3",8,"north",59.9673235452821
"ssp3",8,"south",139.289083912279
"ssp3",9,"north",60.7499975130247
"ssp3",9,"south",147.749592104116
"ssp3",10,"north",61.4782382839983
"ssp3",10,"south",156.518219797646
"ssp3",11,"north",62.1230110509288
"ssp3",11,"south",165.910536899552
"ssp3",12,"north",62.4520397667695
"ssp3",12,"south",175.948994934428
"ssp3",13,"north",62.3974891002503
"ssp3",13,"south",186.671220036839
"ssp3",14,"north",62.1842817238704
"ssp3",14,"south",198.04261053531
"ssp3",15,"north",61.7772245573432
"ssp3",15,"south",209.941641689378
"ssp3",16,"north",61.3112516193726
"ssp3",16,"south",222.603503462073
"ssp3",17,"north",60.8285992253978
"ssp3",17,"south",236.124853345848
"ssp3",18,"north",60.2210873109898
"ssp3",18,"south",250.608851141515
"ssp3",19,"north",59.6844748799276
"ssp3",19,"south",265.769808583483
"ssp3",20,"north",59.2125859244355
"ssp3",20,"south",281.544163397399
"ssp3",21,"north",58.7995730247922
"ssp3",21,"south",297.849106121948
"ssp3",22,"north",58.4399457941631
"ssp3",22,"south",314.582122406554
"ssp3",23,"north",58.1285483897599
"ssp3",23,"south",331.620688949149
"ssp3",24,"north",57.8605425379477
"ssp3",24,"south",348.822566488452
"ssp3",25,"north",57.6313954292922
"ssp3",25,"south",366.026766777946
"ssp3",26,"north",57.4368718732711
"ssp3",26,"south",383.055249612779
"ssp3",27,"north",57.2730301284741
"ssp3",27,"south",399.715378808553
"ssp3",28,"north",57.1362208451087
"ssp3",28,"south",415.803133320439
"ssp3",29,"north",57.0230885747919
"ssp3",29,"south",431.107032743108
"ssp3",30,"north",56.9305753200112
"ssp3",30,"south",445.412697047657
"ssp3",31,"north",56.8559256141029
"ssp3",31,"south",458.507920820745
"ssp3",32,"north",56.7966926436979
"ssp3",32,"south",470.188105011284
"ssp3",33,"north",56.7507449506193
"ssp3",33,"south",480.261856941251
"ssp3",34,"north",56.7162732801927
"ssp3",34,"south",488.556544720847
"ssp3",35,"north",56.6917971785308
"ssp3",35,"south",494.923577565687
"ssp3",36,"north",56.6761709829496
"ssp3",36,"south",499.243180684488
"ssp3",37,"north",56.6685888972927
"ssp3",37,"south",501.42844352664
"ssp3",38,"north",56.6685888972927
"ssp3",38,"south",501.42844352664
"ssp3",39,"north",56.6685888972927
"ssp3",39,"south",501.42844352664
"ssp3",40,"north",56.6685888972927
"ssp3",40,"south",501.42844352664
"ssp3",41,"north",56.6685888972927
"ssp3",41,"south",501.42844352664
"ssp3",42,"north",56.6685888972927
"ssp3",42,"south",501.42844352664
"ssp3",43,"north",56.6685888972927
"ssp3",43,"south",501.42844352664
"ssp3",44,"north",56.6685888972927
"ssp3",44,"south",501.42844352664
"ssp3",45,"north",56.6685888972927
