"t","n","value"
1,"north",-0.884672535611
1,"south",3.9013691968
2,"north",-0.884672535611
2,"south",3.452711739168
3,"north",-0.884672535611
3,"south",3.05564988916368
4,"north",-0.884672535611
4,"south",2.70425015190986
5,"north",-0.884672535611
5,"south",2.39326138444022
6,"north",-0.884672535611
6,"south",2.1180363252296
7,"north",-0.884672535611
7,"south",1.87446214782819
8,"north",-0.884672535611
8,"south",1.65889900082795
9,"north",-0.884672535611
9,"south",1.46812561573274
10,"north",-0.884672535611
10,"south",1.29929116992347
11,"north",-0.884672535611
11,"south",1.14987268538227
12,"north",-0.884672535611
12,"south",1.01763732656331
13,"north",-0.884672535611
13,"south",0.900609034008531
14,"north",-0.884672535611
14,"south",0.79703899509755
15,"north",-0.884672535611
15,"south",0.705379510661331
16,"north",-0.884672535611
16,"south",0.624260866935278
17,"north",-0.884672535611
17,"south",0.552470867237721
18,"north",-0.884672535611
18,"south",0.488936717505383
19,"north",-0.884672535611
19,"south",0.432708994992264
20,"north",-0.884672535611
20,"south",0.382947460568154
21,"north",-0.884672535611
21,"south",0.338908502602816
22,"north",-0.884672535611
22,"south",0.299934024803492
23,"north",-0.884672535611
23,"south",0.265441611951091
24,"north",-0.884672535611
24,"south",0.234915826576715
25,"north",-0.884672535611
25,"south",0.207900506520393
26,"north",-0.884672535611
26,"south",0.183991948270548
27,"north",-0.884672535611
27,"south",0.162832874219435
28,"north",-0.884672535611
28,"south",0.1441070936842
29,"north",-0.884672535611
29,"south",0.127534777910517
30,"north",-0.884672535611
30,"south",0.112868278450807
31,"north",-0.884672535611
31,"south",0.0998884264289646
32,"north",-0.884672535611
32,"south",0.0884012573896336
33,"north",-0.884672535611
33,"south",0.0782351127898258
34,"north",-0.884672535611
34,"south",0.0692380748189958
35,"north",-0.884672535611
35,"south",0.0612756962148113
36,"north",-0.884672535611
36,"south",0.054228991150108
37,"north",-0.884672535611
37,"south",0.0479926571678456
38,"north",-0.884672535611
38,"south",0.0424735015935433
39,"north",-0.884672535611
39,"south",0.0375890489102858
40,"north",-0.884672535611
40,"south",0.033266308285603
41,"north",-0.884672535611
41,"south",0.0294406828327586
42,"north",-0.884672535611
42,"south",0.0260550043069914
43,"north",-0.884672535611
43,"south",0.0230586788116874
44,"north",-0.884672535611
44,"south",0.0204069307483433
45,"north",-0.884672535611
45,"south",0.0180601337122839
46,"north",-0.884672535611
46,"south",0.0159832183353712
47,"north",-0.884672535611
47,"south",0.0141451482268035
48,"north",-0.884672535611
48,"south",0.0125184561807211
49,"north",-0.884672535611
49,"south",0.0110788337199382
50,"north",-0.884672535611
50,"south",0.0098047678421453
51,"north",-0.884672535611
51,"south",0.00867721954029859
52,"north",-0.884672535611
52,"south",0.00767933929316425
53,"north",-0.884672535611
53,"south",0.00679621527445036
54,"north",-0.884672535611
54,"south",0.00601465051788857
55,"north",-0.884672535611
55,"south",0.00532296570833138
56,"north",-0.884672535611
56,"south",0.00471082465187327
57,"north",-0.884672535611
57,"south",0.00416907981690785
58,"north",-0.884672535611
58,"south",0.00368963563796344
