REG	dk_adsad	dk_adcap	rho_ad	rho_adact	rho_adcap	μ2	ϕ2	β1	β2	β3	GAC0
rcam	0.1	0.03	0.167	0.167	-4.0	0.7	0.01	5.0	0.6	1.0	0.1054544371200836
noan	0.1	0.03	0.167	0.167	-4.0	0.7	0.1	13.0	0.5	1.0	0.035156456317714996
aut	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.25975035980469435
bel	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.3033575688930722
rfa	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	2.3468833946424614
dnk	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.15259541008479016
esp	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	1.0297033394225152
fin	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.14958263112480955
fra	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	1.6078775172668587
gbr	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	1.7182163284716911
grc	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.20182322946527034
irl	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.14060079856503405
ita	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	1.3266178462521747
nld	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.517629798786103
prt	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.18057132682492785
swe	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.28625716422050707
bgr	0.1	0.03	0.167	0.167	-4.0	0.8	0.3	70.0	0.5	1.0	0.014093741106939629
rcz	0.1	0.03	0.167	0.167	-4.0	0.8	0.3	70.0	0.5	1.0	0.04193873227527742
hun	0.1	0.03	0.167	0.167	-4.0	0.8	0.3	70.0	0.5	1.0	0.026090604245842367
pol	0.1	0.03	0.167	0.167	-4.0	0.8	0.3	70.0	0.5	1.0	0.11265902797870381
rom	0.1	0.03	0.167	0.167	-4.0	0.8	0.3	70.0	0.5	1.0	0.03744016517324441
