Region	linear	nonlinear	exponent	intercept
arg	0.0069	0.001	2.0	0.0
aus	0.0069	0.0	2.0	0.0004
aut	0.0028	0.0011	2.0	0.0072
bel	0.0028	0.0011	2.0	0.0072
bgr	0.0052	0.0008	2.0	0.0
blt	0.0052	0.0008	2.0	0.0
bra	0.0069	0.001	2.0	0.0
can	0.002	0.0008	2.0	0.0076
chl	0.0069	0.001	2.0	0.0
chn	0.0043	0.0006	2.0	0.0
cor	0.0069	0.0	2.0	0.0004
cro	0.0052	0.0008	2.0	0.0
dnk	0.0028	0.0011	2.0	0.0072
egy	0.0043	0.0026	2.0	0.0
esp	0.0028	0.0011	2.0	0.0072
fin	0.0028	0.0011	2.0	0.0072
fra	0.0028	0.0011	2.0	0.0072
gbr	0.0028	0.0011	2.0	0.0072
golf57	0.0043	0.0026	2.0	0.0
grc	0.0028	0.0011	2.0	0.0072
hun	0.0052	0.0008	2.0	0.0
idn	0.0034	0.0081	2.0	0.0
irl	0.0028	0.0011	2.0	0.0072
ita	0.0028	0.0011	2.0	0.0072
jpn	0.002	0.0008	2.0	0.0076
meme	0.0043	0.0026	2.0	0.0
mex	0.0069	0.001	2.0	0.0
mys	0.0034	0.0081	2.0	0.0
nde	0.0051	0.0096	2.0	0.0
nld	0.0028	0.0011	2.0	0.0072
noan	0.0043	0.0026	2.0	0.0
noap	0.0043	0.0026	2.0	0.0
nor	0.0028	0.0011	2.0	0.0072
oeu	0.0042321208303174	0.0009290960078858	2.0	0.0015409707475577
osea	0.0039517400338147	0.0035021663848768	2.0	0.0
pol	0.0052	0.0008	2.0	0.0
prt	0.0028	0.0011	2.0	0.0072
rcam	0.0069	0.001	2.0	0.0
rcz	0.0052	0.0008	2.0	0.0
rfa	0.0028	0.0011	2.0	0.0072
ris	0.0045	0.0009	2.0	0.0
rjan57	0.0022893838535254	0.0023089300933016	2.0	0.0060290590809215
rom	0.0052	0.0008	2.0	0.0
rsaf	0.0101903378130199	0.0033986898729518	2.0	0.0
rsam	0.0069	0.001	2.0	0.0
rsas	0.0037	0.0095	2.0	0.0
rsl	0.0052	0.0008	2.0	0.0
rus	0.0045	0.0009	2.0	0.0
slo	0.0052	0.0008	2.0	0.0
sui	0.0028	0.0011	2.0	0.0072
swe	0.0028	0.0011	2.0	0.0072
tha	0.0034	0.0081	2.0	0.0
tur	0.0045	0.0009	2.0	0.0
ukr	0.0045	0.0009	2.0	0.0
usa	0.0025	0.0006	2.0	0.0068
vnm	0.0034	0.0081	2.0	0.0
zaf	0.0069	0.0	2.0	0.0004
