"","V1","n","V3","value"
"1","climcost","arg","deg1",0
"2","climcost","arg","deg2",0
"3","climcost","arg","deg3",2
"4","climcost","arg","deg4",0
"5","climcost","aus","deg1",-0.0077
"6","climcost","aus","deg2",0.0014
"7","climcost","aus","deg3",2
"8","climcost","aus","deg4",0.0049
"9","climcost","aut","deg1",-0.0036
"10","climcost","aut","deg2",8e-04
"11","climcost","aut","deg3",2
"12","climcost","aut","deg4",0.0022
"13","climcost","bel","deg1",-0.0036
"14","climcost","bel","deg2",8e-04
"15","climcost","bel","deg3",2
"16","climcost","bel","deg4",0.0022
"17","climcost","bgr","deg1",0
"18","climcost","bgr","deg2",0
"19","climcost","bgr","deg3",2
"20","climcost","bgr","deg4",0
"21","climcost","blt","deg1",0
"22","climcost","blt","deg2",0
"23","climcost","blt","deg3",2
"24","climcost","blt","deg4",0
"25","climcost","bra","deg1",0
"26","climcost","bra","deg2",0
"27","climcost","bra","deg3",2
"28","climcost","bra","deg4",0
"29","climcost","can","deg1",-3e-04
"30","climcost","can","deg2",1e-04
"31","climcost","can","deg3",2
"32","climcost","can","deg4",2e-04
"33","climcost","chl","deg1",0
"34","climcost","chl","deg2",0
"35","climcost","chl","deg3",2
"36","climcost","chl","deg4",0
"37","climcost","chn","deg1",-0.0067
"38","climcost","chn","deg2",0.0012
"39","climcost","chn","deg3",2
"40","climcost","chn","deg4",0.0041
"41","climcost","cor","deg1",-0.0077
"42","climcost","cor","deg2",0.0014
"43","climcost","cor","deg3",2
"44","climcost","cor","deg4",0.0049
"45","climcost","cro","deg1",0
"46","climcost","cro","deg2",0
"47","climcost","cro","deg3",2
"48","climcost","cro","deg4",0
"49","climcost","dnk","deg1",-0.0036
"50","climcost","dnk","deg2",8e-04
"51","climcost","dnk","deg3",2
"52","climcost","dnk","deg4",0.0022
"53","climcost","egy","deg1",0
"54","climcost","egy","deg2",0
"55","climcost","egy","deg3",2
"56","climcost","egy","deg4",0
"57","climcost","esp","deg1",-0.0036
"58","climcost","esp","deg2",8e-04
"59","climcost","esp","deg3",2
