YEAR	POPnorth	TFPnorth	GDPBASEnorth	SIGMAnorth	MXnorth	AXnorth	BXnorth	ELANDnorth	Knorth	YGROSSnorth	MIUnorth	EINDnorth	Enorth	Snorth	Inorth	DAMAGESnorth	YNETnorth	ABATECOSTnorth	Ynorth	Cnorth	CPCnorth	RInorth	CPRICEnorth	OMEGAnorth	POPsouth	TFPsouth	GDPBASEsouth	SIGMAsouth	MXsouth	AXsouth	BXsouth	ELANDsouth	Ksouth	YGROSSsouth	MIUsouth	EINDsouth	Esouth	Ssouth	Isouth	DAMAGESsouth	YNETsouth	ABATECOSTsouth	Ysouth	Csouth	CPCsouth	RIsouth	CPRICEsouth	OMEGAsouth	MAT	MUP	MLO	FORC	TATM	TOCEAN	
2015	1407	7.67694	41.7607	0.349047	0.48009	573.842	9624.9	-0.884673	133.281	42.3082	218.541	14.7675	13.8829	0.221677	9.37874	0	42.3082	0	42.3082	32.9294	23.404	0.044022	0	0	5839.21	2.66466	17.8089	0.525001	0.48223	280.754	4051.8	3.90137	111.625	37.7066	547.713	19.796	23.6974	0.308231	11.6223	0	37.7066	0	37.7066	26.0843	4.46708	0.0854706	0	0	859.86	421.851	165.883	2.40827	0.85	0.0068	
2020	1432.11	8.6657	46.8713	0.304529	0.476521	573.842	9624.9	-0.782935	125.595	47.4983	0	14.4646	13.6817	0.222308	10.5592	0	47.4983	0	47.4983	36.939	25.7935	0.0396669	0	0	6180.51	3.30599	23.7471	0.471323	0.479178	280.754	4051.8	3.45271	124.025	50.2425	0	23.6805	27.1332	0.30737	15.443	0	50.2425	0	50.2425	34.7995	5.63052	0.0740039	0	0	885.005	580.546	180.001	2.59298	1.20605	0.0552738	
2025	1454.98	9.43566	51.7615	0.27449	0.472011	573.842	9624.9	-0.692898	126.959	52.465	0	14.4011	13.7082	0.222939	11.6965	0	52.465	0	52.465	40.7685	28.0201	0.0369366	0	0	6498.72	3.84377	30.3199	0.427044	0.475303	280.754	4051.8	3.05565	150.451	64.1143	0	27.3796	30.4353	0.306509	19.6516	0	64.1143	0	64.1143	44.4627	6.84177	0.0628203	0	0	955.292	700.061	205.045	3.08273	1.40561	0.12143	
2030	1474.74	10.0556	56.5163	0.252799	0.468217	464.01	5814.76	-0.613214	133.45	57.2931	0	14.4837	13.8705	0.22357	12.809	0	57.2931	0	57.2931	44.4841	30.1641	0.034876	0	0	6788.68	4.27019	37.0884	0.388538	0.471904	216.565	3359.53	2.70425	187.098	78.4004	0	30.4615	33.1658	0.305647	23.9629	0	78.4004	0	78.4004	54.4375	8.01886	0.0539837	0	0	1052.09	813.181	236.641	3.70127	1.669	0.195255	
2035	1491.69	10.5786	61.163	0.236189	0.463188	429.645	4515.26	-0.542695	142.846	62.0099	0	14.646	14.1033	0.224201	13.9027	0	62.0099	0	62.0099	48.1072	32.2502	0.033767	0	0	7050.55	4.61549	43.8196	0.355363	0.467906	206.638	2848.18	2.39326	230.294	92.6101	0	32.9102	35.3034	0.304786	28.2263	0	92.6101	0	92.6101	64.3838	9.13174	0.0501124	0	0	1168.51	933.271	273.521	4.3738	2.00422	0.279977	
2040	1506.52	11.0618	65.8491	0.222749	0.456982	411.942	3778.6	-0.480285	153.863	66.7651	0	14.8719	14.3916	0.224832	15.0109	0	66.7651	0	66.7651	51.7542	34.3534	0.0326952	0	0	7282.04	4.95113	50.8327	0.32744	0.463616	211.328	2405.05	2.11804	277.117	107.419	0	35.1732	37.2913	0.303925	32.6473	0	107.419	0	107.419	74.7716	10.2679	0.047387	0	0	1302.48	1066.41	315.623	5.06936	2.3862	0.3791	
2045	1518.83	11.516	70.5187	0.211423	0.447637	411.942	3778.6	-0.425052	165.909	71.5023	0	15.1172	14.6921	0.225463	16.1211	0	71.5023	0	71.5023	55.3811	36.463	0.0313432	0	0	7480.66	5.28686	58.1247	0.303903	0.455723	211.328	2405.05	1.87446	326.871	122.82	0	37.3253	39.1998	0.303064	37.2222	0	122.82	0	122.82	85.5976	11.4425	0.0449543	0	0	1454.59	1216.06	363.372	5.77723	2.79502	0.494484	
2050	1528.69	11.9354	75.0553	0.201783	0.436253	411.942	3778.6	-0.376171	178.573	76.1035	0	15.3564	14.9802	0.226094	17.2066	0	76.1035	0	76.1035	58.897	38.5278	0.0311631	0	0	7641.91	5.6192	65.563	0.283677	0.446045	211.328	2405.05	1.6589	379.125	138.532	0	39.2983	40.9572	0.302202	41.8647	0	138.532	0	138.532	96.6674	12.6496	0.0438707	0	0	1626.38	1384.96	417.421	6.49259	3.22	0.626737	
2055	1536.37	12.3712	79.7204	0.193684	0.422584	411.942	3778.6	-0.332911	191.479	80.8343	0	15.6563	15.3234	0.226725	18.3272	0	80.8343	0	80.8343	62.5071	40.6849	0.0316912	0	0	7762.62	5.96778	73.2722	0.266065	0.434348	211.328	2405.05	1.46813	433.193	154.819	0	41.1919	42.66	0.301341	46.6533	0	154.819	0	154.819	108.166	13.9341	0.0442764	0	0	1819.73	1575.75	478.56	7.21245	3.65571	0.775819	
2060	1542.37	12.8529	84.7312	0.186875	0.40645	411.942	3778.6	-0.294627	204.702	85.9149	0	16.0554	15.7608	0.227356	19.5333	0	85.9149	0	85.9149	66.3816	43.0388	0	0	0	7843.81	6.35935	81.5658	0.250682	0.420452	211.328	2405.05	1.29929	489.063	172.342	0	43.203	44.5023	0.30048	51.7853	0	172.342	0	172.342	120.557	15.3697	0	0	0	2037.2	1791.25	547.699	7.93588	4.09915	0.941378	
